Date,WELSPUNIND
2013-01-01,61.95
2013-01-02,61.3
2013-01-03,61.5
2013-01-04,62.45
2013-01-07,63.85
2013-01-08,64.1
2013-01-09,66.6
2013-01-10,66.55
2013-01-11,66.55
2013-01-14,66.8
2013-01-15,66.6
2013-01-16,68.0
2013-01-17,68.05
2013-01-18,68.0
2013-01-21,68.8
2013-01-22,70.25
2013-01-23,76.6
2013-01-24,76.1
2013-01-25,78.7
2013-01-28,81.05
2013-01-29,81.8
2013-01-30,78.2
2013-01-31,80.15
2013-02-01,78.2
2013-02-04,77.4
2013-02-05,74.35
2013-02-06,76.95
2013-02-07,77.0
2013-02-08,74.55
2013-02-11,76.0
2013-02-12,76.65
2013-02-13,74.85
2013-02-14,74.75
2013-02-15,77.25
2013-02-18,76.2
2013-02-19,78.5
2013-02-20,78.95
2013-02-21,76.9
2013-02-22,77.2
2013-02-25,77.95
2013-02-26,73.1
2013-02-27,72.75
2013-02-28,71.8
2013-03-01,69.7
2013-03-04,66.95
2013-03-05,71.25
2013-03-06,71.2
2013-03-07,70.55
2013-03-08,70.15
2013-03-11,68.05
2013-03-12,67.95
2013-03-13,65.9
2013-03-14,66.1
2013-03-15,67.95
2013-03-18,66.75
2013-03-19,63.85
2013-03-20,60.4
2013-03-21,56.55
2013-03-22,60.05
2013-03-25,63.05
2013-03-26,65.4
2013-03-28,68.05
2013-04-01,66.2
2013-04-02,67.8
2013-04-03,65.55
2013-04-04,63.1
2013-04-05,63.1
2013-04-08,62.5
2013-04-09,63.25
2013-04-10,62.65
2013-04-11,63.65
2013-04-12,64.45
2013-04-15,65.65
2013-04-16,65.4
2013-04-17,66.9
2013-04-18,69.05
2013-04-22,68.3
2013-04-23,67.0
2013-04-25,66.45
2013-04-26,65.45
2013-04-29,62.85
2013-04-30,62.95
2013-05-02,62.35
2013-05-03,62.95
2013-05-06,62.6
2013-05-07,62.65
2013-05-08,62.0
2013-05-09,63.35
2013-05-10,65.3
2013-05-11,64.95
2013-05-13,63.9
2013-05-14,64.05
2013-05-15,68.1
2013-05-16,67.0
2013-05-17,65.95
2013-05-20,64.45
2013-05-21,63.45
2013-05-22,62.7
2013-05-23,62.5
2013-05-24,62.65
2013-05-27,62.4
2013-05-28,61.35
2013-05-29,58.9
2013-05-30,57.8
2013-05-31,56.6
2013-06-03,59.85
2013-06-04,62.85
2013-06-05,65.4
2013-06-06,62.8
2013-06-07,63.25
2013-06-10,63.05
2013-06-11,62.9
2013-06-12,62.7
2013-06-13,62.0
2013-06-14,62.05
2013-06-17,62.25
2013-06-18,62.3
2013-06-19,62.25
2013-06-20,62.1
2013-06-21,63.0
2013-06-24,62.15
2013-06-25,61.0
2013-06-26,61.55
2013-06-27,59.55
2013-06-28,62.5
2013-07-01,61.65
2013-07-02,59.45
2013-07-03,58.3
2013-07-04,58.8
2013-07-05,58.1
2013-07-08,57.75
2013-07-09,57.25
2013-07-10,56.5
2013-07-11,57.3
2013-07-12,57.35
2013-07-15,56.15
2013-07-16,55.85
2013-07-17,55.0
2013-07-18,55.35
2013-07-19,55.8
2013-07-22,55.5
2013-07-23,55.6
2013-07-24,54.8
2013-07-25,55.2
2013-07-26,53.95
2013-07-29,50.45
2013-07-30,50.65
2013-07-31,48.45
2013-08-01,51.05
2013-08-02,50.25
2013-08-05,48.9
2013-08-06,49.0
2013-08-07,51.8
2013-08-08,57.4
2013-08-12,58.45
2013-08-13,56.05
2013-08-14,55.2
2013-08-16,53.35
2013-08-19,52.4
2013-08-20,54.1
2013-08-21,53.7
2013-08-22,54.45
2013-08-23,54.6
2013-08-26,56.55
2013-08-27,53.9
2013-08-28,54.1
2013-08-29,53.85
2013-08-30,59.5
2013-09-02,57.65
2013-09-03,56.1
2013-09-04,56.55
2013-09-05,57.35
2013-09-06,56.8
2013-09-10,56.95
2013-09-11,56.55
2013-09-12,56.2
2013-09-13,57.95
2013-09-16,62.1
2013-09-17,59.8
2013-09-18,60.5
2013-09-19,62.65
2013-09-20,63.75
2013-09-23,61.95
2013-09-24,61.8
2013-09-25,60.95
2013-09-26,60.45
2013-09-27,59.1
2013-09-30,61.4
2013-10-01,60.3
2013-10-03,60.0
2013-10-04,58.8
2013-10-07,59.65
2013-10-08,58.5
2013-10-09,58.85
2013-10-10,58.25
2013-10-11,59.2
2013-10-14,60.0
2013-10-15,60.45
2013-10-17,61.9
2013-10-18,61.35
2013-10-21,61.85
2013-10-22,63.85
2013-10-23,65.8
2013-10-24,64.25
2013-10-25,64.0
2013-10-28,65.15
2013-10-29,64.05
2013-10-30,63.35
2013-10-31,67.85
2013-11-01,65.85
2013-11-03,66.75
2013-11-05,69.05
2013-11-06,68.65
2013-11-07,66.0
2013-11-08,66.35
2013-11-11,66.2
2013-11-12,65.75
2013-11-13,66.25
2013-11-14,67.85
2013-11-18,67.9
2013-11-19,68.5
2013-11-20,71.1
2013-11-21,71.5
2013-11-22,72.95
2013-11-25,72.6
2013-11-26,71.35
2013-11-27,69.25
2013-11-28,69.55
2013-11-29,68.6
2013-12-02,69.9
2013-12-03,70.3
2013-12-04,71.2
2013-12-05,69.65
2013-12-06,68.65
2013-12-09,68.65
2013-12-10,68.65
2013-12-11,68.3
2013-12-12,67.4
2013-12-13,67.5
2013-12-16,66.95
2013-12-17,66.5
2013-12-18,68.7
2013-12-19,69.9
2013-12-20,69.65
2013-12-23,68.55
2013-12-24,69.95
2013-12-26,71.35
2013-12-27,71.55
2013-12-30,73.1
2013-12-31,75.0
2014-01-01,79.0
2014-01-02,80.8
2014-01-03,83.5
2014-01-06,85.15
2014-01-07,81.45
2014-01-08,81.0
2014-01-09,81.1
2014-01-10,85.3
2014-01-13,89.3
2014-01-14,88.2
2014-01-15,88.0
2014-01-16,92.45
2014-01-17,91.3
2014-01-20,91.45
2014-01-21,91.25
2014-01-22,91.45
2014-01-23,91.0
2014-01-24,91.95
2014-01-27,89.85
2014-01-28,90.8
2014-01-29,90.55
2014-01-30,87.5
2014-01-31,87.85
2014-02-03,90.0
2014-02-04,91.3
2014-02-05,90.8
2014-02-06,89.85
2014-02-07,90.0
2014-02-10,90.0
2014-02-11,91.5
2014-02-12,92.95
2014-02-13,92.6
2014-02-14,94.85
2014-02-17,95.5
2014-02-18,95.9
2014-02-19,96.4
2014-02-20,97.05
2014-02-21,99.4
2014-02-24,100.1
2014-02-25,98.45
2014-02-26,100.25
2014-02-28,102.85
2014-03-03,103.7
2014-03-04,104.75
2014-03-05,104.2
2014-03-06,102.55
2014-03-07,98.6
2014-03-10,99.45
2014-03-11,100.65
2014-03-12,99.0
2014-03-13,97.5
2014-03-14,97.55
2014-03-18,97.5
2014-03-19,97.5
2014-03-20,94.9
2014-03-21,96.95
2014-03-22,95.3
2014-03-24,97.05
2014-03-25,96.7
2014-03-26,96.25
2014-03-27,95.2
2014-03-28,99.55
2014-03-31,100.7
2014-04-01,103.8
2014-04-02,102.8
2014-04-03,102.15
2014-04-04,101.95
2014-04-07,101.5
2014-04-09,102.95
2014-04-10,103.0
