Date,USHAMART
2013-01-01,32.95
2013-01-02,33.5
2013-01-03,33.0
2013-01-04,32.9
2013-01-07,34.55
2013-01-08,33.9
2013-01-09,32.8
2013-01-10,32.15
2013-01-11,31.1
2013-01-14,31.8
2013-01-15,30.75
2013-01-16,30.15
2013-01-17,29.75
2013-01-18,29.85
2013-01-21,29.6
2013-01-22,29.45
2013-01-23,29.45
2013-01-24,29.25
2013-01-25,30.05
2013-01-28,29.6
2013-01-29,29.4
2013-01-30,30.8
2013-01-31,29.75
2013-02-01,29.8
2013-02-04,29.85
2013-02-05,29.8
2013-02-06,29.5
2013-02-07,28.95
2013-02-08,28.65
2013-02-11,28.95
2013-02-12,27.75
2013-02-13,27.7
2013-02-14,26.25
2013-02-15,26.6
2013-02-18,26.25
2013-02-19,26.95
2013-02-20,26.95
2013-02-21,26.85
2013-02-22,26.65
2013-02-25,25.7
2013-02-26,24.95
2013-02-27,26.0
2013-02-28,23.4
2013-03-01,24.2
2013-03-04,25.45
2013-03-05,25.6
2013-03-06,25.95
2013-03-07,25.95
2013-03-08,25.7
2013-03-11,25.45
2013-03-12,24.45
2013-03-13,24.9
2013-03-14,24.45
2013-03-15,22.5
2013-03-18,23.0
2013-03-19,23.2
2013-03-20,21.8
2013-03-21,20.6
2013-03-22,21.05
2013-03-25,20.6
2013-03-26,21.0
2013-03-28,22.05
2013-04-01,23.25
2013-04-02,23.95
2013-04-03,24.85
2013-04-04,24.2
2013-04-05,24.65
2013-04-08,25.2
2013-04-09,25.0
2013-04-10,25.45
2013-04-11,25.25
2013-04-12,24.45
2013-04-15,25.75
2013-04-16,26.15
2013-04-17,25.9
2013-04-18,25.95
2013-04-22,25.1
2013-04-23,25.75
2013-04-25,24.65
2013-04-26,23.9
2013-04-29,24.95
2013-04-30,25.5
2013-05-02,25.3
2013-05-03,25.0
2013-05-06,25.1
2013-05-07,25.2
2013-05-08,25.7
2013-05-09,26.35
2013-05-10,25.65
2013-05-11,25.3
2013-05-13,25.55
2013-05-14,25.05
2013-05-15,25.4
2013-05-16,24.85
2013-05-17,24.65
2013-05-20,24.8
2013-05-21,24.2
2013-05-22,23.8
2013-05-23,22.95
2013-05-24,24.1
2013-05-27,23.6
2013-05-28,23.7
2013-05-29,23.5
2013-05-30,23.6
2013-05-31,23.1
2013-06-03,23.85
2013-06-04,24.1
2013-06-05,24.0
2013-06-06,23.55
2013-06-07,23.5
2013-06-10,23.55
2013-06-11,23.35
2013-06-12,23.3
2013-06-13,23.5
2013-06-14,23.65
2013-06-17,23.25
2013-06-18,23.55
2013-06-19,24.1
2013-06-20,23.35
2013-06-21,23.0
2013-06-24,22.45
2013-06-25,23.0
2013-06-26,23.3
2013-06-27,23.3
2013-06-28,23.5
2013-07-01,23.55
2013-07-02,23.45
2013-07-03,23.35
2013-07-04,22.6
2013-07-05,22.9
2013-07-08,22.5
2013-07-09,22.7
2013-07-10,22.7
2013-07-11,22.7
2013-07-12,22.65
2013-07-15,24.95
2013-07-16,23.65
