Date,CUB
2013-01-01,57.9
2013-01-02,57.65
2013-01-03,57.85
2013-01-04,59.55
2013-01-07,59.35
2013-01-08,59.0
2013-01-09,58.25
2013-01-10,58.55
2013-01-11,58.45
2013-01-14,59.8
2013-01-15,60.55
2013-01-16,60.9
2013-01-17,59.85
2013-01-18,60.2
2013-01-21,60.3
2013-01-22,61.3
2013-01-23,61.15
2013-01-24,62.3
2013-01-25,61.2
2013-01-28,61.05
2013-01-29,60.85
2013-01-30,61.7
2013-01-31,61.85
2013-02-01,62.4
2013-02-04,63.4
2013-02-05,62.3
2013-02-06,61.7
2013-02-07,61.25
2013-02-08,60.85
2013-02-11,60.45
2013-02-12,59.75
2013-02-13,59.9
2013-02-14,59.7
2013-02-15,58.9
2013-02-18,57.65
2013-02-19,58.05
2013-02-20,58.15
2013-02-21,57.1
2013-02-22,55.9
2013-02-25,58.15
2013-02-26,57.0
2013-02-27,57.8
2013-02-28,55.1
2013-03-01,56.15
2013-03-04,56.45
2013-03-05,55.95
2013-03-06,57.0
2013-03-07,56.75
2013-03-08,56.65
2013-03-11,56.25
2013-03-12,55.7
2013-03-13,55.6
2013-03-14,55.3
2013-03-15,54.65
2013-03-18,54.35
2013-03-19,52.55
2013-03-20,52.05
2013-03-21,51.95
2013-03-22,52.1
2013-03-25,53.25
2013-03-26,52.55
2013-03-28,52.55
2013-04-01,53.2
2013-04-02,54.5
2013-04-03,54.55
2013-04-04,53.9
2013-04-05,52.55
2013-04-08,53.5
2013-04-09,54.15
2013-04-10,54.0
2013-04-11,54.35
2013-04-12,54.95
2013-04-15,53.7
2013-04-16,53.8
2013-04-17,54.2
2013-04-18,55.15
2013-04-22,56.65
2013-04-23,55.45
2013-04-25,56.0
2013-04-26,54.75
2013-04-29,54.2
2013-04-30,54.7
2013-05-02,54.15
2013-05-03,53.9
2013-05-06,54.3
2013-05-07,54.25
2013-05-08,53.75
2013-05-09,53.15
2013-05-10,53.7
2013-05-11,54.05
2013-05-13,54.25
2013-05-14,54.2
2013-05-15,55.6
2013-05-16,55.6
2013-05-17,55.45
2013-05-20,56.25
2013-05-21,55.8
2013-05-22,56.15
2013-05-23,55.75
2013-05-24,56.3
2013-05-27,56.5
2013-05-28,56.5
2013-05-29,57.95
2013-05-30,56.5
2013-05-31,55.4
2013-06-03,55.55
2013-06-04,55.5
2013-06-05,54.5
2013-06-06,54.5
2013-06-07,54.8
2013-06-10,55.0
2013-06-11,54.95
2013-06-12,55.0
2013-06-13,54.05
2013-06-14,56.15
2013-06-17,56.2
2013-06-18,56.0
2013-06-19,56.45
2013-06-20,55.55
2013-06-21,55.65
2013-06-24,55.2
2013-06-25,55.2
2013-06-26,54.7
2013-06-27,54.45
2013-06-28,55.2
2013-07-01,54.85
2013-07-02,55.05
2013-07-03,55.05
2013-07-04,55.1
2013-07-05,55.0
2013-07-08,55.0
2013-07-09,55.0
2013-07-10,55.0
2013-07-11,55.05
2013-07-12,54.45
2013-07-15,53.65
2013-07-16,54.2
2013-07-17,54.0
