Date,ACCELYA
2013-03-01,310.05
2013-03-04,310.35
2013-03-05,314.8
2013-03-06,319.85
2013-03-07,333.6
2013-03-08,344.15
2013-03-11,360.45
2013-03-12,367.2
2013-03-13,365.25
2013-03-14,380.0
2013-03-15,378.6
2013-03-18,372.0
2013-03-19,366.15
2013-03-20,347.0
2013-03-21,324.65
2013-03-22,327.45
2013-03-25,331.75
2013-03-26,332.85
2013-03-28,335.9
2013-04-01,362.8
2013-04-02,374.25
2013-04-03,366.0
2013-04-04,353.9
2013-04-05,344.95
2013-04-08,358.55
2013-04-09,347.2
2013-04-10,347.25
2013-04-11,350.9
2013-04-12,342.85
2013-04-15,349.7
2013-04-16,352.9
2013-04-17,355.1
2013-04-18,355.65
2013-04-22,354.9
2013-04-23,352.4
2013-04-25,369.5
2013-04-26,362.55
2013-04-29,383.6
2013-04-30,387.25
2013-05-02,376.85
2013-05-03,414.5
2013-05-06,455.95
2013-05-07,478.7
2013-05-08,475.7
2013-05-09,487.35
2013-05-10,510.25
2013-05-11,519.35
2013-05-13,502.95
2013-05-14,462.95
2013-05-15,454.65
2013-05-16,446.9
2013-05-17,443.65
2013-05-20,465.8
2013-05-21,463.7
2013-05-22,464.4
2013-05-23,451.85
2013-05-24,445.5
2013-05-27,456.95
2013-05-28,451.4
2013-05-29,446.95
2013-05-30,444.2
2013-05-31,438.45
2013-06-03,434.15
2013-06-04,440.85
2013-06-05,443.2
2013-06-06,461.65
2013-06-07,451.25
2013-06-10,457.6
2013-06-11,449.35
2013-06-12,445.75
2013-06-13,443.85
2013-06-14,438.35
2013-06-17,438.3
2013-06-18,445.45
2013-06-19,453.55
2013-06-20,453.5
2013-06-21,456.1
2013-06-24,442.45
2013-06-25,443.25
2013-06-26,440.2
2013-06-27,442.35
2013-06-28,454.4
2013-07-01,454.5
2013-07-02,450.9
2013-07-03,450.65
2013-07-04,454.9
2013-07-05,490.4
2013-07-08,516.4
2013-07-09,547.2
2013-07-10,533.0
2013-07-11,531.75
2013-07-12,544.6
2013-07-15,543.55
2013-07-16,533.95
2013-07-17,540.25
2013-07-18,542.95
2013-07-19,544.35
2013-07-22,573.85
2013-07-23,597.05
2013-07-24,590.45
2013-07-25,570.1
2013-07-26,544.2
2013-07-29,554.65
2013-07-30,540.95
2013-07-31,542.65
2013-08-01,545.7
2013-08-02,533.2
2013-08-05,550.8
2013-08-06,545.5
2013-08-07,546.05
2013-08-08,604.2
2013-08-12,646.15
2013-08-13,638.35
2013-08-14,610.3
2013-08-16,594.7
2013-08-19,605.1
2013-08-20,598.25
2013-08-21,599.8
2013-08-22,610.2
2013-08-23,641.35
2013-08-26,636.85
2013-08-27,616.45
2013-08-28,635.8
2013-08-29,618.65
2013-08-30,615.05
2013-09-02,606.6
2013-09-03,604.5
2013-09-04,621.95
2013-09-05,619.2
