Date,MAHINDCIE
2013-01-01,50.15
2013-01-02,51.3
2013-01-03,52.5
2013-01-04,52.2
2013-01-07,53.5
2013-01-08,52.95
2013-01-09,52.55
2013-01-10,52.7
2013-01-11,51.95
2013-01-14,52.3
2013-01-15,52.95
2013-01-16,52.65
2013-01-17,53.05
2013-01-18,50.9
2013-01-21,50.9
2013-01-22,49.8
2013-01-23,49.65
2013-01-24,48.05
2013-01-25,46.9
2013-01-28,46.7
2013-01-29,46.85
2013-01-30,46.9
2013-01-31,46.8
2013-02-01,46.45
2013-02-04,46.2
2013-02-05,44.5
2013-02-06,44.1
2013-02-07,43.65
2013-02-08,42.8
2013-02-11,42.05
2013-02-12,40.6
2013-02-13,41.55
2013-02-14,40.4
2013-02-15,40.2
2013-02-18,42.25
2013-02-19,44.45
2013-02-20,47.5
2013-02-21,45.6
2013-02-22,46.0
2013-02-25,44.65
2013-02-26,42.7
2013-02-27,45.0
2013-02-28,43.25
2013-03-01,42.8
2013-03-04,41.75
2013-03-05,43.65
2013-03-06,43.55
2013-03-07,43.05
2013-03-08,43.35
2013-03-11,43.25
2013-03-12,42.95
2013-03-13,41.35
2013-03-14,42.5
2013-03-15,44.5
2013-03-18,43.7
2013-03-19,42.2
2013-03-20,40.7
2013-03-21,40.0
2013-03-22,39.05
2013-03-25,38.65
2013-03-26,38.65
2013-03-28,37.35
2013-04-01,37.95
2013-04-02,38.35
2013-04-03,36.15
2013-04-04,36.65
2013-04-05,36.75
2013-04-08,36.45
2013-04-09,35.9
2013-04-10,36.6
2013-04-11,36.85
2013-04-12,36.05
2013-04-15,37.65
2013-04-16,37.8
2013-04-17,37.45
2013-04-18,37.7
2013-04-22,38.1
2013-04-23,38.95
2013-04-25,37.8
2013-04-26,36.45
2013-04-29,37.35
2013-04-30,36.9
2013-05-02,36.85
2013-05-03,36.0
2013-05-06,35.95
2013-05-07,36.05
2013-05-08,36.05
2013-05-09,36.0
2013-05-10,35.85
2013-05-11,37.85
2013-05-13,38.95
2013-05-14,38.85
2013-05-15,39.4
2013-05-16,41.05
2013-05-17,45.3
2013-05-20,46.25
2013-05-21,46.05
2013-05-22,41.65
2013-05-23,40.25
2013-05-24,40.45
2013-05-27,40.65
2013-05-28,41.0
2013-05-29,42.5
2013-05-30,43.3
2013-05-31,43.55
2013-06-03,44.9
2013-06-04,49.3
2013-06-05,54.6
2013-06-06,59.15
2013-06-07,60.4
2013-06-10,57.3
2013-06-11,55.85
2013-06-12,56.65
2013-06-13,58.65
2013-06-14,66.85
2013-06-17,66.3
2013-06-18,68.6
2013-06-19,66.7
2013-06-20,65.0
2013-06-21,64.0
2013-06-24,62.45
2013-06-25,60.45
2013-06-26,60.45
2013-06-27,59.95
2013-06-28,59.6
2013-07-01,59.95
2013-07-02,59.9
2013-07-03,62.7
2013-07-04,62.3
2013-07-05,61.85
2013-07-08,60.5
2013-07-09,61.35
2013-07-10,61.05
2013-07-11,62.25
2013-07-12,62.5
2013-07-15,62.9
2013-07-16,63.9
2013-07-17,63.4
2013-07-18,63.75
2013-07-19,63.7
2013-07-22,65.0
2013-07-23,65.05
2013-07-24,63.75
2013-07-25,63.85
2013-07-26,63.9
2013-07-29,63.0
2013-07-30,63.0
2013-07-31,63.0
2013-08-01,62.3
2013-08-02,62.2
2013-08-05,62.3
2013-08-06,61.7
2013-08-07,61.9
2013-08-08,61.8
2013-08-12,62.0
2013-08-13,63.05
2013-08-14,63.65
2013-08-16,63.65
2013-08-19,63.6
2013-08-20,63.25
2013-08-21,63.95
2013-08-22,64.3
2013-08-23,65.1
2013-08-26,65.3
2013-08-27,64.45
2013-08-28,63.65
2013-08-29,63.75
2013-08-30,64.4
2013-09-02,63.85
2013-09-03,64.4
2013-09-04,64.7
2013-09-05,66.05
2013-09-06,66.05
2013-09-10,66.1
2013-09-11,66.1
2013-09-12,66.35
2013-09-13,65.8
2013-09-16,65.45
2013-09-17,65.3
2013-09-18,65.2
2013-09-19,65.5
2013-09-20,65.5
2013-09-23,66.55
2013-09-24,65.35
2013-09-25,65.75
2013-09-26,66.25
2013-09-27,66.25
2013-09-30,66.95
2013-10-01,67.0
2013-10-03,66.7
2013-10-04,67.4
2013-10-07,67.4
2013-10-08,66.95
2013-10-09,66.45
2013-10-10,63.55
2013-10-11,63.55
2013-10-14,62.5
2013-10-15,62.25
2013-10-17,62.7
2013-10-18,60.3
2013-10-21,48.25
2013-10-22,39.75
2013-10-23,42.0
2013-10-24,43.3
2013-10-25,43.9
2013-10-28,43.95
2013-10-29,45.35
2013-10-30,47.15
2013-10-31,48.45
2013-11-01,47.5
2013-11-03,48.2
2013-11-05,47.75
2013-11-06,47.05
2013-11-07,46.9
2013-11-08,45.0
2013-11-11,45.2
2013-11-12,45.3
2013-11-13,44.9
2013-11-14,45.65
2013-11-18,46.0
2013-11-19,45.6
2013-11-20,45.25
2013-11-21,45.4
2013-11-22,45.95
2013-11-25,46.0
2013-11-26,45.85
2013-11-27,46.1
2013-11-28,45.95
2013-11-29,46.1
2013-12-02,47.15
2013-12-03,46.75
2013-12-04,46.85
2013-12-05,47.65
2013-12-06,47.95
2013-12-09,48.1
2013-12-10,48.55
2013-12-11,48.45
2013-12-12,47.4
2013-12-13,47.15
2013-12-16,46.35
