Date,OIL
2013-01-01,467.05
2013-01-02,470.75
2013-01-03,472.35
2013-01-04,481.9
2013-01-07,484.5
2013-01-08,475.9
2013-01-09,475.8
2013-01-10,495.45
2013-01-11,483.15
2013-01-14,490.75
2013-01-15,492.9
2013-01-16,494.3
2013-01-17,515.1
2013-01-18,559.9
2013-01-21,559.5
2013-01-22,560.45
2013-01-23,534.85
2013-01-24,528.8
2013-01-25,533.25
2013-01-28,537.7
2013-01-29,538.9
2013-01-30,526.35
2013-01-31,540.0
2013-02-01,525.5
2013-02-04,534.75
2013-02-05,529.9
2013-02-06,529.35
2013-02-07,526.9
2013-02-08,534.9
2013-02-11,536.35
2013-02-12,533.55
2013-02-13,542.1
2013-02-14,544.5
2013-02-15,548.55
2013-02-18,546.15
2013-02-19,550.45
2013-02-20,546.65
2013-02-21,544.35
2013-02-22,542.85
2013-02-25,530.7
2013-02-26,524.75
2013-02-27,532.15
2013-02-28,528.0
2013-03-01,529.4
2013-03-04,531.8
2013-03-05,544.35
2013-03-06,547.05
2013-03-07,535.0
2013-03-08,551.05
2013-03-11,548.85
2013-03-12,552.7
2013-03-13,543.45
2013-03-14,549.0
2013-03-15,544.6
2013-03-18,543.95
2013-03-19,515.1
2013-03-20,501.6
2013-03-21,502.5
2013-03-22,487.5
2013-03-25,509.25
2013-03-26,507.25
2013-03-28,510.75
2013-04-01,509.85
2013-04-02,507.1
2013-04-03,513.5
2013-04-04,519.25
2013-04-05,531.95
2013-04-08,535.45
2013-04-09,529.85
2013-04-10,529.1
2013-04-11,527.4
2013-04-12,527.2
2013-04-15,536.9
2013-04-16,554.8
2013-04-17,560.25
2013-04-18,560.2
2013-04-22,558.1
2013-04-23,555.3
2013-04-25,552.0
2013-04-26,552.55
2013-04-29,549.4
2013-04-30,549.9
2013-05-02,557.75
2013-05-03,558.0
2013-05-06,552.95
2013-05-07,549.95
2013-05-08,549.1
2013-05-09,548.95
2013-05-10,558.7
2013-05-11,560.1
2013-05-13,552.65
2013-05-14,561.8
2013-05-15,585.1
2013-05-16,598.7
2013-05-17,589.45
2013-05-20,593.1
2013-05-21,592.55
2013-05-22,586.0
2013-05-23,584.55
2013-05-24,578.7
2013-05-27,588.35
2013-05-28,601.95
2013-05-29,605.05
2013-05-30,600.0
2013-05-31,594.6
2013-06-03,570.35
2013-06-04,583.35
2013-06-05,579.65
2013-06-06,572.5
2013-06-07,573.3
2013-06-10,566.95
2013-06-11,556.7
2013-06-12,556.9
2013-06-13,532.1
2013-06-14,571.2
2013-06-17,571.5
2013-06-18,575.85
2013-06-19,576.5
2013-06-20,573.4
2013-06-21,569.25
2013-06-24,553.85
2013-06-25,545.5
2013-06-26,561.45
2013-06-27,572.15
2013-06-28,574.55
2013-07-01,581.3
2013-07-02,566.45
2013-07-03,557.2
2013-07-04,567.9
2013-07-05,568.9
2013-07-08,555.8
2013-07-09,537.3
2013-07-10,534.25
2013-07-11,526.7
2013-07-12,536.05
2013-07-15,548.1
2013-07-16,550.75
2013-07-17,554.3
2013-07-18,557.5
2013-07-19,551.55
2013-07-22,530.65
2013-07-23,532.05
2013-07-24,534.25
2013-07-25,536.95
2013-07-26,533.3
2013-07-29,532.95
2013-07-30,506.95
2013-07-31,517.2
2013-08-01,498.3
2013-08-02,485.4
2013-08-05,472.3
