Date,RAMCOIND
2013-01-01,71.15
2013-01-02,72.6
2013-01-03,71.5
2013-01-04,70.35
2013-01-07,69.75
2013-01-08,69.75
2013-01-09,69.25
2013-01-10,69.25
2013-01-11,68.2
2013-01-14,68.3
2013-01-15,68.75
2013-01-16,67.8
2013-01-17,66.0
2013-01-18,66.95
2013-01-21,67.0
2013-01-22,65.2
2013-01-23,64.3
2013-01-24,65.0
2013-01-25,65.9
2013-01-28,66.9
2013-01-29,66.8
2013-01-30,66.8
2013-01-31,67.4
2013-02-01,67.65
2013-02-04,66.4
2013-02-05,66.45
2013-02-06,65.75
2013-02-07,65.6
2013-02-08,63.55
2013-02-11,62.95
2013-02-12,62.4
2013-02-13,63.95
2013-02-14,63.8
2013-02-15,62.15
2013-02-18,67.3
2013-02-19,67.35
2013-02-20,64.8
2013-02-21,62.95
2013-02-22,62.6
2013-02-25,61.8
2013-02-26,60.9
2013-02-27,61.95
2013-02-28,60.7
2013-03-01,61.5
2013-03-04,60.75
2013-03-05,60.8
2013-03-06,60.95
2013-03-07,60.7
2013-03-08,58.95
2013-03-11,60.9
2013-03-12,60.55
2013-03-13,59.85
2013-03-14,59.75
2013-03-15,60.65
2013-03-18,60.55
2013-03-19,59.15
2013-03-20,55.1
2013-03-21,54.1
2013-03-22,52.9
2013-03-25,50.75
2013-03-26,51.5
2013-03-28,52.7
2013-04-01,55.0
2013-04-02,54.75
2013-04-03,51.95
2013-04-04,48.8
2013-04-05,48.15
2013-04-08,47.4
2013-04-09,47.05
2013-04-10,47.6
2013-04-11,48.6
2013-04-12,48.65
2013-04-15,48.1
2013-04-16,48.85
2013-04-17,48.55
2013-04-18,48.95
2013-04-22,48.55
2013-04-23,49.2
2013-04-25,50.1
2013-04-26,50.55
2013-04-29,50.55
2013-04-30,57.1
2013-05-02,60.15
2013-05-03,56.55
2013-05-06,54.9
2013-05-07,54.55
2013-05-08,54.15
2013-05-09,59.15
2013-05-10,58.35
2013-05-11,58.5
2013-05-13,58.2
2013-05-14,58.9
2013-05-15,59.0
2013-05-16,57.05
2013-05-17,57.35
2013-05-20,56.75
2013-05-21,57.05
2013-05-22,56.5
2013-05-23,54.6
2013-05-24,53.95
2013-05-27,53.0
2013-05-28,53.1
2013-05-29,52.55
2013-05-30,51.7
2013-05-31,50.05
2013-06-03,49.2
2013-06-04,52.45
2013-06-05,51.85
2013-06-06,50.25
2013-06-07,49.7
2013-06-10,47.9
2013-06-11,47.75
2013-06-12,47.4
2013-06-13,45.75
2013-06-14,47.25
2013-06-17,47.7
2013-06-18,48.05
2013-06-19,47.7
2013-06-20,45.3
2013-06-21,44.95
2013-06-24,44.05
2013-06-25,44.65
2013-06-26,44.0
2013-06-27,43.65
2013-06-28,42.05
2013-07-01,45.6
2013-07-02,45.8
2013-07-03,44.2
2013-07-04,44.4
2013-07-05,47.7
2013-07-08,52.2
2013-07-09,52.55
2013-07-10,48.35
2013-07-11,47.35
2013-07-12,46.8
2013-07-15,46.45
2013-07-16,45.75
2013-07-17,46.15
2013-07-18,45.8
2013-07-19,45.2
2013-07-22,45.0
2013-07-23,44.55
2013-07-24,44.45
2013-07-25,43.8
2013-07-26,42.95
2013-07-29,41.7
2013-07-30,41.0
2013-07-31,39.95
2013-08-01,39.2
2013-08-02,38.55
2013-08-05,38.0
2013-08-06,37.75
2013-08-07,38.75
2013-08-08,40.05
2013-08-12,38.55
2013-08-13,39.85
2013-08-14,39.95
2013-08-16,38.7
2013-08-19,38.1
2013-08-20,37.95
2013-08-21,38.2
2013-08-22,37.85
2013-08-23,37.6
2013-08-26,37.8
2013-08-27,37.3
2013-08-28,35.3
2013-08-29,36.0
2013-08-30,36.0
2013-09-02,36.25
2013-09-03,35.35
2013-09-04,34.95
2013-09-05,39.65
2013-09-06,39.7
2013-09-10,38.65
2013-09-11,39.1
2013-09-12,38.55
2013-09-13,38.25
2013-09-16,38.65
2013-09-17,37.95
2013-09-18,37.75
2013-09-19,38.05
2013-09-20,38.0
2013-09-23,37.85
2013-09-24,37.05
2013-09-25,37.05
2013-09-26,37.15
2013-09-27,36.9
2013-09-30,36.55
2013-10-01,37.0
2013-10-03,37.0
2013-10-04,36.75
2013-10-07,37.05
2013-10-08,36.75
2013-10-09,36.95
2013-10-10,37.5
2013-10-11,38.0
2013-10-14,38.4
2013-10-15,37.75
2013-10-17,37.2
2013-10-18,37.5
2013-10-21,38.15
2013-10-22,37.9
2013-10-23,36.1
2013-10-24,35.5
2013-10-25,34.85
2013-10-28,34.4
2013-10-29,34.15
2013-10-30,33.9
2013-10-31,33.85
2013-11-01,34.4
2013-11-03,35.4
2013-11-05,36.5
2013-11-06,36.25
2013-11-07,35.15
2013-11-08,35.0
2013-11-11,36.0
2013-11-12,36.25
2013-11-13,35.85
2013-11-14,36.05
2013-11-18,36.55
2013-11-19,37.45
2013-11-20,37.35
2013-11-21,36.95
2013-11-22,36.45
2013-11-25,36.75
2013-11-26,36.75
2013-11-27,36.85
2013-11-28,37.0
2013-11-29,37.05
2013-12-02,37.1
2013-12-03,38.1
2013-12-04,37.95
2013-12-05,37.45
2013-12-06,37.95
2013-12-09,38.7
2013-12-10,38.0
2013-12-11,37.35
2013-12-12,36.95
2013-12-13,36.5
2013-12-16,36.3
2013-12-17,36.85
2013-12-18,36.75
2013-12-19,36.65
2013-12-20,36.75
2013-12-23,36.6
2013-12-24,37.3
2013-12-26,37.45
2013-12-27,38.1
2013-12-30,42.05
2013-12-31,41.4
2014-01-01,39.95
2014-01-02,38.7
2014-01-03,38.15
2014-01-06,38.2
2014-01-07,37.4
2014-01-08,37.9
2014-01-09,38.0
2014-01-10,38.25
2014-01-13,37.7
2014-01-14,38.0
2014-01-15,37.65
2014-01-16,37.5
2014-01-17,38.0
2014-01-20,38.2
2014-01-21,38.0
2014-01-22,37.95
2014-01-23,37.5
2014-01-24,36.25
2014-01-27,35.0
2014-01-28,35.05
2014-01-29,36.0
2014-01-30,35.85
2014-01-31,35.45
2014-02-03,34.35
2014-02-04,33.75
2014-02-05,35.3
2014-02-06,34.85
2014-02-07,34.35
2014-02-10,34.65
2014-02-11,33.35
2014-02-12,31.8
2014-02-13,30.85
2014-02-14,30.0
2014-02-17,29.85
2014-02-18,30.75
2014-02-19,31.55
2014-02-20,31.8
2014-02-21,31.7
2014-02-24,32.25
2014-02-25,31.85
2014-02-26,32.05
2014-02-28,31.7
2014-03-03,30.8
2014-03-04,32.35
2014-03-05,33.2
2014-03-06,35.65
2014-03-07,35.5
2014-03-10,34.85
2014-03-11,35.6
2014-03-12,34.7
2014-03-13,34.95
2014-03-14,33.9
2014-03-18,34.3
2014-03-19,34.0
2014-03-20,33.65
2014-03-21,34.25
2014-03-22,33.95
2014-03-24,34.25
2014-03-25,34.15
2014-03-26,34.75
2014-03-27,34.75
2014-03-28,38.2
2014-03-31,37.6
2014-04-01,36.9
2014-04-02,38.1
2014-04-03,37.65
2014-04-04,38.1
2014-04-07,37.85
2014-04-09,39.15
2014-04-10,40.85
2014-04-11,41.75
2014-04-15,40.85
2014-04-16,37.8
2014-04-17,38.75
2014-04-21,38.7
2014-04-22,38.35
2014-04-23,38.25
2014-04-25,38.8
2014-04-28,39.05
2014-04-29,38.1
2014-04-30,37.7
2014-05-02,37.1
2014-05-05,37.5
2014-05-06,37.3
2014-05-07,37.15
2014-05-08,36.85
2014-05-09,36.85
2014-05-12,37.4
2014-05-13,37.3
2014-05-14,37.6
2014-05-15,37.35
2014-05-16,44.8
2014-05-19,53.75
2014-05-20,56.45
2014-05-21,54.15
2014-05-22,55.25
2014-05-23,52.45
2014-05-26,52.85
2014-05-27,52.2
2014-05-28,52.85
2014-05-29,52.2
2014-05-30,51.75
2014-06-02,53.6
2014-06-03,54.15
2014-06-04,59.55
2014-06-05,65.4
2014-06-06,63.85
2014-06-09,64.35
2014-06-10,67.7
2014-06-11,63.85
2014-06-12,62.1
2014-06-30,61.5
2014-07-01,62.9
2014-07-02,61.7
2014-07-03,61.55
2014-07-04,64.6
2014-07-07,67.8
2014-07-08,64.5
2014-07-09,61.4
2014-07-10,63.35
2014-07-11,61.65
2014-07-14,60.7
2014-07-15,63.7
2014-07-16,62.9
2014-07-17,66.0
2014-07-18,67.2
2014-07-21,68.4
2014-07-22,66.5
2014-07-23,64.25
2014-07-24,64.9
2014-07-25,62.9
2014-07-28,61.05
2014-07-30,62.65
2014-07-31,63.9
2014-08-01,61.9
2014-08-04,63.55
2014-08-05,64.05
2014-08-06,63.3
2014-08-07,61.9
2014-08-08,59.3
2014-08-11,57.7
2014-08-12,56.95
2014-08-13,56.65
2014-08-14,55.8
2014-08-18,58.95
2014-08-19,64.4
2014-08-20,65.95
2014-08-21,66.9
2014-08-22,66.6
2014-08-25,69.05
2014-08-26,67.4
2014-08-27,67.05
2014-08-28,65.9
2014-09-01,67.1
2014-09-02,68.9
2014-09-03,71.7
2014-09-04,69.15
2014-09-05,70.75
2014-09-08,72.9
2014-09-09,77.25
2014-09-10,78.35
2014-09-11,80.85
2014-09-12,77.5
2014-09-15,77.3
2014-09-16,71.4
2014-09-17,70.9
2014-09-18,74.0
2014-09-19,72.5
2014-09-22,73.75
2014-09-23,74.15
2014-09-24,75.3
2014-09-25,70.45
2014-09-26,71.1
2014-09-29,70.5
2014-09-30,70.5
2014-10-01,70.4
2014-10-07,67.35
2014-10-08,67.0
2014-10-09,68.3
2014-10-10,68.45
2014-10-13,67.25
2014-10-14,67.05
2014-10-16,64.3
2014-10-17,64.0
2014-10-20,65.6
2014-10-21,65.35
2014-10-22,65.6
2014-10-23,67.2
2014-10-27,66.2
2014-10-28,69.2
2014-10-29,69.95
2014-10-30,72.15
2014-10-31,70.0
2014-11-03,70.25
2014-11-05,84.15
2014-11-07,85.85
2014-11-10,89.45
2014-11-11,86.75
2014-11-12,85.15
2014-11-13,82.05
2014-11-14,84.05
2014-11-17,84.05
2014-11-18,88.6
2014-11-19,91.0
2014-11-20,87.8
2014-11-21,85.45
2014-11-24,83.6
2014-11-25,80.5
2014-11-26,78.65
2014-11-27,79.85
2014-11-28,79.7
2014-12-01,79.45
2014-12-02,78.3
2014-12-03,82.5
2014-12-04,82.35
2014-12-05,79.95
2014-12-08,80.7
2014-12-09,80.05
2014-12-10,79.7
2014-12-11,78.35
2014-12-12,75.0
2014-12-15,74.35
2014-12-16,69.5
2014-12-17,65.6
2014-12-18,68.8
2014-12-19,69.1
2014-12-22,69.6
2014-12-23,70.85
2014-12-24,70.75
2014-12-26,71.35
2014-12-29,72.2
2014-12-30,72.6
2014-12-31,72.5
2015-01-01,73.1
2015-01-02,83.3
2015-01-05,80.7
2015-01-06,79.65
2015-01-07,78.6
2015-01-08,85.45
2015-01-09,90.95
2015-01-12,92.3
2015-01-13,87.85
2015-01-14,87.1
2015-01-15,99.7
2015-01-16,97.3
2015-01-19,99.2
2015-01-20,96.5
2015-01-21,95.5
2015-01-22,92.05
2015-01-23,88.85
2015-01-27,88.7
2015-01-28,94.4
2015-01-29,95.1
2015-01-30,90.6
2015-02-02,94.75
2015-02-03,93.0
2015-02-04,91.35
2015-02-05,91.65
2015-02-06,88.75
2015-02-09,86.35
2015-02-10,85.85
2015-02-11,86.95
2015-02-12,86.95
2015-02-13,87.6
2015-02-16,86.55
2015-02-18,88.65
2015-02-19,87.6
2015-02-20,86.1
2015-02-23,84.8
2015-02-24,82.0
2015-02-25,80.75
2015-02-26,78.65
2015-02-27,78.9
2015-02-28,81.7
2015-03-02,84.2
2015-03-03,85.8
2015-03-04,81.95
2015-03-05,80.35
2015-03-09,79.35
2015-03-10,77.1
2015-03-11,77.35
2015-03-12,76.55
2015-03-13,74.85
2015-03-16,72.4
2015-03-17,73.05
2015-03-18,72.2
2015-03-19,71.2
2015-03-20,69.75
2015-03-23,67.9
2015-03-24,64.5
2015-03-25,64.4
2015-03-26,62.95
2015-03-27,66.5
2015-03-30,70.05
2015-03-31,69.65
2015-04-01,69.95
