Date,ANSALHSG
2013-01-01,54.05
2013-01-02,54.15
2013-01-03,55.65
2013-01-04,54.95
2013-01-07,55.8
2013-01-08,55.6
2013-01-09,54.85
2013-01-10,54.75
2013-01-11,61.1
2013-01-14,61.75
2013-01-15,59.05
2013-01-16,57.55
2013-01-17,58.5
2013-01-18,57.3
2013-01-21,59.95
2013-01-22,57.65
2013-01-23,55.4
2013-01-24,53.3
2013-01-25,54.5
2013-01-28,54.05
2013-01-29,55.95
2013-01-30,54.85
2013-01-31,53.95
2013-02-01,53.8
2013-02-04,51.5
2013-02-05,56.3
2013-02-06,56.95
2013-02-07,54.95
2013-02-08,53.5
2013-02-11,52.1
2013-02-12,53.65
2013-02-13,54.05
2013-02-14,58.0
2013-02-15,59.1
2013-02-18,60.9
2013-02-19,59.4
2013-02-20,59.75
2013-02-21,57.25
2013-02-22,57.25
2013-02-25,56.0
2013-02-26,55.3
2013-02-27,54.95
2013-02-28,53.4
2013-03-01,55.15
2013-03-04,57.25
2013-03-05,57.4
2013-03-06,58.3
2013-03-07,57.2
2013-03-08,55.0
2013-03-11,56.25
2013-03-12,55.9
2013-03-13,54.0
2013-03-14,56.1
2013-03-15,55.95
2013-03-18,57.7
2013-03-19,55.25
2013-03-20,53.85
2013-03-21,54.45
2013-03-22,52.9
2013-03-25,50.4
2013-03-26,49.55
2013-03-28,51.2
2013-04-01,53.0
2013-04-02,53.8
2013-04-03,55.3
2013-04-04,57.75
2013-04-05,56.55
2013-04-08,55.8
2013-04-09,56.0
2013-04-10,21.3
2013-04-11,21.3
2013-04-12,20.65
2013-04-15,20.0
2013-04-16,19.45
2013-04-17,18.9
2013-04-18,19.6
2013-04-22,18.95
2013-04-23,18.85
2013-04-25,18.45
2013-04-26,18.35
2013-04-29,17.75
2013-04-30,17.3
2013-05-02,17.25
2013-05-03,17.3
2013-05-06,17.1
2013-05-07,17.0
2013-05-08,16.85
2013-05-09,16.75
2013-05-10,16.95
2013-05-11,16.85
2013-05-13,16.95
2013-05-14,16.9
2013-05-15,17.05
2013-05-16,17.2
2013-05-17,17.25
2013-05-20,17.2
2013-05-21,17.25
2013-05-22,17.9
2013-05-23,17.05
2013-05-24,16.95
2013-05-27,17.1
2013-05-28,17.15
2013-05-29,16.85
2013-05-30,19.3
2013-05-31,18.4
2013-06-03,17.9
2013-06-04,17.65
2013-06-05,18.1
2013-06-06,17.8
2013-06-07,17.35
2013-06-10,17.1
2013-06-11,16.95
2013-06-12,16.55
2013-06-13,16.75
2013-06-14,17.0
2013-06-17,17.0
2013-06-18,16.9
2013-06-19,16.8
2013-06-20,16.65
2013-06-21,16.65
2013-06-24,16.1
2013-06-25,16.7
2013-06-26,16.6
2013-06-27,16.65
2013-06-28,16.65
2013-07-01,16.85
2013-07-02,17.05
2013-07-03,16.8
2013-07-04,16.8
2013-07-05,17.1
2013-07-08,16.85
2013-07-09,17.0
2013-07-10,17.5
2013-07-11,17.1
2013-07-12,16.9
2013-07-15,17.1
2013-07-16,16.85
2013-07-17,16.75
2013-07-18,17.15
2013-07-19,17.3
2013-07-22,17.6
2013-07-23,17.75
2013-07-24,17.5
2013-07-25,17.25
2013-07-26,16.55
2013-07-29,16.7
2013-07-30,15.95
2013-07-31,15.1
2013-08-01,15.1
2013-08-02,13.25
2013-08-05,12.6
2013-08-06,13.15
2013-08-07,14.05
2013-08-08,14.15
2013-08-12,14.4
2013-08-13,15.8
2013-08-14,15.9
2013-08-16,15.05
2013-08-19,15.15
2013-08-20,15.25
2013-08-21,14.7
2013-08-22,15.4
2013-08-23,15.0
2013-08-26,15.4
2013-08-27,15.25
2013-08-28,14.8
2013-08-29,15.25
2013-08-30,15.6
2013-09-02,15.4
2013-09-03,15.2
2013-09-04,15.35
2013-09-05,15.35
2013-09-06,15.45
2013-09-10,15.85
2013-09-11,15.85
2013-09-12,16.0
2013-09-13,16.8
2013-09-16,15.55
2013-09-17,15.1
2013-09-18,15.35
2013-09-19,15.9
2013-09-20,15.45
2013-09-23,15.0
2013-09-24,14.95
2013-09-25,14.65
2013-09-26,15.2
2013-09-27,14.75
2013-09-30,14.5
2013-10-01,14.3
2013-10-03,15.4
2013-10-04,16.25
2013-10-07,16.4
2013-10-08,15.9
2013-10-09,16.15
2013-10-10,16.85
2013-10-11,16.5
