Date,GAL
2013-06-14,27.1
2013-06-17,27.1
2013-06-18,27.5
2013-06-19,28.05
2013-06-20,28.65
2013-06-21,29.3
2013-06-24,29.05
2013-06-25,30.45
2013-06-26,30.0
2013-06-27,29.65
2013-06-28,28.8
2013-07-01,28.0
2013-07-02,27.5
2013-07-03,26.75
2013-07-04,26.55
2013-07-05,26.65
2013-07-09,25.25
2013-07-10,25.5
2013-07-11,26.7
2013-07-12,29.0
2013-07-15,29.3
2013-07-16,31.5
2013-07-17,30.0
2013-07-18,30.75
2013-07-19,29.4
2013-07-22,29.1
2013-07-23,28.75
2013-07-24,28.95
2013-07-25,28.9
2013-07-26,28.95
2013-07-29,28.95
2013-07-30,28.5
2013-07-31,28.5
2013-08-01,28.45
2013-08-02,28.2
2013-08-05,26.95
2013-08-06,26.8
2013-08-07,27.5
2013-08-08,27.1
2013-08-12,27.0
2013-08-13,27.0
2013-08-14,27.0
2013-08-16,27.0
2013-08-19,26.8
2013-08-20,26.9
2013-08-21,26.8
2013-08-22,26.3
2013-08-23,26.9
2013-08-26,26.8
2013-08-27,26.55
2013-08-28,27.0
2013-08-29,27.0
2013-08-30,27.0
2013-09-02,26.9
2013-09-03,26.9
2013-09-04,26.95
2013-09-05,26.65
2013-09-06,26.5
2013-09-10,27.0
2013-09-11,27.0
2013-09-12,27.0
2013-09-13,24.05
2013-09-16,26.7
2013-09-17,26.8
2013-09-18,25.55
2013-09-19,26.95
2013-09-20,26.9
2013-09-23,26.85
2013-09-24,26.85
2013-09-25,26.85
2013-09-26,26.85
2013-09-27,26.6
2013-09-30,26.5
2013-10-01,26.8
2013-10-03,26.5
2013-10-04,26.8
2013-10-07,26.85
2013-10-08,26.6
2013-10-09,26.6
2013-10-10,26.6
2013-10-11,26.75
2013-10-14,26.7
2013-10-15,26.6
2013-10-17,26.6
2013-10-18,26.7
2013-10-21,26.6
2013-10-22,26.85
2013-10-23,26.8
2013-10-24,26.6
2013-10-25,26.7
2013-10-28,26.7
2013-10-29,26.7
2013-10-30,26.7
2013-10-31,26.75
2013-11-01,26.75
2013-11-03,26.85
2013-11-05,26.8
2013-11-06,26.8
2013-11-07,26.8
2013-11-08,26.5
2013-11-11,26.4
2013-11-12,26.4
2013-11-13,26.7
2013-11-14,26.7
2013-11-18,26.7
2013-11-19,26.7
2013-11-20,26.7
2013-11-21,26.6
2013-11-22,26.65
2013-11-25,26.6
2013-11-26,26.7
2013-11-27,26.7
2013-11-28,26.3
2013-11-29,26.5
2013-12-02,26.6
2013-12-03,26.45
2013-12-04,26.5
2013-12-05,27.0
2013-12-06,26.65
2013-12-09,26.45
2013-12-10,27.0
2013-12-11,27.25
2013-12-12,27.05
2013-12-13,27.0
2013-12-16,27.0
2013-12-17,27.05
2013-12-18,26.65
2013-12-19,27.0
2013-12-20,26.95
2013-12-23,27.05
2013-12-24,26.0
2013-12-26,27.15
2013-12-27,28.0
2013-12-30,28.0
2013-12-31,27.15
2014-01-01,27.1
2014-01-02,27.0
2014-01-03,27.0
2014-01-06,26.95
2014-01-07,27.1
2014-01-08,27.0
2014-01-09,27.05
2014-01-10,27.0
2014-01-13,27.0
2014-01-14,27.0
2014-01-15,26.9
2014-01-16,26.45
2014-01-17,26.0
2014-01-20,25.55
2014-01-21,24.95
2014-01-22,24.75
2014-01-23,24.45
2014-01-24,23.5
2014-01-27,24.25
2014-01-28,24.5
2014-01-29,24.7
2014-01-30,23.5
2014-01-31,26.0
2014-02-03,25.3
2014-02-04,24.5
2014-02-05,24.4
2014-02-06,24.7
2014-02-07,24.6
2014-02-10,24.35
2014-02-11,24.4
2014-02-12,24.3
2014-02-13,24.0
2014-02-14,24.15
2014-02-17,24.55
2014-02-18,24.9
2014-02-19,25.35
2014-02-20,24.7
2014-02-21,24.9
2014-02-24,25.0
2014-02-25,24.2
2014-02-26,24.4
2014-02-28,25.75
2014-03-03,25.5
2014-03-04,27.15
2014-03-05,26.65
2014-03-06,26.95
2014-03-07,30.7
2014-03-10,29.3
2014-03-11,27.15
2014-03-12,32.15
2014-03-13,36.1
2014-03-14,35.85
2014-03-18,36.55
2014-03-19,37.95
2014-03-20,39.95
2014-03-21,41.2
2014-03-22,41.45
2014-03-24,41.4
2014-03-25,40.5
2014-03-26,42.7
2014-03-27,46.9
2014-06-13,40.95
2014-06-16,42.7
2014-06-17,44.2
2014-06-18,46.0
2014-06-19,47.65
2014-06-20,49.8
2014-06-23,48.8
2014-06-24,49.15
2014-06-25,49.35
2014-06-26,49.65
2014-06-27,49.55
2014-06-30,49.8
2014-07-01,47.4
2014-07-02,45.45
2014-07-03,44.85
2014-07-04,43.5
2014-07-07,42.25
2014-07-08,38.05
2014-07-09,34.25
2014-07-10,33.5
2014-07-11,32.65
2014-07-14,31.25
2014-07-15,32.8
2014-07-16,34.4
2014-07-17,36.1
2014-07-18,37.9
2014-07-21,39.75
2014-07-22,41.4
2014-07-23,42.5
2014-07-24,42.2
2014-07-25,42.9
2014-07-28,43.75
2014-07-30,44.25
2014-07-31,45.65
2014-08-01,46.5
2014-08-04,46.8
2014-08-05,46.85
2014-08-06,46.9
2014-08-07,46.9
2014-08-08,46.75
2014-08-11,44.45
2014-08-12,44.2
2014-08-13,45.0
2014-08-14,45.25
2014-08-18,46.15
2014-08-19,47.9
2014-08-20,47.55
2014-08-21,47.3
2014-08-22,47.7
2014-08-25,47.0
2014-08-26,47.15
2014-08-27,47.15
2014-08-28,47.0
2014-09-01,47.35
2014-09-02,46.3
2014-09-03,46.55
2014-09-04,46.15
2014-09-05,46.0
2014-09-08,46.9
2014-09-09,48.0
2014-09-10,48.9
2014-09-11,51.5
2014-09-12,54.4
2014-09-15,56.3
