Date,MANPASAND
2015-07-09,327.75
2015-07-10,332.65
2015-07-13,322.15
2015-07-14,325.25
2015-07-15,326.45
2015-07-16,328.15
2015-07-17,338.9
2015-07-20,352.75
2015-07-21,364.55
2015-07-22,370.3
2015-07-23,362.8
2015-07-24,351.6
2015-07-27,359.85
2015-07-28,367.7
2015-07-29,373.05
2015-07-30,390.95
2015-07-31,404.45
2015-08-03,382.25
2015-08-04,377.5
2015-08-05,392.1
2015-08-06,393.0
2015-08-07,394.25
2015-08-10,434.7
2015-08-11,416.75
2015-08-12,419.3
2015-08-13,411.75
2015-08-14,415.35
2015-08-17,416.9
2015-08-18,419.85
2015-08-19,431.65
2015-08-20,430.8
2015-08-21,429.25
2015-08-24,402.65
2015-08-25,393.9
2015-08-26,413.6
2015-08-27,435.65
2015-08-28,438.05
2015-08-31,429.3
2015-09-01,417.05
2015-09-02,409.45
2015-09-03,402.0
2015-09-04,398.8
2015-09-07,402.4
2015-09-08,393.7
2015-09-09,391.65
2015-09-10,390.75
2015-09-11,382.9
2015-09-14,414.75
2015-09-15,412.8
2015-09-16,405.9
2015-09-18,437.2
2015-09-21,426.9
2015-09-22,410.1
2015-09-23,416.75
2015-09-24,412.15
2015-09-28,408.8
2015-09-29,406.75
2015-09-30,397.5
2015-10-01,400.5
2015-10-05,433.7
2015-10-06,436.9
2015-10-07,420.8
2015-10-08,414.85
2015-10-09,416.75
2015-10-12,408.9
2015-10-13,412.1
2015-10-14,402.5
2015-10-15,422.35
2015-10-16,428.3
2015-10-19,430.9
2015-10-20,439.1
2015-10-21,443.2
2015-10-23,436.65
2015-10-26,434.1
2015-10-27,446.45
2015-10-28,430.55
2015-10-29,450.7
2015-10-30,451.3
2015-11-02,433.9
2015-11-03,434.8
2015-11-04,433.2
2015-11-05,420.4
2015-11-06,410.65
2015-11-09,407.5
2015-11-10,397.0
2015-11-11,404.2
2015-11-13,391.8
2015-11-16,383.0
2015-11-17,380.1
2015-11-18,370.0
2015-11-19,396.8
2015-11-20,416.35
2015-11-23,427.0
2015-11-24,421.3
2015-11-26,416.9
2015-11-27,425.15
2015-11-30,420.7
2015-12-01,416.5
2015-12-02,413.5
2015-12-03,406.8
2015-12-04,404.15
2015-12-07,404.75
2015-12-08,399.4
2015-12-09,408.05
2015-12-10,411.85
2015-12-11,407.3
2015-12-14,411.4
2015-12-15,422.6
2015-12-16,413.15
2015-12-17,425.45
2015-12-18,424.35
2015-12-21,434.45
2015-12-22,442.8
2015-12-23,442.3
2015-12-24,440.45
2015-12-28,490.5
2015-12-29,503.6
2015-12-30,498.65
2015-12-31,497.3
2016-01-01,504.95
2016-01-04,506.7
2016-01-05,507.4
2016-01-06,484.7
2016-01-07,458.3
2016-01-08,490.7
2016-01-11,477.7
2016-01-12,469.25
2016-01-13,458.45
2016-01-14,455.05
2016-01-15,440.65
2016-01-18,449.55
2016-01-19,463.2
2016-01-20,438.3
2016-01-21,446.85
2016-01-22,460.2
2016-01-25,465.2
2016-01-27,474.8
2016-01-28,479.35
2016-01-29,479.2
2016-02-01,480.6
2016-02-02,472.15
2016-02-03,467.4
2016-02-04,463.0
2016-02-05,458.8
2016-02-08,463.8
2016-02-09,461.2
2016-02-10,451.15
2016-02-11,435.1
2016-02-12,426.25
2016-02-15,444.3
2016-02-16,438.35
2016-02-17,437.5
2016-02-18,459.05
2016-02-19,470.55
2016-02-22,468.4
2016-02-23,447.95
2016-02-24,432.5
2016-02-25,442.55
2016-02-26,429.55
