Date,JSWENERGY
2013-01-01,68.85
2013-01-02,68.45
2013-01-03,68.4
2013-01-04,68.05
2013-01-07,68.25
2013-01-08,68.15
2013-01-09,67.35
2013-01-10,65.7
2013-01-11,65.35
2013-01-14,68.05
2013-01-15,68.2
2013-01-16,66.65
2013-01-17,66.4
2013-01-18,69.45
2013-01-21,73.85
2013-01-22,71.6
2013-01-23,73.5
2013-01-24,70.45
2013-01-25,72.05
2013-01-28,71.35
2013-01-29,71.7
2013-01-30,71.75
2013-01-31,71.15
2013-02-01,69.65
2013-02-04,68.45
2013-02-05,67.6
2013-02-06,66.75
2013-02-07,66.1
2013-02-08,63.85
2013-02-11,64.85
2013-02-12,64.4
2013-02-13,62.45
2013-02-14,60.5
2013-02-15,59.65
2013-02-18,61.2
2013-02-19,63.15
2013-02-20,62.9
2013-02-21,59.95
2013-02-22,59.95
2013-02-25,58.65
2013-02-26,57.3
2013-02-27,58.5
2013-02-28,54.3
2013-03-01,55.35
2013-03-04,55.6
2013-03-05,57.65
2013-03-06,59.4
2013-03-07,60.85
2013-03-08,61.1
2013-03-11,61.05
2013-03-12,59.6
2013-03-13,57.9
2013-03-14,58.85
2013-03-15,58.0
2013-03-18,57.4
2013-03-19,55.25
2013-03-20,52.0
2013-03-21,51.15
2013-03-22,51.95
2013-03-25,53.25
2013-03-26,51.7
2013-03-28,54.7
2013-04-01,56.3
2013-04-02,57.5
2013-04-03,57.85
2013-04-04,55.5
2013-04-05,55.6
2013-04-08,55.7
2013-04-09,55.25
2013-04-10,55.8
2013-04-11,55.65
2013-04-12,56.9
2013-04-15,56.5
2013-04-16,58.65
2013-04-17,61.3
2013-04-18,63.3
2013-04-22,63.2
2013-04-23,65.9
2013-04-25,64.45
2013-04-26,62.5
2013-04-29,64.6
2013-04-30,65.65
2013-05-02,67.25
2013-05-03,63.8
2013-05-06,64.05
2013-05-07,64.0
2013-05-08,63.75
2013-05-09,62.2
2013-05-10,62.8
2013-05-11,62.85
2013-05-13,61.45
2013-05-14,62.3
2013-05-15,65.25
2013-05-16,66.75
2013-05-17,67.2
2013-05-20,67.4
2013-05-21,65.0
2013-05-22,62.5
2013-05-23,58.7
2013-05-24,59.7
2013-05-27,59.9
2013-05-28,60.0
2013-05-29,57.25
2013-05-30,57.0
2013-05-31,55.75
2013-06-03,55.75
2013-06-04,57.2
2013-06-05,57.1
2013-06-06,57.9
2013-06-07,56.75
2013-06-10,55.55
2013-06-11,49.15
2013-06-12,50.15
2013-06-13,46.95
2013-06-14,50.9
2013-06-17,48.7
2013-06-18,48.6
2013-06-19,48.2
2013-06-20,45.5
2013-06-21,43.65
2013-06-24,41.65
2013-06-25,40.35
2013-06-26,40.5
2013-06-27,43.55
2013-06-28,43.5
2013-07-01,46.15
2013-07-02,47.3
2013-07-03,44.7
2013-07-04,44.75
2013-07-05,43.4
2013-07-08,43.4
2013-07-09,45.7
2013-07-10,45.05
2013-07-11,46.0
2013-07-12,44.15
2013-07-15,44.35
2013-07-16,43.85
