Date,CESC
2013-01-01,320.25
2013-01-02,320.7
2013-01-03,316.8
2013-01-04,314.45
2013-01-07,312.0
2013-01-08,316.6
2013-01-09,315.3
2013-01-10,310.35
2013-01-11,308.65
2013-01-14,318.7
2013-01-15,319.5
2013-01-16,317.3
2013-01-17,315.95
2013-01-18,324.9
2013-01-21,328.8
2013-01-22,333.3
2013-01-23,332.4
2013-01-24,325.2
2013-01-25,332.85
2013-01-28,330.9
2013-01-29,322.2
2013-01-30,314.75
2013-01-31,311.15
2013-02-01,324.55
2013-02-04,324.95
2013-02-05,326.4
2013-02-06,329.3
2013-02-07,327.5
2013-02-08,320.7
2013-02-11,323.4
2013-02-12,317.9
2013-02-13,302.25
2013-02-14,292.2
2013-02-15,298.9
2013-02-18,300.55
2013-02-19,302.55
2013-02-20,297.15
2013-02-21,298.85
2013-02-22,297.8
2013-02-25,286.7
2013-02-26,287.1
2013-02-27,288.55
2013-02-28,279.85
2013-03-01,281.55
2013-03-04,277.7
2013-03-05,287.85
2013-03-06,285.9
2013-03-07,293.65
2013-03-08,305.05
2013-03-11,305.4
2013-03-12,298.2
2013-03-13,303.8
2013-03-14,303.85
2013-03-15,297.2
2013-03-18,288.95
2013-03-19,294.2
2013-03-20,275.7
2013-03-21,276.15
2013-03-22,272.75
2013-03-25,265.25
2013-03-26,264.65
2013-03-28,264.85
2013-04-01,272.7
2013-04-02,279.65
2013-04-03,275.3
2013-04-04,270.15
2013-04-05,277.85
2013-04-08,279.15
2013-04-09,270.8
2013-04-10,269.95
2013-04-11,270.15
2013-04-12,275.5
2013-04-15,273.5
2013-04-16,290.45
2013-04-17,282.35
2013-04-18,283.5
2013-04-22,283.15
2013-04-23,287.95
2013-04-25,297.4
2013-04-26,290.8
2013-04-29,293.95
2013-04-30,285.8
2013-05-02,293.95
2013-05-03,296.6
2013-05-06,294.05
2013-05-07,301.3
2013-05-08,303.1
2013-05-09,302.6
2013-05-10,309.5
2013-05-11,308.5
2013-05-13,308.0
2013-05-14,316.1
