Date,MADRASFERT
2013-01-01,15.65
2013-01-02,16.5
2013-01-03,16.5
2013-01-04,16.65
2013-01-07,17.3
2013-01-08,17.65
2013-01-09,17.55
2013-01-10,17.4
2013-01-11,16.75
2013-01-14,16.6
2013-01-15,16.45
2013-01-16,16.5
2013-01-17,16.1
2013-01-18,16.35
2013-01-21,16.55
2013-01-22,16.4
2013-01-23,16.25
2013-01-24,15.85
2013-01-25,16.05
2013-01-28,15.75
2013-01-29,15.75
2013-01-30,15.75
2013-01-31,15.65
2013-02-01,15.55
2013-02-04,15.65
2013-02-05,15.1
2013-02-06,15.1
2013-02-07,15.0
2013-02-08,14.85
2013-02-11,14.85
2013-02-12,14.8
2013-02-13,15.0
2013-02-14,13.05
2013-02-15,13.2
2013-02-18,13.6
2013-02-19,13.8
2013-02-20,13.35
2013-02-21,13.4
2013-02-22,13.4
2013-02-25,13.25
2013-02-26,13.45
2013-02-27,13.85
2013-02-28,12.4
2013-03-01,12.5
2013-03-04,12.1
2013-03-05,12.45
2013-03-06,13.05
2013-03-07,13.1
2013-03-08,12.9
2013-03-11,12.65
2013-03-12,12.3
2013-03-13,12.55
2013-03-14,12.3
2013-03-15,12.2
2013-03-18,12.15
2013-03-19,11.8
2013-03-20,11.9
2013-03-21,11.6
2013-03-22,11.9
2013-03-25,11.7
2013-03-26,11.35
2013-03-28,11.9
2013-04-01,12.35
2013-04-02,12.65
2013-04-03,12.85
2013-04-04,13.25
2013-04-05,12.75
2013-04-08,12.8
2013-04-09,11.85
2013-04-10,11.8
2013-04-11,11.85
2013-04-12,11.45
2013-04-15,11.5
2013-04-16,11.5
2013-04-17,12.45
2013-04-18,12.2
2013-04-22,12.25
2013-04-23,12.25
2013-04-25,13.1
2013-04-26,12.6
2013-04-29,12.6
2013-04-30,12.35
2013-05-02,12.4
2013-05-03,10.65
2013-05-06,9.75
2013-05-07,9.8
2013-05-08,10.1
2013-05-09,10.2
2013-05-10,10.55
2013-05-11,10.55
2013-05-13,10.25
2013-05-14,10.0
2013-05-15,10.15
2013-05-16,10.1
2013-05-17,10.2
2013-05-20,10.6
2013-05-21,11.0
2013-05-22,10.45
2013-05-23,10.35
2013-05-24,10.5
2013-05-27,11.05
2013-05-28,11.1
2013-05-29,11.2
2013-05-30,10.9
2013-05-31,10.45
2013-06-03,10.75
2013-06-04,10.55
2013-06-05,10.8
2013-06-06,10.8
2013-06-07,11.0
2013-06-10,10.7
2013-06-11,10.35
2013-06-12,10.2
2013-06-13,10.1
2013-06-14,10.2
2013-06-17,10.1
2013-06-18,10.2
2013-06-19,10.3
2013-06-20,10.0
2013-06-21,10.3
2013-06-24,9.95
2013-06-25,9.95
2013-06-26,9.9
2013-06-27,9.9
2013-06-28,10.0
2013-07-01,10.45
2013-07-02,10.9
2013-07-03,10.7
2013-07-04,10.5
2013-07-05,10.2
2013-07-08,10.25
2013-07-09,10.3
2013-07-10,10.5
2013-07-11,10.8
2013-07-12,10.7
2013-07-15,12.3
2013-07-16,12.6
2013-07-17,12.55
2013-07-18,12.15
2013-07-19,12.05
2013-07-22,11.6
2013-07-23,11.45
2013-07-24,11.0
2013-07-25,10.8
2013-07-26,10.9
2013-07-29,10.55
2013-07-30,10.75
2013-07-31,10.8
2013-08-01,10.45
2013-08-02,9.9
2013-08-05,10.0
2013-08-06,9.8
2013-08-07,10.0
2013-08-08,10.7
2013-08-12,11.0
2013-08-13,11.3
2013-08-14,10.85
2013-08-16,10.4
2013-08-19,10.65
2013-08-20,10.75
2013-08-21,10.6
2013-08-22,11.05
2013-08-23,13.2
2013-08-26,12.4
2013-08-27,11.5
2013-08-28,11.8
2013-08-29,11.9
2013-08-30,12.2
2013-09-02,12.15
2013-09-03,11.95
2013-09-04,12.3
2013-09-05,13.05
2013-09-06,12.6
2013-09-10,13.0
2013-09-11,13.4
2013-09-12,13.65
2013-09-13,13.5
2013-09-16,13.5
2013-09-17,13.2
2013-09-18,13.6
2013-09-19,14.3
2013-09-20,13.6
2013-09-23,13.45
2013-09-24,12.95
2013-09-25,13.0
2013-09-26,13.2
2013-09-27,12.8
2013-09-30,13.0
2013-10-01,12.8
2013-10-03,12.65
2013-10-04,12.65
2013-10-07,12.95
2013-10-08,13.25
2013-10-09,13.55
2013-10-10,13.6
2013-10-11,13.65
2013-10-14,13.3
2013-10-15,13.2
2013-10-17,13.45
2013-10-18,13.85
2013-10-21,13.75
2013-10-22,13.45
2013-10-23,13.5
2013-10-24,13.75
2013-10-25,13.05
2013-10-28,13.0
2013-10-29,12.9
2013-10-30,12.85
2013-10-31,13.5
2013-11-01,13.1
2013-11-03,13.3
2013-11-05,14.1
2013-11-06,14.0
2013-11-07,12.9
2013-11-08,13.25
2013-11-11,12.95
2013-11-12,12.7
2013-11-13,12.5
2013-11-14,13.7
2013-11-18,13.9
2013-11-19,14.0
2013-11-20,13.65
2013-11-21,13.35
2013-11-22,13.75
2013-11-25,13.55
2013-11-26,13.65
2013-11-27,14.3
2013-11-28,13.85
2013-11-29,14.05
2013-12-02,14.4
2013-12-03,14.4
2013-12-04,13.95
2013-12-05,13.25
2013-12-06,13.4
2013-12-09,14.3
2013-12-10,14.0
2013-12-11,14.15
2013-12-12,13.85
2013-12-13,13.55
2013-12-16,13.55
2013-12-17,13.45
2013-12-18,13.6
2013-12-19,13.4
2013-12-20,13.45
2013-12-23,13.85
2013-12-24,13.75
2013-12-26,13.9
2013-12-27,13.7
2013-12-30,13.45
2013-12-31,13.5
2014-01-01,13.7
2014-01-02,13.2
2014-01-03,13.3
2014-01-06,14.0
2014-01-07,13.35
2014-01-08,13.2
2014-01-09,13.25
2014-01-10,13.3
2014-01-13,13.15
2014-01-14,13.25
2014-01-15,13.05
2014-01-16,12.9
2014-01-17,13.25
2014-01-20,13.05
2014-01-21,12.9
2014-01-22,13.7
