Date,MUTHOOTFIN
2013-01-01,210.1
2013-01-02,209.85
2013-01-03,230.2
2013-01-04,228.3
2013-01-07,229.95
2013-01-08,230.7
2013-01-09,225.8
2013-01-10,223.6
2013-01-11,216.6
2013-01-14,226.65
2013-01-15,220.25
2013-01-16,212.8
2013-01-17,210.1
2013-01-18,206.75
2013-01-21,211.65
2013-01-22,212.5
2013-01-23,215.6
2013-01-24,214.9
2013-01-25,216.55
2013-01-28,220.4
2013-01-29,222.0
2013-01-30,228.1
2013-01-31,227.55
2013-02-01,227.75
2013-02-04,224.05
2013-02-05,224.05
2013-02-06,219.9
2013-02-07,214.8
2013-02-08,213.2
2013-02-11,214.1
2013-02-12,214.65
2013-02-13,216.05
2013-02-14,215.3
2013-02-15,218.15
2013-02-18,217.9
2013-02-19,218.65
2013-02-20,217.5
2013-02-21,215.95
2013-02-22,215.85
2013-02-25,213.2
2013-02-26,214.2
2013-02-27,212.05
2013-02-28,210.15
2013-03-01,211.35
2013-03-04,205.45
2013-03-05,201.75
2013-03-06,206.2
2013-03-07,210.2
2013-03-08,209.05
2013-03-11,207.75
2013-03-12,205.65
2013-03-13,204.05
2013-03-14,202.6
2013-03-15,203.4
2013-03-18,205.95
2013-03-19,191.95
2013-03-20,174.85
2013-03-21,178.75
2013-03-22,177.8
2013-03-25,174.4
2013-03-26,177.95
2013-03-28,183.6
2013-04-01,180.2
2013-04-02,179.95
2013-04-03,177.6
2013-04-04,177.6
2013-04-05,178.2
2013-04-08,164.65
2013-04-09,160.75
2013-04-10,158.95
2013-04-11,155.3
2013-04-12,150.65
2013-04-15,132.25
2013-04-16,118.25
2013-04-17,120.45
2013-04-18,119.1
2013-04-22,127.65
2013-04-23,129.6
2013-04-25,129.7
2013-04-26,130.45
2013-04-29,129.95
2013-04-30,131.5
2013-05-02,133.9
2013-05-03,134.5
2013-05-06,137.3
2013-05-07,137.35
2013-05-08,139.8
2013-05-09,143.2
2013-05-10,149.6
2013-05-11,155.2
2013-05-13,157.95
2013-05-14,149.9
2013-05-15,159.7
2013-05-16,158.3
2013-05-17,157.9
2013-05-20,155.4
2013-05-21,155.95
2013-05-22,149.05
2013-05-23,143.1
2013-05-24,144.95
2013-05-27,146.85
