Date,KMSUGAR
2013-01-01,1.65
2013-01-02,1.6
2013-01-03,1.65
2013-01-04,1.6
2013-01-07,1.6
2013-01-08,1.6
2013-01-09,1.6
2013-01-10,1.55
2013-01-11,1.55
2013-01-14,1.55
2013-01-15,1.5
2013-01-16,1.5
2013-01-17,1.55
2013-01-18,1.5
2013-01-21,1.5
2013-01-22,1.55
2013-01-23,1.5
2013-01-24,1.55
2013-01-25,1.5
2013-01-28,1.55
2013-01-29,1.5
2013-01-30,1.5
2013-01-31,1.4
2013-02-01,1.5
2013-02-04,1.5
2013-02-05,1.45
2013-02-06,1.55
2013-02-07,1.6
2013-02-08,1.6
2013-02-11,1.5
2013-02-12,1.5
2013-02-13,1.5
2013-02-14,1.4
2013-02-15,1.4
2013-02-18,1.6
2013-02-19,1.65
2013-02-20,1.7
2013-02-21,1.7
2013-02-22,1.7
2013-02-25,1.5
2013-02-26,1.45
2013-02-27,1.5
2013-02-28,1.45
2013-03-01,1.3
2013-03-04,1.3
2013-03-05,1.35
2013-03-06,1.3
2013-03-07,1.4
2013-03-08,1.35
2013-03-11,1.35
2013-03-12,1.4
2013-03-13,1.55
2013-03-14,1.55
2013-03-15,1.45
2013-03-18,1.4
2013-03-19,1.4
2013-03-20,1.4
2013-03-21,1.35
2013-03-22,1.25
2013-03-25,1.2
2013-03-26,1.4
2013-03-28,1.5
2013-04-01,1.35
2013-04-02,1.55
2013-04-03,1.55
2013-04-04,1.55
2013-04-05,1.7
2013-04-08,1.65
2013-04-09,1.55
2013-04-10,1.45
2013-04-11,1.55
2013-06-19,1.3
2013-06-20,1.25
2013-06-24,1.2
2013-06-27,1.15
2013-07-01,1.1
2013-07-02,1.15
2013-07-03,1.15
2013-07-04,1.1
2013-07-05,1.1
2013-07-10,1.1
2013-07-16,1.15
2013-07-17,1.2
2013-07-18,1.2
2013-07-19,1.2
2013-07-23,1.2
2013-07-26,1.2
2013-07-29,1.2
2013-07-30,1.2
2013-07-31,1.2
2013-08-02,1.2
2013-08-19,1.15
2013-08-20,1.1
2013-08-21,1.1
2013-08-22,1.1
2013-09-04,1.1
2013-09-11,1.15
2013-09-12,1.2
2013-09-13,1.25
2013-09-16,1.3
2013-09-17,1.3
2013-09-18,1.35
2013-10-07,1.4
2013-10-08,1.35
2013-10-15,1.3
2013-10-18,1.25
2013-10-21,1.3
2013-10-22,1.35
2013-10-23,1.3
2013-10-24,1.3
2013-10-25,1.35
2013-10-28,1.35
2013-10-29,1.3
2013-10-31,1.3
2013-11-03,1.3
2013-11-05,1.3
2013-11-06,1.35
2013-11-07,1.3
2013-11-08,1.3
2013-11-11,1.25
2013-11-13,1.3
2013-11-14,1.3
