Date,JVLAGRO
2013-01-01,15.95
2013-01-02,16.0
2013-01-03,16.2
2013-01-04,16.25
2013-01-07,15.85
2013-01-08,16.1
2013-01-09,16.0
2013-01-10,15.7
2013-01-11,15.2
2013-01-14,15.7
2013-01-15,15.45
2013-01-16,15.1
2013-01-17,15.05
2013-01-18,15.0
2013-01-21,14.55
2013-01-22,14.15
2013-01-23,14.3
2013-01-24,14.1
2013-01-25,14.5
2013-01-28,14.2
2013-01-29,14.05
2013-01-30,14.2
2013-01-31,14.5
2013-02-01,14.3
2013-02-04,13.85
2013-02-05,14.05
2013-02-06,14.0
2013-02-07,13.75
2013-02-08,13.9
2013-02-11,13.9
2013-02-12,14.0
2013-02-13,13.9
2013-02-14,13.2
2013-02-15,13.4
2013-02-18,13.2
2013-02-19,13.5
2013-02-20,13.15
2013-02-21,13.05
2013-02-22,13.0
2013-02-25,12.85
2013-02-26,12.5
2013-02-27,12.35
2013-02-28,12.55
2013-03-01,12.5
2013-03-04,12.05
2013-03-05,11.4
2013-03-06,12.0
2013-03-07,12.55
2013-03-08,12.35
2013-03-11,12.15
2013-03-12,12.45
2013-03-13,12.3
2013-03-14,12.2
2013-03-15,12.1
2013-03-18,11.85
2013-03-19,11.75
2013-03-20,11.55
2013-03-21,11.15
2013-03-22,10.8
2013-03-25,10.9
2013-03-26,10.7
2013-03-28,10.75
2013-04-01,10.5
2013-04-02,10.95
2013-04-03,11.1
2013-04-04,11.0
2013-04-05,11.2
2013-04-08,11.7
2013-04-09,12.05
2013-04-10,12.2
2013-04-11,12.1
2013-04-12,11.95
2013-04-15,11.75
2013-04-16,11.7
2013-04-17,12.15
2013-04-18,12.3
2013-04-22,12.7
2013-04-23,12.5
2013-04-25,12.35
2013-04-26,12.65
2013-04-29,12.3
2013-04-30,11.65
2013-05-02,11.45
2013-05-03,12.0
2013-05-06,12.05
2013-05-07,12.5
2013-05-08,12.35
2013-05-09,11.95
2013-05-10,12.25
2013-05-11,12.25
2013-05-13,12.0
2013-05-14,12.0
2013-05-15,12.05
2013-05-16,12.45
2013-05-17,12.45
