Date,BSLNIFTY
2013-01-01,54.27
2013-01-02,54.25
2013-01-04,55.01
2013-01-07,54.63
2013-01-08,55.09
2013-01-09,54.6
2013-01-10,55.49
2013-01-11,55.85
2013-01-14,56.0
2013-01-15,57.2
2013-01-16,54.37
2013-01-18,55.0
2013-01-21,55.8
2013-01-22,55.0
2013-01-23,55.07
2013-01-24,56.0
2013-01-25,55.29
2013-01-28,55.2
2013-01-29,55.0
2013-01-30,54.5
2013-02-01,56.5
2013-02-05,55.0
2013-02-07,58.0
2013-02-08,55.0
2013-02-11,58.5
2013-02-12,58.5
2013-02-13,57.0
2013-02-14,57.35
2013-02-15,58.0
2013-02-19,57.2
2013-02-20,56.68
2013-02-21,54.5
2013-02-22,55.25
2013-02-25,54.74
2013-02-26,54.55
2013-02-27,54.73
2013-02-28,57.5
2013-03-01,56.64
2013-03-04,57.0
2013-03-05,55.24
2013-03-06,54.15
2013-03-07,56.0
2013-03-08,57.85
2013-03-11,58.7
2013-03-12,57.5
2013-03-13,58.0
2013-03-14,57.97
2013-03-15,57.22
2013-03-18,57.0
2013-03-19,56.97
2013-03-20,58.16
2013-03-21,58.07
2013-03-22,56.41
2013-03-25,57.48
2013-03-26,58.1
2013-03-28,58.99
2013-04-01,58.5
2013-04-02,59.5
2013-04-03,58.2
2013-04-04,57.91
2013-04-05,55.9
2013-04-08,57.79
2013-04-09,55.71
2013-04-10,55.19
2013-04-11,55.91
2013-04-12,54.5
2013-04-15,55.0
2013-04-16,54.5
2013-04-17,54.5
2013-04-18,55.69
2013-04-22,54.76
2013-04-23,54.3
2013-04-25,55.0
2013-04-26,55.4
2013-04-30,55.05
2013-05-02,55.05
2013-05-03,56.34
2013-05-06,55.6
2013-05-07,55.63
2013-05-08,56.69
2013-05-09,56.0
2013-05-10,56.9
2013-05-13,56.0
2013-05-14,56.5
2013-05-15,57.1
2013-05-16,57.0
2013-05-17,56.78
2013-05-20,57.69
2013-05-21,57.0
2013-05-22,58.57
2013-05-23,56.5
2013-05-24,55.4
2013-05-27,56.06
2013-05-28,56.2
2013-05-30,57.0
2013-05-31,55.99
2013-06-03,56.1
2013-06-04,57.74
2013-06-05,57.5
2013-06-06,56.31
2013-06-07,56.4
2013-06-10,56.01
2013-06-11,53.81
2013-06-12,56.25
2013-06-14,55.0
2013-06-17,56.89
2013-06-18,56.75
2013-06-19,56.0
2013-06-20,56.0
2013-06-21,55.2
2013-06-25,54.65
2013-06-26,54.51
2013-06-27,56.78
2013-06-28,54.66
2013-07-01,55.0
2013-07-02,55.5
2013-07-03,55.75
2013-07-04,55.02
2013-07-09,56.9
2013-07-10,57.0
2013-07-11,56.5
2013-07-12,55.5
2013-07-17,55.0
2013-07-18,56.0
2013-07-23,55.7
2013-07-24,55.5
2013-07-25,59.53
2013-07-30,55.75
2013-07-31,54.25
2013-08-01,58.76
2013-08-02,56.0
2013-08-05,57.0
2013-08-06,54.53
2013-08-07,53.05
2013-08-08,54.0
2013-08-12,56.48
2013-08-13,55.07
2013-08-14,56.0
2013-08-16,55.74
2013-08-19,57.37
2013-08-20,54.0
2013-08-21,55.25
2013-08-22,56.4
2013-08-23,58.0
2013-08-26,57.55
2013-08-27,54.28
2013-08-28,52.7
2013-08-29,55.89
2013-08-30,56.89
2013-09-02,55.5
2013-09-03,55.0
2013-09-04,54.75
2013-09-05,53.9
2013-09-06,54.49
2013-09-10,57.84
2013-09-11,55.5
2013-09-12,55.99
2013-09-13,56.43
2013-09-16,54.61
2013-09-17,54.8
2013-09-18,56.0
2013-09-19,55.5
2013-09-20,57.6
2013-09-23,56.5
2013-09-24,56.0
2013-09-25,57.0
2013-09-26,56.1
2013-09-27,54.97
2013-09-30,54.61
2013-10-01,54.6
2013-10-03,56.5
2013-10-04,55.5
2013-10-07,55.0
2013-10-08,55.7
2013-10-09,57.0
2013-10-10,56.99
2013-10-11,56.0
2013-10-14,56.0
2013-10-15,56.0
2013-10-17,55.75
2013-10-18,57.0
2013-10-21,57.0
2013-10-22,56.5
2013-10-23,57.0
2013-10-24,56.42
2013-10-25,57.8
2013-10-28,57.89
2013-10-29,57.0
2013-10-30,57.14
2013-10-31,57.15
2013-11-01,58.35
2013-11-03,57.5
2013-11-05,58.0
2013-11-06,58.0
2013-11-07,57.25
2013-11-08,59.0
2013-11-11,59.0
2013-11-12,58.9
2013-11-13,58.0
2013-11-14,58.99
2013-11-18,58.9
2013-11-19,57.6
2013-11-20,57.13
2013-11-21,57.99
2013-11-22,57.0
2013-11-26,57.1
2013-11-29,57.3
2013-12-02,57.3
2013-12-03,58.65
2013-12-05,58.65
2013-12-09,58.9
2013-12-10,59.69
2013-12-12,59.5
2013-12-16,59.65
2013-12-17,59.29
2013-12-18,57.5
2013-12-19,59.5
2013-12-20,59.5
2013-12-23,60.34
2013-12-24,59.5
2013-12-26,60.74
2013-12-27,60.7
2013-12-30,61.51
2013-12-31,61.36
2014-01-01,60.9
2014-01-03,62.0
2014-01-06,58.11
2014-01-07,60.99
2014-01-09,61.35
