Date,DTIL
2015-02-04,221.9
2015-02-05,221.55
2015-02-06,209.5
2015-02-09,251.4
2015-02-10,256.45
2015-02-11,261.25
2015-02-12,272.55
2015-02-13,267.45
2015-02-16,266.6
2015-02-18,259.95
2015-02-19,256.6
2015-02-20,254.35
2015-02-23,253.1
2015-02-24,250.15
2015-02-25,248.45
2015-02-26,244.55
2015-02-27,251.95
2015-02-28,248.2
2015-03-02,236.4
2015-03-03,231.1
2015-03-04,230.35
2015-03-05,233.05
2015-03-09,235.15
2015-03-10,241.05
2015-03-11,235.05
2015-03-12,235.35
2015-03-13,230.6
2015-03-16,223.95
2015-03-17,224.85
2015-03-18,222.5
2015-03-19,224.95
2015-03-20,228.8
2015-03-23,220.5
2015-03-24,216.95
2015-03-25,210.45
2015-03-26,204.25
2015-03-27,195.2
2015-03-30,202.35
2015-03-31,210.7
2015-04-01,219.05
2015-04-06,225.0
2015-04-07,228.65
2015-04-08,221.7
2015-04-09,227.4
2015-04-10,225.45
2015-04-13,222.2
2015-04-15,222.6
2015-04-16,217.7
2015-04-17,220.05
2015-04-20,211.0
2015-04-21,213.65
2015-04-22,207.9
2015-04-23,210.0
2015-04-24,205.1
2015-04-27,208.5
2015-04-28,217.1
2015-04-29,215.9
2015-04-30,208.4
2015-05-04,216.75
2015-05-05,211.55
2015-05-06,209.9
2015-05-07,207.35
2015-05-08,207.9
2015-05-11,219.25
2015-05-12,209.4
2015-05-13,213.35
2015-05-14,207.45
2015-05-15,222.1
2015-05-18,224.95
2015-05-19,223.45
2015-05-20,226.35
2015-05-21,230.0
2015-05-22,237.5
2015-05-25,232.1
2015-05-26,232.85
2015-05-27,236.95
2015-05-28,240.45
2015-05-29,241.5
2015-06-01,218.95
2015-06-02,211.55
2015-06-03,212.5
2015-06-04,215.0
2015-06-05,215.2
2015-06-08,212.0
2015-06-09,209.65
2015-06-10,210.75
2015-06-11,209.45
2015-06-12,211.8
2015-06-15,211.2
2015-06-16,211.85
2015-06-17,212.3
2015-06-18,213.9
2015-06-19,213.8
2015-06-22,214.3
2015-06-23,213.8
2015-06-24,214.95
2015-06-25,214.0
2015-06-26,211.35
2015-06-29,214.3
2015-06-30,223.4
2015-07-01,220.8
2015-07-02,217.8
2015-07-03,212.55
2015-07-06,218.0
2015-07-07,229.7
2015-07-08,225.65
2015-07-09,227.4
2015-07-10,227.65
2015-07-13,231.6
2015-07-14,230.25
2015-07-15,234.5
2015-07-16,238.1
2015-07-17,231.55
2015-07-20,235.85
2015-07-21,237.85
2015-07-22,238.0
2015-07-23,246.75
2015-07-24,254.55
2015-07-27,253.4
2015-07-28,252.7
2015-07-29,247.4
2015-07-30,255.15
2015-07-31,264.45
2015-08-03,252.95
2015-08-04,250.0
2015-08-05,250.95
2015-08-06,246.3
2015-08-07,248.2
2015-08-10,249.9
2015-08-11,246.25
2015-08-12,240.8
2015-08-13,241.55
2015-08-14,244.85
2015-08-17,238.95
2015-08-18,246.45
2015-08-19,242.9
2015-08-20,239.2
2015-08-21,232.8
2015-08-24,212.4
2015-08-25,216.45
2015-08-26,211.5
2015-08-27,218.95
2015-08-28,220.4
2015-08-31,217.4
2015-09-01,213.1
2015-09-02,216.25
2015-09-03,219.6
2015-09-04,213.0
2015-09-07,212.0
2015-09-08,210.65
2015-09-09,214.5
2015-09-10,212.05
2015-09-11,211.95
2015-09-14,215.9
2015-09-15,222.0
2015-09-16,222.55
2015-09-18,219.45
2015-09-21,224.6
2015-09-22,227.45
2015-09-23,229.9
2015-09-24,228.5
2015-09-28,229.05
2015-09-29,231.95
2015-09-30,229.2
2015-10-01,231.7
2015-10-05,230.5
2015-10-06,233.5
2015-10-07,234.0
2015-10-08,231.9
2015-10-09,233.55
2015-10-12,233.4
2015-10-13,236.2
2015-10-14,233.5
2015-10-15,241.45
2015-10-16,245.8
2015-10-19,256.15
2015-10-20,262.4
2015-10-21,253.15
2015-10-23,257.35
2015-10-26,254.7
2015-10-27,256.35
2015-10-28,255.2
2015-10-29,258.35
2015-10-30,257.6
2015-11-02,257.6
2015-11-03,259.95
2015-11-04,262.3
2015-11-05,257.5
2015-11-06,247.0
2015-11-09,257.4
2015-11-10,258.6
2015-11-11,259.6
2015-11-13,250.15
2015-11-16,253.45
2015-11-17,266.35
2015-11-18,274.05
2015-11-19,273.75
2015-11-20,274.65
2015-11-23,273.5
2015-11-24,266.3
2015-11-26,269.85
2015-11-27,270.6
2015-11-30,274.95
2015-12-01,274.75
