Date,RBL
2013-01-01,104.25
2013-01-02,104.0
2013-01-03,102.75
2013-01-04,103.75
2013-01-07,104.0
2013-01-08,106.7
2013-01-09,107.15
2013-01-10,109.8
2013-01-11,108.35
2013-01-14,109.0
2013-01-15,109.75
2013-01-16,107.25
2013-01-17,109.65
2013-01-18,109.05
2013-01-21,106.3
2013-01-22,108.65
2013-01-23,104.75
2013-01-24,108.0
2013-01-25,108.2
2013-01-28,108.8
2013-01-29,108.0
2013-01-30,107.0
2013-01-31,106.25
2013-02-01,106.5
2013-02-04,106.0
2013-02-05,106.0
2013-02-06,107.85
2013-02-07,106.0
2013-02-08,104.75
2013-02-11,101.85
2013-02-12,103.1
2013-02-13,106.1
2013-02-14,104.0
2013-02-15,108.0
2013-02-18,108.0
2013-02-19,106.0
2013-02-20,106.05
2013-02-21,106.1
2013-02-22,106.0
2013-02-25,106.05
2013-02-26,107.0
2013-02-27,107.0
2013-02-28,107.75
2013-03-01,107.35
2013-03-04,108.9
2013-03-05,108.25
2013-03-06,107.55
2013-03-07,107.2
2013-03-08,107.05
2013-03-11,105.4
2013-03-12,104.15
2013-03-13,105.5
2013-03-14,103.95
2013-03-18,103.0
2013-03-19,102.45
2013-03-20,101.1
2013-03-21,102.0
2013-03-22,99.75
2013-03-25,98.8
2013-03-26,95.55
2013-03-28,93.55
2013-04-01,93.2
2013-04-02,93.5
2013-04-03,95.6
2013-04-04,93.2
2013-04-12,95.0
2013-04-16,100.0
2013-04-17,109.8
2013-04-22,100.1
2013-04-30,97.0
2013-05-02,100.0
2013-05-09,100.0
2013-05-10,100.0
2013-05-13,95.05
2013-05-14,107.0
2013-05-16,103.0
2013-05-17,100.0
2013-05-20,100.0
2013-05-21,100.0
2013-05-22,100.05
2013-05-23,100.0
2013-05-29,104.0
2013-05-30,105.65
2013-05-31,105.5
2013-06-04,104.0
2013-06-07,105.0
2013-06-11,104.0
2013-06-14,106.5
2013-06-17,107.0
2013-06-18,107.0
2013-06-19,106.9
2013-06-20,107.8
2013-06-21,107.0
2013-06-26,107.0
2013-06-27,105.0
2013-07-01,107.85
2013-07-03,108.4
2013-07-05,105.0
2013-07-08,105.0
2013-07-11,105.0
2013-07-12,100.0
2013-07-15,105.0
2013-07-16,105.0
2013-07-17,103.0
2013-07-19,102.0
2013-07-22,105.0
2013-07-23,103.0
2013-07-24,104.0
2013-07-26,103.75
2013-07-29,106.0
2013-07-30,106.0
2013-07-31,107.4
2013-08-01,106.0
2013-08-02,105.1
2013-08-07,105.0
2013-08-08,105.2
2013-08-12,109.0
2013-08-14,106.0
2013-08-19,106.0
2013-08-23,105.0
2013-08-26,109.2
2013-08-27,109.0
2013-08-28,107.5
2013-08-29,105.2
2013-08-30,107.6
2013-09-04,107.0
2013-09-06,109.5
2013-09-10,105.0
2013-09-13,109.0
2013-09-16,114.4
2013-09-17,108.7
2013-09-19,108.0
2013-09-25,107.1
2013-09-26,107.0
2013-10-01,107.0
2013-10-03,107.0
2013-10-04,105.05
2013-10-09,105.1
2013-10-10,105.1
2013-10-14,107.0
2013-10-18,105.1
2013-10-25,109.0
2013-10-28,105.0
2013-10-29,106.25
2013-10-30,108.5
2013-10-31,105.0
2013-11-01,106.0
2013-11-06,107.2
2013-11-07,105.0
2013-11-08,105.0
2013-11-11,105.0
2013-11-19,105.0
2013-11-21,108.5
2013-11-25,108.6
2013-11-26,109.5
2013-12-02,110.9
2013-12-03,109.0
2013-12-04,108.5
2013-12-06,103.2
2013-12-16,108.35
2013-12-19,103.2
2013-12-20,108.0
2013-12-30,103.6
2013-12-31,108.75
2014-01-01,110.25
2014-01-07,109.2
2014-01-10,108.0
2014-01-13,107.2
2014-01-14,108.0
2014-01-15,108.0
2014-01-16,108.0
2014-01-17,110.0
2014-01-20,108.5
2014-01-21,110.25
2014-01-22,110.0
2014-01-23,108.25
2014-01-24,108.25
2014-01-27,106.15
2014-01-28,108.0
2014-01-29,110.0
2014-01-30,112.5
2014-01-31,110.0
2014-02-03,113.0
2014-02-04,115.0
2014-02-05,116.4
2014-02-06,115.0
2014-02-07,115.15
2014-02-11,115.0
2014-02-12,114.0
2014-02-13,116.2
2014-02-14,114.5
2014-02-17,114.0
2014-02-18,114.0
2014-02-19,117.0
2014-02-20,114.0
2014-02-21,114.0
2014-02-24,117.5
2014-02-26,115.15
2014-02-28,118.0
2014-03-03,116.35
2014-03-04,115.0
2014-03-05,115.0
2014-03-06,115.1
2014-03-07,115.2
2014-03-10,115.0
2014-03-11,115.0
2014-03-12,123.4
2014-03-13,121.05
2014-03-14,123.45
2014-03-18,120.0
2014-03-19,127.85
2014-03-20,121.65
2014-03-21,126.2
2014-03-22,128.95
2014-03-24,123.6
2014-03-25,123.05
2014-03-26,131.3
2014-03-27,130.3
2014-03-28,131.85
2014-03-31,135.0
2014-04-01,136.95
2014-04-02,136.05
2014-04-03,134.9
2014-04-04,130.1
2014-04-07,128.7
2014-04-09,130.15
2014-04-10,128.1
2014-04-11,129.75
2014-04-15,127.2
2014-04-16,123.0
2014-04-17,128.75
2014-04-21,141.6
2014-04-22,148.75
2014-04-23,149.0
2014-04-25,148.15
2014-04-28,144.3
2014-04-29,147.0
2014-04-30,145.0
2014-05-02,144.0
2014-05-05,141.95
2014-05-06,139.95
2014-05-07,139.0
2014-05-08,138.65
2014-05-09,135.6
2014-05-12,140.0
2014-05-13,135.0
2014-05-14,134.5
2014-05-15,135.5
2014-05-16,134.3
2014-05-19,138.25
2014-05-20,141.75
2014-05-21,148.7
2014-05-22,178.4
2014-05-23,209.7
2014-05-26,194.8
2014-05-27,190.6
2014-05-28,198.95
2014-05-29,209.3
2014-05-30,204.65
2014-06-02,212.3
2014-06-03,221.15
2014-06-04,222.05
2014-06-05,225.85
2014-06-06,223.4
2014-06-09,223.05
2014-06-10,220.3
2014-06-11,219.05
2014-06-12,218.7
2014-06-13,219.55
2014-06-16,220.7
2014-06-17,235.95
2014-06-18,226.85
2014-06-19,226.0
2014-06-20,225.1
2014-06-23,225.05
2014-06-24,227.75
2014-06-25,226.6
2014-06-26,226.05
2014-06-27,229.75
2014-08-06,260.9
2014-08-07,260.2
2014-08-08,253.15
2014-08-11,246.7
2014-08-12,250.9
2014-08-13,245.6
2014-08-14,240.85
2014-08-18,249.75
2014-08-19,252.8
2014-08-20,258.6
2014-08-21,263.45
2014-08-22,276.6
2014-08-25,280.0
2014-08-26,266.0
2014-08-27,266.1
2014-08-28,270.0
2014-09-01,282.8
2014-09-02,283.05
2014-09-03,275.5
2014-09-04,273.25
2014-09-05,279.35
2014-09-08,307.25
2014-09-09,325.1
2014-09-10,319.6
2014-09-11,327.65
2014-09-12,320.65
2014-09-15,320.3
2014-09-16,297.1
2014-09-17,302.25
2014-09-18,323.05
2014-09-19,315.8
2014-09-22,320.6
2014-09-23,308.3
2014-09-24,303.6
2014-09-25,287.55
2014-09-26,291.4
2014-09-29,293.35
2014-09-30,291.95
2014-10-01,297.1
2014-10-07,287.4
2014-10-08,285.25
2014-10-09,300.05
2014-10-10,293.75
2014-10-13,313.8
2014-10-14,319.4
2014-10-16,315.3
2014-10-17,309.1
2014-10-20,319.35
2014-10-21,287.0
2014-10-22,285.3
2014-10-23,284.5
2014-10-27,288.95
2014-10-28,282.25
2014-10-29,278.75
2014-10-30,276.55
2014-10-31,288.45
2014-11-03,284.75
2014-11-05,279.55
2014-11-07,264.8
2014-11-10,269.35
2014-11-11,269.9
2014-11-12,278.75
2014-11-13,289.95
