Date,PEL
2013-01-01,521.15
2013-01-02,523.65
2013-01-03,539.5
2013-01-04,561.0
2013-01-07,554.25
2013-01-08,563.1
2013-01-09,570.45
2013-01-10,571.4
2013-01-11,572.95
2013-01-14,575.2
2013-01-15,571.6
2013-01-16,564.8
2013-01-17,568.95
2013-01-18,573.75
2013-01-21,566.7
2013-01-22,561.55
2013-01-23,558.2
2013-01-24,555.4
2013-01-25,550.75
2013-01-28,561.6
2013-01-29,565.6
2013-01-30,564.0
2013-01-31,566.85
2013-02-01,564.9
2013-02-04,563.75
2013-02-05,559.15
2013-02-06,554.9
2013-02-07,551.4
2013-02-08,550.25
2013-02-11,559.45
2013-02-12,553.75
2013-02-13,563.05
2013-02-14,565.25
2013-02-15,572.2
2013-02-18,575.85
2013-02-19,571.8
2013-02-20,557.0
2013-02-21,565.4
2013-02-22,572.25
2013-02-25,568.65
2013-02-26,561.7
2013-02-27,556.2
2013-02-28,573.45
2013-03-01,555.15
2013-03-04,554.25
2013-03-05,583.9
2013-03-06,567.3
2013-03-07,575.05
2013-03-08,578.05
2013-03-11,578.75
2013-03-12,572.1
2013-03-13,574.65
2013-03-14,581.25
2013-03-15,585.25
2013-03-18,602.05
2013-03-19,601.35
2013-03-20,598.55
2013-03-21,597.35
2013-03-22,599.4
2013-03-25,588.45
2013-03-26,599.7
2013-03-28,611.3
2013-04-01,607.1
2013-04-02,597.65
2013-04-03,599.45
2013-04-04,593.0
2013-04-05,595.8
2013-04-08,574.2
2013-04-09,572.9
2013-04-10,570.3
2013-04-11,563.65
2013-04-12,573.9
2013-04-15,573.8
2013-04-16,573.55
2013-04-17,570.65
2013-04-18,569.95
2013-04-22,570.1
2013-04-23,569.25
2013-04-25,570.5
2013-04-26,567.65
2013-04-29,565.0
2013-04-30,561.05
2013-05-02,544.55
2013-05-03,543.15
2013-05-06,553.4
2013-05-07,557.35
2013-05-08,569.85
2013-05-09,567.0
2013-05-10,574.55
2013-05-11,574.35
2013-05-13,578.0
2013-05-14,585.3
2013-05-15,589.05
2013-05-16,585.8
2013-05-17,583.5
2013-05-20,577.75
2013-05-21,573.55
2013-05-22,565.6
2013-05-23,555.65
2013-05-24,559.0
2013-05-27,552.5
2013-05-28,552.1
2013-05-29,569.95
2013-05-30,556.8
2013-05-31,535.45
2013-06-03,531.0
2013-06-04,547.5
2013-06-05,555.35
2013-06-06,543.7
2013-06-07,554.2
2013-06-10,545.25
2013-06-11,538.65
2013-06-12,533.05
2013-06-13,522.0
2013-06-14,533.95
2013-06-17,529.55
2013-06-18,560.3
2013-06-19,556.25
2013-06-20,549.95
2013-06-21,510.35
2013-06-24,489.2
2013-06-25,475.6
2013-06-26,488.85
2013-06-27,511.2
2013-06-28,569.7
2013-07-01,584.6
2013-07-02,568.0
2013-07-03,575.25
2013-07-04,576.3
2013-07-05,582.05
2013-07-08,577.3
2013-07-09,575.55
2013-07-10,569.9
2013-07-11,578.0
2013-07-12,578.25
2013-07-15,577.95
2013-07-16,577.6
2013-07-17,570.45
2013-07-18,586.4
2013-07-19,599.45
2013-07-22,598.25
2013-07-23,604.75
2013-07-24,596.55
2013-07-25,588.8
2013-07-26,566.5
2013-07-29,550.3
2013-07-30,542.7
2013-07-31,555.8
2013-08-01,551.6
2013-08-02,564.85
2013-08-05,579.05
2013-08-06,572.55
2013-08-07,580.15
2013-08-08,581.25
2013-08-12,577.25
2013-08-13,588.7
