Date,ORIENTBELL
2013-01-01,98.1
2013-01-02,97.45
2013-01-03,98.05
2013-01-04,98.5
2013-01-07,99.7
2013-01-08,101.55
2013-01-09,102.8
2013-01-10,105.75
2013-01-11,101.9
2013-01-14,102.65
2013-01-15,103.85
2013-01-16,102.3
2013-01-17,99.95
2013-01-18,97.9
2013-01-21,96.55
2013-01-22,93.1
2013-01-23,90.55
2013-01-24,86.1
2013-01-25,85.55
2013-01-28,84.15
2013-01-29,82.55
2013-01-30,83.0
2013-01-31,80.0
2013-02-01,79.65
2013-02-04,78.7
2013-02-05,79.55
2013-02-06,85.65
2013-02-07,87.25
2013-02-08,84.3
2013-02-11,86.65
2013-02-12,86.05
2013-02-13,83.65
2013-02-14,78.75
2013-02-15,72.75
2013-02-18,74.25
2013-02-19,75.0
2013-02-20,76.95
2013-02-21,75.85
2013-02-22,75.95
2013-02-25,74.4
2013-02-26,69.85
2013-02-27,69.4
2013-02-28,69.0
2013-03-01,64.3
2013-03-04,65.3
2013-03-05,64.7
2013-03-06,66.55
2013-03-07,67.25
2013-03-08,67.75
2013-03-11,69.0
2013-03-12,79.7
2013-03-13,74.3
2013-03-14,69.55
2013-03-15,70.6
2013-03-18,68.9
2013-03-19,68.75
2013-03-20,65.95
2013-03-21,63.95
2013-03-22,60.35
2013-03-25,68.45
2013-03-26,71.45
2013-03-28,71.4
2013-04-01,69.4
2013-04-02,72.1
2013-04-03,77.0
2013-04-04,76.1
2013-04-05,73.05
2013-04-08,75.15
2013-04-09,74.2
2013-04-10,73.15
2013-04-11,72.5
2013-04-12,74.8
2013-04-15,72.7
2013-04-16,71.45
2013-04-17,71.5
2013-04-18,70.7
2013-04-22,69.05
2013-04-23,69.7
2013-04-25,69.55
2013-04-26,69.0
2013-04-29,70.35
2013-04-30,68.05
2013-05-02,68.85
2013-05-03,68.85
2013-05-06,70.0
2013-05-07,70.6
2013-05-08,70.8
2013-05-09,69.1
2013-05-10,70.05
2013-05-11,68.5
2013-05-13,69.85
2013-05-14,70.0
2013-05-15,71.55
2013-05-16,70.4
2013-05-17,70.95
2013-05-20,71.1
2013-05-21,72.35
2013-05-22,71.0
2013-05-23,68.0
2013-05-24,71.8
2013-05-27,69.8
2013-05-28,69.7
2013-05-29,66.9
2013-05-30,65.4
2013-05-31,63.2
2013-06-03,66.4
2013-06-04,65.25
2013-06-05,66.05
2013-06-06,66.85
2013-06-07,62.9
2013-06-10,61.2
2013-06-11,57.5
2013-06-12,56.6
2013-06-13,55.35
2013-06-14,57.4
2013-06-17,56.65
2013-06-18,56.85
2013-06-19,57.0
2013-06-20,55.45
2013-06-21,54.0
2013-06-24,53.0
2013-06-25,51.0
2013-06-26,50.2
2013-06-27,48.2
2013-06-28,47.25
2013-07-01,48.2
2013-07-02,50.05
2013-07-03,49.9
2013-07-04,51.15
2013-07-05,52.7
2013-07-08,52.45
2013-07-09,52.45
2013-07-10,52.45
2013-07-11,50.95
2013-07-12,49.05
2013-07-15,49.6
2013-07-16,50.25
2013-07-17,49.1
2013-07-18,49.15
2013-07-19,49.1
