Date,STINDIA
2013-03-01,15.1
2013-03-06,15.1
2013-03-07,15.85
2013-03-08,15.85
2013-03-12,16.6
2013-03-13,16.6
2013-03-15,17.3
2013-03-20,16.45
2013-03-25,16.45
2013-03-28,16.45
2013-04-03,16.0
2013-04-04,15.2
2013-04-05,14.45
2013-04-18,14.0
2013-06-14,14.5
2013-06-19,15.2
2013-06-25,15.2
2013-06-26,15.6
2013-11-05,14.85
2013-12-06,14.15
2013-12-13,13.45
2014-01-24,12.8
2014-02-21,12.2
2014-03-10,11.6
2014-06-13,10.2
2014-06-16,10.5
2014-06-17,11.0
2014-06-18,11.5
2014-06-19,12.05
2014-06-20,12.3
2014-06-23,11.7
2014-06-24,11.15
2014-06-25,10.6
2014-06-27,10.1
2014-08-08,9.1
2014-08-21,8.65
2014-08-26,8.25
2014-08-28,8.5
2014-09-05,8.1
2014-09-08,7.7
2014-09-09,8.05
2014-09-15,8.35
2014-09-16,8.35
2014-09-18,8.0
2014-09-23,7.8
2014-09-25,7.7
2014-09-26,8.05
2014-09-30,8.4
2014-10-01,8.15
2014-10-08,7.75
2014-10-09,7.75
2014-10-14,7.4
2014-10-17,7.05
2014-10-21,7.05
2014-10-27,6.7
2014-10-28,6.5
2014-10-29,6.25
2014-10-31,6.55
2014-11-03,6.85
2014-11-05,6.6
2014-11-07,6.6
2014-11-10,6.6
2014-11-13,6.9
2014-11-14,7.05
2014-11-18,7.05
2014-11-20,7.4
2014-11-21,7.05
2014-11-28,6.8
2014-12-01,6.8
2014-12-02,6.5
2014-12-03,6.8
2014-12-08,7.1
2014-12-09,7.0
2014-12-10,7.35
2014-12-11,7.1
2014-12-12,6.85
2014-12-16,7.0
2014-12-18,6.7
2014-12-19,6.65
2014-12-22,6.4
2014-12-23,6.7
2014-12-24,6.65
2014-12-30,6.35
2015-01-01,6.65
2015-01-02,6.95
2015-01-05,7.25
2015-01-09,7.05
2015-01-12,6.75
2015-01-19,7.05
2015-01-21,7.4
2015-01-22,7.75
2015-01-23,7.8
2015-02-03,8.15
2015-02-04,8.55
2015-02-06,8.95
2015-02-10,9.35
2015-02-11,9.8
2015-02-16,10.25
2015-06-01,10.0
2015-06-09,10.2
2015-07-03,9.7
2015-07-16,9.7
2015-07-20,9.65
2015-07-24,9.6
2015-07-28,9.6
2015-07-30,10.0
2015-07-31,9.5
2015-08-03,9.5
2015-08-04,9.05
2015-08-05,9.15
2015-08-07,8.7
2015-08-10,8.4
2015-08-11,8.8
2015-08-12,8.8
2015-08-13,9.2
2015-08-17,9.65
2015-08-19,10.1
2015-08-20,9.65
2015-08-24,10.1
2015-08-26,9.6
2015-09-01,10.05
2015-09-07,9.55
2015-10-19,9.55
2015-10-23,10.0
2015-10-29,10.5
2015-10-30,11.0
2015-11-02,11.55
2015-11-04,12.05
2015-11-06,12.1
2015-11-13,12.1
2015-11-18,11.5
2015-11-19,10.95
2015-11-27,11.45
2015-11-30,11.1
2015-12-01,11.65
2015-12-02,12.2
2015-12-03,12.8
2015-12-04,12.65
2015-12-07,12.65
2015-12-08,12.6
2015-12-11,13.2
2015-12-14,13.85
2015-12-15,14.5
2015-12-16,15.2
2015-12-17,15.95
2015-12-18,16.7
2015-12-21,17.5
2015-12-22,18.35
2015-12-23,19.25
2015-12-24,20.2
2015-12-28,21.2
2015-12-29,22.25
2015-12-30,23.35
2015-12-31,24.5
2016-01-01,25.7
2016-01-04,26.95
2016-02-15,22.05
2016-02-29,20.95
2016-03-16,19.95
2016-03-21,19.0
2016-04-05,18.05
2016-04-06,17.15
2016-04-13,16.3
2016-04-21,15.5
2016-04-22,14.75
2016-04-25,14.5
2016-04-26,15.0
2016-04-27,15.0
2016-04-28,15.0
2016-05-02,14.3
2016-05-05,13.6
2016-05-06,12.95
2016-05-09,12.35
2016-05-13,11.8
2016-05-17,11.35
2016-05-18,10.95
2016-05-19,10.75
2016-05-25,10.4
2016-06-01,10.0
2016-06-02,10.0
2016-06-06,9.5
2016-06-07,9.95
2016-06-08,9.8
2016-06-09,9.5
2016-06-13,9.15
2016-06-14,9.6
2016-06-15,9.7
2016-06-16,9.9
2016-06-20,9.45
2016-06-21,9.9
2016-06-29,10.35
2016-06-30,10.85
2016-07-01,11.25
2016-07-04,11.1
2016-07-05,11.6
2016-07-07,11.1
2016-07-08,11.3
2016-07-11,11.0
2016-07-12,10.5
2016-07-13,10.05
2016-07-15,10.1
2016-07-18,10.1
2016-07-19,10.5
2016-07-20,10.8
2016-07-21,10.3
2016-07-22,10.05
2016-07-25,9.75
2016-07-26,10.15
2016-07-27,9.8
2016-07-28,9.4
2016-07-29,9.85
2016-08-02,10.3
2016-08-04,10.25
2016-08-05,9.8
2016-08-08,9.55
2016-08-11,9.1
2016-08-12,9.55
2016-08-16,9.2
2016-08-17,8.8
2016-08-18,8.4
2016-08-19,8.2
2016-08-22,8.6
2016-08-23,8.35
2016-08-25,8.75
2016-08-26,8.85
2016-08-29,8.65
2016-08-30,8.3
2016-08-31,8.05
2016-09-01,8.05
2016-09-02,8.25
2016-09-06,8.6
2016-09-07,8.5
2016-09-08,8.95
2016-09-09,8.95
2016-09-14,8.3
2016-09-15,9.1
2016-09-16,10.0
2016-09-19,9.25
2016-09-20,10.0
2016-09-21,10.65
2016-09-22,10.6
2016-09-23,11.0
2016-09-26,10.45
2016-09-27,9.95
2016-09-28,9.5
2016-09-29,9.05
2016-10-04,9.0
2016-10-05,8.8
2016-10-06,8.85
2016-10-10,9.05
2016-10-13,9.95
2016-10-14,10.75
2016-10-17,10.8
2016-10-18,9.85
2016-10-19,10.4
2016-10-20,10.9
2016-10-21,10.95
2016-10-24,10.4
2016-10-25,10.25
2016-10-26,10.05
2016-10-27,10.1
2016-10-28,10.95
2016-10-30,11.0
2016-11-01,11.2
2016-11-02,11.15
2016-11-03,11.55
2016-11-04,11.0
2016-11-07,11.4
2016-11-08,10.7
2016-11-09,11.7
