Date,VISHNU
2015-03-05,175.0
2015-03-09,174.95
2015-03-10,168.7
2015-03-11,181.4
2015-03-12,171.0
2015-03-13,172.9
2015-03-17,175.35
2015-03-18,173.0
2015-03-19,179.0
2015-03-20,177.5
2015-03-23,177.0
2015-03-24,176.0
2015-03-25,169.5
2015-03-26,167.0
2015-03-27,164.9
2015-03-30,172.0
2015-03-31,170.0
2015-04-01,173.8
2015-04-06,167.1
2015-04-07,173.1
2015-04-08,176.0
2015-04-09,174.0
2015-04-10,170.0
2015-04-13,171.05
2015-04-15,174.55
2015-04-16,169.4
2015-04-17,175.85
2015-04-20,176.5
2015-04-21,171.7
2015-04-22,170.0
2015-04-23,174.5
2015-04-24,172.5
2015-04-27,164.5
2015-04-28,173.25
2015-04-29,173.25
2015-04-30,175.0
2015-05-04,175.25
2015-05-05,176.6
2015-05-06,173.4
2015-05-07,176.0
2015-05-08,174.0
2015-05-11,175.95
2015-05-12,166.95
2015-05-13,168.0
2015-05-14,169.0
2015-05-15,173.1
2015-05-18,179.5
2015-05-19,178.95
2015-05-20,178.0
2015-05-21,179.5
2015-05-22,179.9
2015-05-25,178.0
2015-05-26,176.55
2015-05-27,173.0
2015-05-28,174.4
2015-05-29,170.95
2015-06-01,168.05
2015-06-02,169.0
2015-06-03,167.0
2015-06-04,166.05
2015-06-05,164.45
2015-06-08,166.0
2015-06-09,168.9
2015-06-10,168.6
2015-06-11,165.1
2015-06-12,170.85
2015-06-15,183.0
2015-06-16,183.0
2015-06-17,180.0
2015-06-18,201.5
2015-06-19,230.5
2015-06-22,226.8
2015-06-23,272.15
2015-06-24,291.55
2015-06-25,289.3
2015-06-26,318.2
2015-06-29,350.0
2015-06-30,367.5
2015-07-01,351.3
2015-07-02,367.35
2015-07-03,385.7
2015-07-06,404.95
2015-07-07,385.4
2015-07-08,395.65
2015-07-09,380.35
2015-07-10,385.1
2015-07-13,378.85
2015-07-14,397.75
2015-07-15,417.6
2015-07-16,438.45
2015-07-17,460.35
2015-07-20,447.25
2015-07-21,444.4
2015-07-22,452.05
2015-07-23,461.65
2015-07-24,484.7
2015-07-27,465.2
2015-07-28,455.65
2015-07-29,460.1
2015-07-30,461.5
2015-07-31,462.6
2015-08-03,474.5
2015-08-04,498.2
2015-08-05,522.85
2015-08-06,529.9
2015-08-07,521.15
2015-08-10,526.0
2015-08-11,499.7
2015-08-12,474.75
2015-08-13,451.05
2015-08-14,440.0
2015-08-17,427.5
2015-08-18,448.85
2015-08-19,458.55
2015-08-20,435.65
2015-08-21,416.85
2015-08-24,396.05
2015-08-25,376.25
2015-08-26,375.95
2015-08-27,394.7
2015-08-28,396.8
2015-08-31,396.95
2015-09-01,379.7
2015-09-02,381.75
2015-09-03,400.8
2015-09-04,380.8
2015-09-07,363.2
2015-09-08,363.95
2015-09-09,376.8
2015-09-10,366.0
2015-09-11,358.9
2015-09-14,366.8
2015-09-15,359.5
2015-09-16,363.1
2015-09-18,351.35
2015-09-21,368.0
2015-09-22,367.3
2015-09-23,353.3
2015-09-24,364.75
2015-09-28,373.65
2015-09-29,377.05
2015-09-30,384.85
2015-10-01,382.7
2015-10-05,406.25
2015-10-06,397.0
2015-10-07,397.15
2015-10-08,392.45
2015-10-09,386.25
2015-10-12,371.35
2015-10-13,370.0
2015-10-14,368.75
2015-10-15,393.9
2015-10-16,399.2
2015-10-19,399.05
2015-10-20,401.3
2015-10-21,410.25
2015-10-23,410.85
2015-10-26,398.8
2015-10-27,386.95
2015-10-28,383.35
2015-10-29,380.25
2015-10-30,372.35
2015-11-02,371.0
2015-11-03,385.0
2015-11-04,391.0
2015-11-05,384.0
2015-11-06,372.6
2015-11-09,373.9
2015-11-10,364.6
2015-11-11,371.75
2015-11-13,368.6
2015-11-16,388.1
2015-11-17,405.05
2015-11-18,395.25
2015-11-19,406.15
2015-11-20,403.65
2015-11-23,454.25
2015-11-24,457.2
2015-11-26,445.45
2015-11-27,429.5
2015-11-30,432.75
2015-12-01,429.95
2015-12-02,421.4
2015-12-03,426.4
2015-12-04,418.3
2015-12-07,410.7
2015-12-08,414.5
2015-12-09,399.55
2015-12-10,397.25
2015-12-11,397.2
2015-12-14,405.4
2015-12-15,414.6
2015-12-16,414.6
2015-12-17,419.85
2015-12-18,417.0
2015-12-21,416.15
2015-12-22,418.3
2015-12-23,412.5
2015-12-24,428.3
2015-12-28,427.9
2015-12-29,418.85
2015-12-30,421.35
2015-12-31,417.45
2016-01-01,417.5
2016-01-04,402.35
2016-01-05,405.6
2016-01-06,396.05
2016-01-07,386.05
2016-01-08,393.4
2016-01-11,394.5
2016-01-12,387.8
2016-01-13,374.75
2016-01-14,371.75
2016-01-15,347.15
2016-01-18,322.55
