Date,IGPL
2013-01-01,36.5
2013-01-02,36.9
2013-01-03,37.75
2013-01-04,37.5
2013-01-07,37.95
2013-01-08,37.35
2013-01-09,37.05
2013-01-10,36.5
2013-01-11,36.05
2013-01-14,36.15
2013-01-15,35.1
2013-01-16,36.15
2013-01-17,36.0
2013-01-18,35.85
2013-01-21,36.0
2013-01-22,36.4
2013-01-23,34.0
2013-01-24,33.0
2013-01-25,32.8
2013-01-28,33.45
2013-01-29,32.8
2013-01-30,33.7
2013-01-31,32.2
2013-02-01,31.55
2013-02-04,32.05
2013-02-05,30.0
2013-02-06,30.8
2013-02-07,30.6
2013-02-08,30.45
2013-02-11,30.45
2013-02-12,30.05
2013-02-13,28.9
2013-02-14,27.0
2013-02-15,25.5
2013-02-18,26.3
2013-02-19,27.1
2013-02-20,26.65
2013-02-21,25.85
2013-02-22,25.4
2013-02-25,25.2
2013-02-26,25.2
2013-02-27,25.0
2013-02-28,25.1
2013-03-01,25.7
2013-03-04,25.55
2013-03-05,25.9
2013-03-06,26.0
2013-03-07,26.45
2013-03-08,26.3
2013-03-11,26.0
2013-03-12,25.9
2013-03-13,25.9
2013-03-14,26.1
2013-03-15,26.25
2013-03-18,26.5
2013-03-19,25.75
2013-03-20,25.6
2013-03-21,24.35
2013-03-22,23.2
2013-03-25,22.25
2013-03-26,23.45
2013-03-28,23.8
2013-04-01,23.7
2013-04-02,24.5
2013-04-03,24.25
2013-04-04,23.85
2013-04-05,23.05
2013-04-08,23.95
2013-04-09,22.65
2013-04-10,22.9
2013-04-11,23.05
2013-04-12,22.7
2013-04-15,22.55
2013-04-16,23.0
2013-04-17,23.15
2013-04-18,23.65
2013-04-22,23.75
2013-04-23,25.15
2013-04-25,24.75
2013-04-26,24.3
2013-04-29,24.2
2013-04-30,23.55
2013-05-02,23.5
2013-05-03,23.1
2013-05-06,22.4
2013-05-07,23.1
2013-05-08,23.05
2013-05-09,23.4
2013-05-10,22.8
2013-05-11,23.25
2013-05-13,22.95
2013-05-14,22.9
2013-05-15,22.6
2013-05-16,22.5
2013-05-17,23.35
2013-05-20,23.75
2013-05-21,22.5
2013-05-22,23.0
2013-05-23,22.4
2013-05-24,21.8
2013-05-27,21.15
2013-05-28,20.7
2013-05-29,20.65
2013-05-30,19.9
2013-05-31,19.5
2013-06-03,19.1
2013-06-04,19.65
2013-06-05,20.0
2013-06-06,19.75
2013-06-10,18.95
2013-06-11,18.9
2013-06-12,17.65
2013-06-13,16.85
2013-06-14,17.55
2013-06-17,17.25
2013-06-18,16.65
2013-06-19,18.0
2013-06-20,16.65
2013-06-21,17.2
2013-06-24,16.8
2013-06-25,17.55
2013-06-26,17.05
2013-06-27,16.75
2013-06-28,17.1
2013-07-01,16.85
2013-07-02,17.75
2013-07-03,20.15
2013-07-04,20.0
2013-07-05,20.0
2013-07-08,20.4
2013-07-09,20.15
2013-07-10,19.65
2013-07-11,19.5
2013-07-12,19.9
2013-07-15,19.5
2013-07-16,19.6
2013-07-17,21.9
2013-07-18,20.35
2013-07-19,20.4
2013-07-22,20.2
2013-07-23,19.75
2013-07-24,18.95
2013-07-25,20.3
2013-07-26,20.75
2013-07-29,20.5
2013-07-30,20.5
2013-07-31,20.0
2013-08-01,20.45
2013-08-02,18.3
2013-08-05,19.0
2013-08-06,17.65
2013-08-07,17.45
2013-08-08,17.55
2013-08-12,18.8
2013-08-13,18.05
2013-08-14,17.6
2013-08-16,17.1
2013-08-19,16.6
2013-08-20,17.0
2013-08-21,17.95
2013-08-22,16.65
2013-08-26,16.9
2013-08-27,17.1
2013-08-28,16.0
2013-08-29,16.1
2013-08-30,16.45
2013-09-02,16.35
2013-09-03,16.0
2013-09-04,16.05
2013-09-05,16.05
2013-09-06,16.0
2013-09-10,16.8
2013-09-11,17.45
2013-09-12,17.4
2013-09-13,17.5
2013-09-16,17.5
2013-09-17,17.05
2013-09-18,17.5
2013-09-19,18.35
2013-09-20,17.25
2013-09-23,17.5
2013-09-24,18.15
2013-09-25,19.0
2013-09-26,18.95
2013-09-27,18.6
2013-09-30,17.4
2013-10-01,18.25
2013-10-03,17.5
2013-10-04,17.55
2013-10-07,17.0
2013-10-08,18.45
2013-10-09,17.6
2013-10-10,18.6
2013-10-11,18.5
2013-10-14,17.85
2013-10-15,18.15
2013-10-17,17.65
2013-10-18,18.2
2013-10-21,18.05
2013-10-22,19.1
2013-10-23,19.7
2013-10-24,18.85
2013-10-25,18.35
2013-10-28,18.35
2013-10-29,18.35
2013-10-30,18.25
2013-10-31,19.05
2013-11-01,19.0
2013-11-03,19.7
2013-11-05,20.15
2013-11-06,19.5
2013-11-07,19.5
2013-11-08,19.9
2013-11-11,19.7
2013-11-12,18.6
2013-11-13,18.05
2013-11-14,18.45
2013-11-18,18.2
2013-11-19,18.6
2013-11-20,18.4
2013-11-21,19.0
2013-11-22,20.4
2013-11-25,24.45
2013-11-26,22.85
2013-11-27,21.55
2013-11-28,21.65
2013-11-29,21.35
2013-12-02,22.35
2013-12-03,22.6
2013-12-04,22.65
2013-12-05,22.2
2013-12-06,22.15
2013-12-09,22.75
2013-12-10,21.95
2013-12-11,21.65
2013-12-12,21.75
2013-12-13,21.4
2013-12-16,21.45
2013-12-17,20.4
2013-12-18,20.5
2013-12-19,20.6
2013-12-20,21.65
2013-12-23,21.95
2013-12-24,23.4
2013-12-26,23.55
2013-12-27,23.85
2013-12-30,23.25
2013-12-31,23.4
2014-01-01,23.95
2014-01-02,23.0
2014-01-03,22.5
2014-01-06,22.7
2014-01-07,22.4
2014-01-08,22.2
2014-01-09,21.7
2014-01-10,21.75
2014-01-13,21.9
2014-01-14,21.85
2014-01-15,21.8
2014-01-16,21.6
2014-01-17,21.55
2014-01-20,21.9
2014-01-21,21.65
2014-01-22,21.7
2014-01-23,21.7
2014-01-24,21.1
2014-01-27,21.3
2014-01-28,21.0
2014-01-29,20.3
2014-01-30,20.0
2014-01-31,20.0
2014-02-03,21.35
2014-02-04,20.8
2014-02-05,20.75
2014-02-06,20.15
2014-02-07,20.45
2014-02-10,20.5
2014-02-11,20.5
2014-02-12,19.65
2014-02-13,19.3
2014-02-14,19.4
2014-02-17,18.65
2014-02-18,19.3
2014-02-19,19.25
2014-02-20,20.15
2014-02-21,20.1
2014-02-24,19.4
2014-02-25,19.95
2014-02-26,19.35
2014-02-28,19.85
2014-03-03,19.9
2014-03-04,19.55
2014-03-05,19.3
2014-03-06,19.65
2014-03-07,19.9
2014-03-11,19.3
2014-03-12,19.3
2014-03-13,20.2
2014-03-14,20.3
2014-03-18,20.95
2014-03-19,20.45
2014-03-20,20.6
2014-03-21,20.6
2014-03-22,20.9
2014-03-24,19.9
2014-03-25,20.95
2014-03-26,21.1
2014-03-27,20.95
2014-03-28,22.75
2014-03-31,23.6
2014-04-01,24.4
2014-04-02,23.3
2014-04-03,24.0
2014-04-04,24.25
2014-04-07,24.7
2014-04-09,25.2
2014-04-10,26.1
2014-04-11,26.2
2014-04-15,25.0
2014-04-16,25.0
2014-04-17,25.1
2014-04-21,27.45
2014-04-22,28.4
2014-04-23,28.65
2014-04-25,28.3
2014-04-28,27.55
2014-04-29,26.55
2014-04-30,26.85
2014-05-02,25.55
2014-05-05,24.65
2014-05-06,24.0
2014-05-07,24.4
2014-05-08,24.2
2014-05-09,24.6
2014-05-12,25.0
2014-05-13,25.95
2014-05-14,25.6
2014-05-15,26.45
2014-05-16,26.45
2014-05-19,27.0
2014-05-20,28.15
2014-05-21,31.05
2014-05-22,30.95
2014-05-23,37.1
2014-05-26,44.25
2014-05-27,41.95
2014-05-28,46.1
2014-05-29,47.55
2014-05-30,45.6
2014-06-02,44.55
2014-06-03,44.55
2014-06-04,43.25
2014-06-05,44.6
2014-08-06,62.7
2014-08-07,63.35
2014-08-08,61.85
2014-08-11,60.7
2014-08-12,61.65
2014-08-13,58.85
2014-08-14,59.25
2014-08-18,60.8
2014-08-19,60.35
2014-08-20,60.4
2014-08-21,57.4
2014-08-22,55.35
2014-08-25,53.45
2014-08-26,54.45
2014-08-27,52.0
2014-08-28,51.65
2014-09-01,54.2
2014-09-02,56.9
2014-09-03,59.3
2014-09-04,59.4
2014-09-05,59.0
2014-09-08,60.85
2014-09-09,60.3
2014-09-10,63.75
2014-09-11,69.8
2014-09-12,68.35
2014-09-15,73.7
2014-09-16,70.65
2014-09-17,69.8
2014-09-18,76.3
2014-09-19,77.25
2014-09-22,84.95
2014-09-23,80.75
2014-09-24,77.2
2014-09-25,73.35
2014-09-26,70.1
2014-09-29,72.75
2014-09-30,72.75
2014-10-01,71.6
2014-10-07,68.45
2014-10-08,66.95
2014-10-09,69.1
2014-10-10,66.7
2014-10-13,64.45
2014-10-14,63.6
