Date,EVEREADY
2013-01-01,23.3
2013-01-02,23.05
2013-01-03,22.75
2013-01-04,23.35
2013-01-07,24.4
2013-01-08,24.15
2013-01-09,23.95
2013-01-10,23.7
2013-01-11,23.55
2013-01-14,24.1
2013-01-15,23.45
2013-01-16,23.05
2013-01-17,23.1
2013-01-18,22.8
2013-01-21,22.8
2013-01-22,22.4
2013-01-23,22.25
2013-01-24,21.25
2013-01-25,21.55
2013-01-28,21.45
2013-01-29,21.45
2013-01-30,21.4
2013-01-31,21.35
2013-02-01,21.95
2013-02-04,21.4
2013-02-05,21.15
2013-02-06,21.3
2013-02-07,21.2
2013-02-08,21.05
2013-02-11,20.9
2013-02-12,21.0
2013-02-13,20.8
2013-02-14,20.5
2013-02-15,20.0
2013-02-18,19.95
2013-02-19,20.4
2013-02-20,20.1
2013-02-21,19.85
2013-02-22,19.75
2013-02-25,19.9
2013-02-26,19.15
2013-02-27,19.15
2013-02-28,18.5
2013-03-01,18.1
2013-03-04,18.05
2013-03-05,18.05
2013-03-06,18.5
2013-03-07,18.8
2013-03-08,18.45
2013-03-11,17.8
2013-03-12,17.8
2013-03-13,17.7
2013-03-14,17.95
2013-03-15,17.55
2013-03-18,17.55
2013-03-19,17.1
2013-03-20,17.95
2013-03-21,16.95
2013-03-22,16.5
2013-03-25,16.6
2013-03-26,16.55
2013-03-28,16.7
2013-04-01,17.4
2013-04-02,17.9
2013-04-03,17.55
2013-04-04,17.05
2013-04-05,17.05
2013-04-08,17.05
2013-04-09,18.2
2013-04-10,18.5
2013-04-11,18.45
2013-04-12,18.45
2013-04-15,18.3
2013-04-16,18.15
2013-04-17,17.85
2013-04-18,17.95
2013-04-22,18.1
2013-04-23,17.2
2013-04-25,17.75
2013-04-26,17.65
2013-04-29,17.4
2013-04-30,17.45
2013-05-02,17.6
2013-05-03,17.4
2013-05-06,17.6
2013-05-07,17.8
2013-05-08,18.1
2013-05-09,17.7
2013-05-10,17.75
2013-05-11,17.9
2013-05-13,17.65
2013-05-14,17.8
2013-05-15,17.9
2013-05-16,17.9
2013-05-17,17.75
2013-05-20,17.6
2013-05-21,17.5
2013-05-22,17.45
2013-05-23,17.1
2013-05-24,17.2
2013-05-27,18.05
2013-05-28,17.7
2013-05-29,18.6
2013-05-30,18.45
2013-05-31,17.5
2013-06-03,17.5
2013-06-04,17.4
2013-06-05,17.55
2013-06-06,17.5
2013-06-07,18.2
2013-06-10,17.75
2013-06-11,17.1
2013-06-12,17.15
2013-06-13,17.0
2013-06-14,17.3
2013-06-17,17.2
2013-06-18,17.05
2013-06-19,17.1
2013-06-20,16.55
2013-06-21,16.25
2013-06-24,15.9
