Date,SADBHIN
2015-09-16,106.2
2015-09-18,106.0
2015-09-21,103.15
2015-09-22,103.05
2015-09-23,102.35
2015-09-24,103.05
2015-09-28,102.0
2015-09-29,100.35
2015-09-30,98.8
2015-10-01,100.0
2015-10-05,101.25
2015-10-06,100.9
2015-10-07,103.45
2015-10-08,103.6
2015-10-09,101.25
2015-10-12,100.85
2015-10-13,101.0
2015-10-14,100.65
2015-10-15,100.65
2015-10-16,101.05
2015-10-19,101.35
2015-10-20,102.95
2015-10-21,102.05
2015-10-23,104.5
2015-10-26,102.3
2015-10-27,100.05
2015-10-28,101.5
2015-10-29,101.2
2015-10-30,99.9
2015-11-02,101.7
2015-11-03,100.25
2015-11-04,101.0
2015-11-05,98.1
2015-11-06,100.05
2015-11-09,98.9
2015-11-10,100.0
2015-11-11,98.9
2015-11-13,98.2
2015-11-16,97.8
2015-11-17,96.95
2015-11-18,96.4
2015-11-19,95.9
2015-11-20,101.1
2015-11-23,100.15
2015-11-24,102.05
2015-11-26,103.0
2015-11-27,103.0
2015-11-30,101.7
2015-12-01,101.2
2015-12-02,101.05
2015-12-03,100.2
2015-12-04,101.7
2015-12-07,100.8
2015-12-08,100.15
2015-12-09,98.15
2015-12-10,97.6
2015-12-11,97.55
2015-12-14,97.2
2015-12-15,97.6
2015-12-16,98.0
2015-12-17,97.85
2015-12-18,96.4
2015-12-21,99.35
2015-12-22,98.1
2015-12-23,97.35
2015-12-24,97.5
2015-12-28,98.0
2015-12-29,97.55
2015-12-30,97.4
2015-12-31,99.75
2016-01-01,97.8
2016-01-04,97.25
2016-01-05,96.0
2016-01-06,94.55
2016-01-07,93.15
2016-01-08,94.0
2016-01-11,93.25
2016-01-12,94.15
2016-01-13,92.75
2016-01-14,93.15
2016-01-15,89.05
2016-01-18,83.8
2016-01-19,81.8
2016-01-20,81.15
2016-01-21,83.05
2016-01-22,82.7
2016-01-25,87.55
2016-01-27,86.1
2016-01-28,89.15
2016-01-29,87.55
2016-02-01,87.3
2016-02-02,87.95
2016-02-03,85.45
2016-02-04,84.65
2016-02-05,85.8
2016-02-08,84.95
2016-02-09,82.55
2016-02-10,80.55
2016-02-11,77.85
2016-02-12,71.95
2016-02-15,73.3
2016-02-16,71.9
2016-02-17,76.85
2016-02-18,81.75
2016-02-19,81.05
2016-02-22,80.45
2016-02-23,82.15
2016-02-24,80.0
2016-02-25,79.5
2016-02-26,77.2
2016-02-29,78.0
2016-03-01,80.25
2016-03-02,89.9
2016-03-03,94.05
2016-03-04,91.3
2016-03-08,90.1
2016-03-09,90.95
2016-03-10,89.4
2016-03-11,89.95
2016-03-14,88.0
2016-03-15,87.1
2016-03-16,86.7
