Date,NAVNETEDUL
2013-01-01,65.3
2013-01-02,65.95
2013-01-03,66.45
2013-01-04,67.05
2013-01-07,68.2
2013-01-08,67.15
2013-01-09,65.75
2013-01-10,65.1
2013-01-11,64.25
2013-01-14,65.3
2013-01-15,64.65
2013-01-16,63.6
2013-01-17,64.05
2013-01-18,64.0
2013-01-21,64.45
2013-01-22,64.25
2013-01-23,64.7
2013-01-24,64.3
2013-01-25,64.35
2013-01-28,65.05
2013-01-29,64.2
2013-01-30,64.35
2013-01-31,64.4
2013-02-01,64.25
2013-02-04,64.0
2013-02-05,64.15
2013-02-06,64.6
2013-02-07,64.5
2013-02-08,64.55
2013-02-11,64.65
2013-02-12,64.05
2013-02-13,63.5
2013-02-14,62.85
2013-02-15,63.35
2013-02-18,63.7
2013-02-19,64.05
2013-02-20,63.6
2013-02-21,62.65
2013-02-22,63.0
2013-02-25,62.5
2013-02-26,62.5
2013-02-27,62.65
2013-02-28,61.75
2013-03-01,62.2
2013-03-04,60.95
2013-03-05,60.9
2013-03-06,61.25
2013-03-07,61.2
2013-03-08,61.55
2013-03-11,62.8
2013-03-12,61.9
2013-03-13,61.15
2013-03-14,60.95
2013-03-15,60.6
2013-03-18,60.3
2013-03-19,60.0
2013-03-20,58.7
2013-03-21,57.3
2013-03-22,56.75
2013-03-25,58.1
2013-03-26,57.7
2013-03-28,57.95
2013-04-01,59.2
2013-04-02,59.85
2013-04-03,60.25
2013-04-04,59.75
2013-04-05,60.25
2013-04-08,59.3
2013-04-09,58.3
2013-04-10,57.35
2013-04-11,57.05
2013-04-12,57.05
2013-04-15,57.05
2013-04-16,57.45
2013-04-17,57.0
2013-04-18,56.95
2013-04-22,57.3
2013-04-23,57.0
2013-04-25,56.6
2013-04-26,56.65
2013-04-29,56.9
2013-04-30,56.75
2013-05-02,57.7
2013-05-03,57.95
2013-05-06,57.8
2013-05-07,58.0
2013-05-08,60.7
2013-05-09,62.15
2013-05-10,63.5
2013-05-11,63.0
2013-05-13,62.25
2013-05-14,63.05
2013-05-15,62.85
2013-05-16,61.65
2013-05-17,61.4
2013-05-20,62.3
2013-05-21,62.6
2013-05-22,61.4
2013-05-23,61.05
2013-05-24,60.65
2013-05-27,62.05
2013-05-28,62.45
2013-05-29,62.5
2013-05-30,62.4
2013-05-31,60.0
2013-06-03,59.75
2013-06-04,61.35
2013-06-05,60.95
2013-06-06,60.7
2013-06-07,62.1
2013-06-10,62.15
2013-06-11,60.95
2013-06-12,60.75
2013-06-13,60.75
2013-06-14,60.5
2013-06-17,60.45
2013-06-18,60.95
2013-06-19,61.65
2013-06-20,60.3
2013-06-21,59.7
2013-06-24,58.75
2013-06-25,58.4
2013-06-26,58.15
2013-06-27,58.35
2013-06-28,58.95
2013-07-01,60.4
2013-07-02,59.45
2013-07-03,59.2
2013-07-04,59.55
2013-07-05,59.45
2013-07-08,58.9
2013-07-09,58.9
2013-07-10,58.5
2013-07-11,59.05
2013-07-12,59.1
2013-07-15,60.1
2013-07-16,60.1
2013-07-17,62.65
2013-07-18,63.6
2013-07-19,63.25
2013-07-22,63.65
2013-07-23,63.5
2013-07-24,62.5
2013-07-25,61.95
2013-07-26,60.75
2013-07-29,58.8
2013-07-30,57.0
2013-07-31,57.45
2013-08-01,57.4
2013-08-02,56.5
2013-08-05,56.4
2013-08-06,54.6
2013-08-07,52.15
2013-08-08,52.65
2013-08-12,53.8
2013-08-13,53.55
2013-08-14,52.8
2013-08-16,52.7
2013-08-19,52.9
2013-08-20,53.3
2013-08-21,52.55
2013-08-22,52.85
2013-08-23,53.15
2013-08-26,52.45
2013-08-27,51.15
2013-08-28,51.6
2013-08-29,52.2
2013-08-30,52.2
2013-09-02,52.7
2013-09-03,51.95
2013-09-04,52.05
2013-09-05,52.35
2013-09-06,52.65
2013-09-10,53.6
2013-09-11,54.1
2013-09-12,54.0
2013-09-13,53.9
2013-09-16,53.85
2013-09-17,53.5
2013-09-18,53.4
2013-09-19,53.85
2013-09-20,52.95
2013-09-23,53.3
2013-09-24,53.1
2013-09-25,52.55
2013-09-26,52.6
2013-09-27,53.15
2013-09-30,52.9
2013-10-01,52.8
2013-10-03,52.85
2013-10-04,53.05
2013-10-07,53.85
2013-10-08,54.6
2013-10-09,55.75
2013-10-10,56.2
2013-10-11,55.3
2013-10-14,54.2
2013-10-15,54.95
2013-10-17,54.0
2013-10-18,53.35
2013-10-21,53.35
2013-10-22,53.6
2013-10-23,54.5
2013-10-24,53.5
2013-10-25,53.25
2013-10-28,53.15
2013-10-29,54.25
2013-10-30,54.3
2013-10-31,54.55
2013-11-01,53.3
2013-11-03,53.8
2013-11-05,52.9
2013-11-06,53.1
2013-11-07,53.1
2013-11-08,55.2
2013-11-11,53.15
2013-11-12,53.0
2013-11-13,53.0
2013-11-14,52.65
2013-11-18,52.75
2013-11-19,53.35
2013-11-20,54.3
2013-11-21,53.8
2013-11-22,56.6
2013-11-25,55.3
2013-11-26,52.8
2013-11-27,53.6
2013-11-28,53.9
2013-11-29,54.0
2013-12-02,54.05
2013-12-03,54.3
2013-12-04,54.8
2013-12-05,54.85
2013-12-06,54.7
2013-12-09,55.9
2013-12-10,55.1
2013-12-11,54.9
2013-12-12,55.4
2013-12-13,54.7
2013-12-16,54.45
2013-12-17,54.45
2013-12-18,54.65
2013-12-19,54.3
2013-12-20,54.25
2013-12-23,54.9
2013-12-24,57.9
2013-12-26,56.55
2013-12-27,56.85
2013-12-30,59.8
2013-12-31,59.6
2014-01-01,58.7
2014-01-02,57.55
2014-01-03,57.85
2014-01-06,57.05
2014-01-07,58.05
2014-01-08,58.0
