Date,SUTLEJTEX
2013-03-01,210.75
2013-03-04,210.7
2013-03-05,211.3
2013-03-06,210.75
2013-03-07,211.3
2013-03-08,212.15
2013-03-11,210.3
2013-03-12,210.0
2013-03-13,204.7
2013-03-14,211.0
2013-03-15,207.3
2013-03-18,214.35
2013-03-19,210.0
2013-03-20,210.0
2013-03-21,200.8
2013-03-22,208.35
2013-03-25,200.1
2013-03-26,201.0
2013-03-28,202.3
2013-04-01,206.65
2013-04-02,212.15
2013-04-03,210.25
2013-04-04,215.55
2013-04-08,207.0
2013-04-09,200.0
2013-04-11,200.0
2013-04-12,200.0
2013-04-15,200.0
2013-04-16,205.6
2013-04-17,200.0
2013-04-18,201.0
2013-04-22,208.0
2013-04-23,200.0
2013-04-25,192.0
2013-04-29,194.9
2013-05-02,203.2
2013-05-08,243.75
2013-05-09,225.0
2013-05-10,219.0
2013-05-11,217.0
2013-05-13,226.0
2013-05-14,225.0
2013-05-15,225.95
2013-05-16,226.85
2013-05-17,228.0
2013-05-20,223.4
2013-05-21,225.0
2013-05-22,223.0
2013-05-23,224.95
2013-05-27,215.0
2013-05-28,225.0
2013-06-04,220.0
2013-06-06,220.0
2013-06-10,228.0
2013-06-13,217.0
2013-06-14,206.25
2013-06-17,234.85
2013-06-19,216.8
2013-06-20,220.0
2013-06-21,220.0
2013-06-24,220.0
2013-06-25,211.0
2013-06-27,154.7
2013-06-28,159.8
2013-07-05,137.0
2013-07-08,139.7
2013-07-09,140.0
2013-07-10,140.25
2013-07-11,140.0
2013-07-15,141.05
2013-07-19,141.0
2013-07-22,141.05
2013-07-23,140.0
2013-07-24,137.0
2013-07-25,134.0
2013-07-26,143.0
2013-07-29,135.0
2013-07-30,135.05
2013-07-31,137.0
2013-08-01,138.0
2013-08-02,138.0
2013-08-05,139.0
2013-08-07,138.7
2013-08-08,137.5
2013-08-12,138.0
2013-08-13,137.0
2013-08-14,140.0
2013-08-16,135.0
2013-08-19,135.6
2013-08-20,140.0
2013-08-21,140.0
2013-08-22,135.0
2013-08-23,138.0
2013-08-26,138.1
2013-08-27,136.1
2013-08-28,136.0
2013-08-29,140.0
2013-08-30,140.0
2013-09-02,141.0
2013-09-05,144.95
2013-09-10,141.05
2013-09-11,145.0
2013-09-13,143.25
2013-09-16,140.2
2013-09-18,147.0
2013-09-20,140.0
2013-09-23,134.0
2013-09-25,140.7
2013-09-27,138.0
2013-10-01,142.0
2013-10-04,142.0
2013-10-07,143.7
2013-10-08,145.05
2013-10-09,148.0
2013-10-10,150.5
2013-10-11,150.5
2013-10-14,156.5
2013-10-17,156.0
2013-10-18,154.35
2013-10-21,155.0
2013-10-22,159.05
2013-10-23,158.6
2013-10-24,159.05
2013-10-25,159.05
2013-10-29,159.25
2013-10-30,167.2
2013-10-31,175.55
2013-11-01,184.3
2013-11-03,192.0
2013-11-05,196.0
2013-11-06,190.5
2013-11-07,186.0
2013-11-08,179.95
2013-11-11,179.95
2013-11-12,174.05
2013-11-14,175.0
2013-11-19,175.0
2013-11-21,176.05
2013-11-22,175.55
2013-11-25,180.0
2013-11-26,180.0
2013-11-28,185.0
2013-11-29,178.2
2013-12-02,179.55
2013-12-03,187.0
2013-12-05,182.0
2013-12-06,180.1
2013-12-09,185.0
2013-12-10,185.0
2013-12-11,193.0
2013-12-16,183.35
2013-12-17,184.95
2013-12-18,184.95
2013-12-19,184.0
2013-12-20,184.0
2013-12-23,188.0
2013-12-24,187.25
2013-12-26,186.1
2013-12-27,190.0
2013-12-30,190.1
2013-12-31,190.0
2014-01-01,190.0
2014-01-02,190.0
2014-01-03,184.0
2014-01-06,184.1
2014-01-07,188.25
2014-01-08,192.0
2014-01-09,200.1
2014-01-10,217.8
2014-01-13,220.35
2014-01-14,209.0
2014-01-15,214.55
2014-01-16,210.75
2014-01-17,208.6
2014-01-20,205.75
2014-01-21,204.0
2014-01-22,200.95
2014-01-23,205.0
2014-01-24,205.65
2014-01-27,202.7
2014-01-28,219.75
2014-01-29,215.2
2014-01-30,215.5
2014-01-31,217.4
2014-02-03,210.55
2014-02-04,207.95
2014-02-05,208.0
2014-02-06,206.0
2014-02-07,207.45
2014-02-10,203.5
2014-02-11,209.95
2014-02-12,211.5
2014-02-13,212.0
2014-02-14,214.85
2014-02-17,212.0
2014-02-18,210.0
2014-02-19,210.0
2014-02-20,215.1
2014-02-21,217.85
2014-02-24,223.0
2014-02-25,237.45
2014-02-26,234.5
2014-02-28,236.7
2014-03-03,228.2
2014-03-04,225.9
2014-03-05,224.9
2014-03-06,222.15
2014-03-07,220.0
2014-03-10,224.35
2014-03-11,216.05
2014-03-12,218.0
2014-03-13,216.45
2014-03-14,212.95
2014-03-18,224.4
2014-03-19,221.6
2014-03-20,216.4
2014-03-21,221.05
2014-03-22,220.0
2014-03-24,217.2
2014-03-25,212.05
2014-03-26,214.0
2014-03-27,216.5
2014-03-28,220.8
2014-03-31,216.05
2014-04-01,218.35
2014-04-02,215.55
2014-04-03,218.0
2014-04-04,217.2
2014-04-07,215.2
2014-04-09,217.1
2014-04-10,217.9
2014-04-11,222.9
2014-04-15,220.45
2014-04-16,220.6
2014-04-17,229.05
2014-04-21,239.45
2014-04-22,235.65
2014-04-23,236.15
2014-04-25,235.05
2014-04-28,250.9
2014-04-29,251.6
2014-04-30,251.8
2014-05-02,252.65
2014-05-05,249.65
2014-05-06,247.9
2014-05-07,246.9
2014-05-08,247.65
2014-05-09,251.25
2014-05-12,264.45
2014-05-13,249.05
2014-05-14,257.15
2014-05-15,258.1
2014-05-16,258.4
2014-05-19,278.9
2014-05-20,281.6
2014-05-21,279.8
2014-05-22,297.75
2014-05-23,306.1
2014-05-26,293.7
2014-05-27,294.8
2014-05-28,309.65
2014-05-29,312.25
2014-05-30,306.95
2014-06-02,310.55
2014-06-03,307.65
2014-06-04,324.75
2014-06-05,332.6
2014-06-06,347.25
2014-06-09,377.15
2014-06-10,376.05
2014-06-11,381.0
2014-06-12,374.7
2014-06-13,357.15
2014-06-16,372.2
2014-06-17,379.55
2014-06-18,380.8
2014-06-19,374.95
2014-06-20,380.45
2014-06-23,373.95
2014-06-24,374.55
2014-06-25,375.05
2014-06-26,374.2
2014-06-27,375.15
2014-06-30,384.65
2014-07-01,382.25
2014-07-02,380.0
2014-07-03,378.15
2014-07-04,380.2
2014-07-07,406.1
2014-07-08,379.35
2014-07-09,366.9
2014-07-10,369.2
2014-07-11,341.85
2014-07-14,342.3
2014-07-15,348.55
2014-07-16,357.15
2014-07-17,364.95
2014-07-18,364.95
2014-07-21,371.1
2014-07-22,369.45
2014-07-23,359.65
2014-07-24,364.05
2014-07-25,352.0
2014-07-28,345.0
2014-07-30,342.7
2014-07-31,340.75
2014-08-01,340.25
2014-08-04,352.45
2014-08-05,345.65
2014-08-06,343.95
2014-08-07,345.6
2014-08-08,328.25
2014-08-11,351.25
2014-08-12,347.1
2014-08-13,332.75
2014-08-14,336.8
2014-08-18,341.9
2014-08-19,343.55
2014-08-20,340.55
2014-08-21,354.0
2014-08-22,352.1
2014-08-25,363.3
2014-08-26,352.75
2014-08-27,353.05
2014-08-28,349.2
2014-09-01,347.1
2014-09-02,346.45
2014-09-03,342.5
2014-09-04,340.25
2014-09-05,354.45
2014-09-08,367.1
2014-09-09,373.0
2014-09-10,394.3
2014-09-11,399.8
2014-09-12,398.8
2014-09-15,392.75
2014-09-16,385.7
2014-09-17,385.7
2014-09-18,410.75
2014-09-19,404.25
2014-09-22,415.3
2014-09-23,426.05
2014-09-24,408.9
2014-09-25,390.4
2014-09-26,391.55
2014-09-29,395.45
2014-09-30,393.3
2014-10-01,394.65
2014-10-07,385.1
2014-10-08,383.55
2014-10-09,393.1
2014-10-10,383.45
2014-10-13,379.0
2014-10-14,373.65
2014-10-16,366.25
2014-10-17,365.2
2014-10-20,353.4
2014-10-21,352.35
2014-10-22,353.95
2014-10-23,361.7
2014-10-27,372.75
2014-10-28,369.0
2014-10-29,350.9
2014-10-30,348.8
2014-10-31,357.65
2014-11-03,353.1
2014-11-05,348.65
2014-11-07,357.8
2014-11-10,356.3
