Date,GAIL
2013-01-01,357.4
2013-01-02,364.75
2013-01-03,363.35
2013-01-04,371.15
2013-01-07,366.35
2013-01-08,364.55
2013-01-09,370.6
2013-01-10,367.45
2013-01-11,364.45
2013-01-14,370.9
2013-01-15,372.25
2013-01-16,372.9
2013-01-17,376.4
2013-01-18,383.65
2013-01-21,388.0
2013-01-22,369.95
2013-01-23,365.95
2013-01-24,349.5
2013-01-25,353.55
2013-01-28,358.1
2013-01-29,350.55
2013-01-30,339.15
2013-01-31,342.25
2013-02-01,343.2
2013-02-04,339.8
2013-02-05,344.9
2013-02-06,343.8
2013-02-07,335.45
2013-02-08,335.6
2013-02-11,335.25
2013-02-12,333.4
2013-02-13,328.05
2013-02-14,334.65
2013-02-15,338.75
2013-02-18,340.15
2013-02-19,334.45
2013-02-20,338.0
2013-02-21,338.15
2013-02-22,341.0
2013-02-25,343.2
2013-02-26,339.75
2013-02-27,333.55
2013-02-28,332.55
2013-03-01,332.05
2013-03-04,330.05
2013-03-05,337.0
2013-03-06,334.0
2013-03-07,331.5
2013-03-08,341.6
2013-03-11,345.9
2013-03-12,346.35
2013-03-13,339.6
2013-03-14,332.55
2013-03-15,323.3
2013-03-18,313.7
2013-03-19,323.45
2013-03-20,318.65
2013-03-21,318.85
2013-03-22,319.1
2013-03-25,313.8
2013-03-26,303.75
2013-03-28,318.25
2013-04-01,321.35
2013-04-02,321.75
2013-04-03,314.25
2013-04-04,312.1
2013-04-05,316.45
2013-04-08,320.4
2013-04-09,313.8
2013-04-10,315.55
2013-04-11,315.3
2013-04-12,316.0
2013-04-15,317.6
2013-04-16,320.95
2013-04-17,322.3
2013-04-18,333.05
2013-04-22,335.45
2013-04-23,330.05
2013-04-25,344.4
2013-04-26,351.05
2013-04-29,350.9
2013-04-30,351.15
2013-05-02,346.8
2013-05-03,335.15
2013-05-06,339.85
2013-05-07,342.7
2013-05-08,342.5
2013-05-09,339.8
2013-05-10,342.3
2013-05-11,341.1
2013-05-13,331.95
2013-05-14,337.55
2013-05-15,339.9
2013-05-16,338.2
2013-05-17,336.9
2013-05-20,336.55
2013-05-21,336.45
2013-05-22,329.85
2013-05-23,324.3
2013-05-24,321.95
2013-05-27,324.5
2013-05-28,326.65
2013-05-29,321.6
2013-05-30,320.45
2013-05-31,306.05
2013-06-03,311.45
2013-06-04,311.15
2013-06-05,314.95
2013-06-06,310.45
2013-06-07,307.05
2013-06-10,303.75
2013-06-11,305.95
2013-06-12,304.95
2013-06-13,296.55
2013-06-14,302.65
2013-06-17,299.7
2013-06-18,294.35
2013-06-19,297.85
