Date,GOLDTECH
2013-01-01,7.2
2013-01-02,7.3
2013-01-03,7.35
2013-01-04,7.6
2013-01-07,7.5
2013-01-08,7.45
2013-01-09,7.2
2013-01-10,7.25
2013-01-11,7.2
2013-01-14,7.05
2013-01-15,7.05
2013-01-16,7.05
2013-01-17,7.0
2013-01-18,6.9
2013-01-21,7.3
2013-01-22,7.2
2013-01-23,6.95
2013-01-24,7.05
2013-01-25,6.95
2013-01-28,7.0
2013-01-29,7.0
2013-01-30,6.95
2013-01-31,6.8
2013-02-01,6.85
2013-02-04,6.8
2013-02-05,6.95
2013-02-06,6.75
2013-02-07,6.8
2013-02-08,6.7
2013-02-11,6.5
2013-02-12,6.45
2013-02-13,6.15
2013-02-14,6.1
2013-02-15,6.0
2013-02-18,5.75
2013-02-19,5.8
2013-02-20,6.25
2013-02-21,6.35
2013-02-22,6.25
2013-02-25,6.1
2013-02-26,5.5
2013-02-27,5.7
2013-02-28,5.85
2013-03-01,5.85
2013-03-04,5.8
2013-03-05,5.6
2013-03-06,5.65
2013-03-07,5.55
2013-03-08,5.7
2013-03-11,5.7
2013-03-12,5.5
2013-03-13,5.5
2013-03-14,5.25
2013-03-15,5.25
2013-03-18,5.3
2013-03-19,5.2
2013-03-20,5.0
2013-03-21,4.65
2013-03-22,4.25
2013-03-25,4.6
2013-03-26,5.05
2013-03-28,5.0
2013-04-01,5.3
2013-04-02,5.0
2013-04-03,5.2
2013-04-04,5.2
2013-04-05,5.2
2013-04-08,5.45
2013-04-11,5.3
2013-04-12,5.0
2013-04-18,5.0
2013-04-23,4.6
2013-04-25,4.75
2013-04-26,4.85
2013-04-29,4.75
2013-04-30,4.35
2013-05-02,5.0
2013-05-03,4.35
2013-05-06,4.95
2013-05-07,4.8
2013-05-08,4.8
2013-05-14,4.2
2013-05-16,4.15
2013-05-17,4.05
2013-05-20,3.6
2013-05-21,4.1
2013-05-24,4.1
2013-05-27,4.5
2013-05-28,4.45
2013-05-29,4.45
2013-05-30,5.3
2013-05-31,5.0
2013-06-06,4.25
2013-06-10,4.05
2013-06-11,4.05
2013-06-12,4.55
2013-06-13,4.35
2013-06-14,4.7
2013-06-17,4.55
2013-06-18,5.45
2013-06-19,5.95
2013-06-20,7.0
2013-06-24,6.3
2013-06-25,5.7
2013-06-27,5.15
2013-07-01,5.15
2013-07-09,4.9
2013-07-11,4.7
2013-07-22,4.9
2013-07-25,4.7
2013-08-08,4.5
2013-08-12,4.3
2013-08-13,4.1
2013-08-14,3.9
2013-08-16,3.75
2013-08-19,3.6
2013-08-20,3.45
2013-08-21,3.3
2013-08-22,3.15
2013-08-23,3.0
2013-08-26,3.15
2013-08-27,3.1
2013-08-30,2.95
2013-09-03,2.9
2013-09-13,3.0
2013-09-20,3.0
2013-09-24,3.1
2013-09-25,3.1
2013-09-26,3.15
2013-09-27,3.3
2013-09-30,3.45
2013-10-03,3.45
2013-10-09,3.3
2013-10-14,3.45
2013-10-15,3.6
2013-10-17,3.75
2013-10-18,3.9
2013-10-21,4.05
2013-10-22,4.25
2013-10-23,4.25
2013-10-24,4.25
2013-10-25,4.2
2013-10-28,4.4
2013-10-29,4.6
2013-10-31,4.6
2013-11-05,4.4
2013-11-06,4.2
2013-11-07,4.0
2013-11-08,4.0
2013-11-11,4.15
2013-11-14,3.95
2013-11-18,3.8
2013-11-19,3.65
2013-11-20,3.75
2013-11-21,3.6
2013-11-22,3.45
2013-11-25,3.45
2013-11-26,3.3
2013-11-27,3.15
2013-11-28,3.3
2013-11-29,3.45
2013-12-02,3.3
2013-12-03,3.2
2013-12-05,3.2
2013-12-06,3.25
2013-12-09,3.25
2013-12-12,3.1
2013-12-16,3.1
2013-12-19,2.95
2013-12-20,3.0
2013-12-23,3.05
2013-12-24,3.2
2013-12-27,3.2
2013-12-30,3.35
2014-01-01,3.4
2014-01-02,3.3
2014-01-03,3.15
2014-01-06,3.3
2014-01-07,3.45
2014-01-08,3.6
2014-01-09,3.75
2014-01-13,3.9
2014-01-14,4.05
2014-01-15,4.25
2014-01-16,4.45
2014-01-17,4.65
2014-01-20,4.6
2014-01-21,4.6
2014-01-22,4.6
2014-01-23,4.6
2014-01-24,4.65
2014-01-27,4.45
2014-01-28,4.4
2014-01-29,4.35
2014-01-30,4.15
2014-01-31,4.3
2014-02-03,4.5
2014-02-04,4.55
2014-02-05,4.45
2014-02-06,4.4
2014-02-07,4.5
2014-02-10,4.6
2014-02-11,4.8
2014-02-12,5.0
2014-02-13,4.9
2014-02-14,4.8
2014-02-17,4.6
2014-02-18,4.6
2014-02-19,4.4
2014-02-20,4.25
2014-02-24,4.1
2014-02-25,4.1
2014-02-26,4.2
2014-02-28,4.0
2014-03-03,4.0
2014-03-04,3.9
2014-03-05,4.05
2014-03-06,4.25
2014-03-07,4.05
2014-03-10,3.85
2014-03-11,3.7
2014-03-12,3.8
2014-03-13,3.8
2014-03-14,3.75
2014-03-18,3.8
2014-03-19,3.75
2014-03-20,3.9
2014-03-21,3.8
2014-03-24,3.7
2014-03-25,3.7
2014-03-26,3.65
2014-03-27,3.65
2014-03-28,3.65
2014-03-31,3.65
2014-04-01,3.6
2014-04-02,3.75
2014-04-03,3.85
2014-04-04,4.0
2014-04-07,4.2
2014-04-09,4.05
2014-04-10,4.0
2014-04-11,3.85
2014-04-15,3.9
2014-04-16,3.8
2014-04-17,3.95
2014-04-21,4.1
2014-04-22,4.3
2014-04-23,4.5
2014-04-25,4.5
2014-04-28,4.7
2014-04-29,4.7
2014-04-30,4.8
2014-05-02,4.95
2014-05-05,4.8
2014-05-06,4.75
2014-05-07,4.95
2014-05-08,4.75
2014-05-09,4.6
2014-05-12,4.5
2014-05-13,4.35
2014-05-14,4.5
2014-05-15,4.7
2014-05-16,4.7
2014-05-19,4.9
2014-05-20,5.1
2014-05-21,5.35
2014-05-22,5.6
2014-05-23,5.85
2014-05-26,6.1
2014-05-27,6.0
2014-05-28,6.3
2014-05-29,6.55
2014-05-30,6.65
2014-06-02,6.9
2014-06-03,6.95
2014-06-04,6.8
2014-06-05,6.95
2014-06-06,6.75
2014-06-09,6.95
2014-06-10,7.0
2014-06-11,7.35
2014-06-12,7.7
2014-06-13,8.05
2014-06-16,8.45
2014-06-17,8.85
2014-06-18,9.25
2014-06-19,9.7
2014-06-20,9.3
2014-06-23,8.9
2014-06-24,9.0
2014-06-25,8.7
2014-06-26,8.35
2014-06-27,8.75
2014-08-06,6.9
2014-08-07,7.2
2014-08-08,6.9
2014-08-11,7.1
2014-08-12,7.0
2014-08-13,6.9
2014-08-14,6.95
2014-08-18,6.85
2014-08-19,6.8
2014-08-20,7.1
2014-08-21,6.95
2014-08-22,6.95
2014-08-25,6.75
2014-08-26,6.5
2014-08-27,6.45
2014-08-28,6.75
2014-09-01,6.95
2014-09-02,7.25
2014-09-03,7.2
2014-09-04,6.9
2014-09-05,6.75
2014-09-08,7.0
2014-09-09,6.65
2014-09-10,7.3
2014-09-11,8.0
2014-09-12,8.25
2014-09-15,9.05
2014-09-16,9.2
2014-09-17,9.0
2014-09-18,8.7
2014-09-19,8.75
2014-09-22,8.35
2014-09-23,8.05
2014-09-24,8.35
2014-09-25,8.0
2014-09-26,7.9
2014-09-29,7.85
2014-09-30,7.65
2014-10-01,7.9
2014-10-07,8.0
2014-10-08,7.25
2014-10-09,7.1
2014-10-10,7.4
2014-10-13,7.45
2014-10-14,7.0
2014-10-16,7.35
2014-10-17,7.0
2014-10-20,7.45
2014-10-21,7.05
2014-10-22,7.0
2014-10-23,7.6
2014-10-27,7.3
2014-10-28,7.4
2014-10-29,7.3
2014-10-30,7.3
2014-10-31,7.0
2014-11-05,7.4
2014-11-07,7.15
2014-11-10,7.1
2014-11-11,6.95
2014-11-12,6.85
2014-11-13,6.75
2014-11-14,6.75
2014-11-17,6.7
2014-11-18,6.7
2014-11-19,6.9
2014-11-20,6.7
2014-11-21,6.55
2014-11-24,6.95
2014-11-25,6.6
2014-11-26,6.65
2014-11-27,7.0
2014-11-28,7.25
2014-12-01,7.05
2014-12-02,7.05
2014-12-03,7.05
2014-12-04,7.3
2014-12-05,6.8
2014-12-08,6.75
2014-12-09,6.75
2014-12-10,6.75
2014-12-11,6.5
2014-12-12,6.5
2014-12-15,6.75
2014-12-16,5.65
2014-12-17,5.2
2014-12-18,5.7
2014-12-19,6.05
2014-12-22,6.0
2014-12-23,5.85
2014-12-24,5.95
2014-12-26,5.95
2014-12-29,5.95
2014-12-30,6.05
2014-12-31,6.0
2015-01-01,5.9
2015-01-02,6.0
2015-01-05,6.35
2015-01-06,6.15
2015-01-07,6.6
2015-01-08,6.3
2015-01-09,6.4
2015-01-12,6.2
2015-01-13,6.3
2015-01-14,6.7
2015-01-15,7.15
2015-01-16,7.15
2015-01-19,7.4
2015-01-20,7.15
2015-01-21,6.95
2015-01-22,7.1
2015-01-23,6.75
2015-01-27,6.8
2015-01-28,6.5
2015-01-29,6.55
2015-01-30,6.3
2015-02-02,6.25
2015-02-03,6.1
2015-02-04,6.15
2015-02-05,6.2
2015-02-06,6.35
2015-02-09,6.2
2015-02-10,6.05
2015-02-11,5.65
2015-02-12,5.75
2015-02-13,5.75
2015-02-16,5.75
2015-02-18,5.7
2015-02-19,5.95
2015-02-20,5.9
2015-02-23,5.75
2015-02-24,5.75
2015-02-25,5.7
2015-02-26,5.9
2015-02-27,5.95
2015-02-28,5.5
2015-03-02,5.6
2015-03-03,5.85
2015-03-04,5.85
2015-03-05,5.5
2015-03-09,5.6
2015-03-10,5.85
2015-03-11,5.45
2015-03-12,5.4
2015-03-13,5.35
2015-03-16,5.35
2015-03-17,5.3
2015-03-18,5.1
2015-03-19,5.05
2015-03-20,5.3
2015-03-23,4.95
2015-03-24,5.1
2015-03-25,4.95
2015-03-26,4.85
2015-03-27,4.55
2015-03-30,4.65
2015-03-31,4.75
2015-04-01,5.5
2015-04-06,5.45
2015-04-07,5.3
2015-04-08,6.0
2015-04-09,5.7
2015-04-10,5.6
2015-04-13,6.15
2015-04-15,6.2
2015-04-16,6.1
2015-04-17,6.0
2015-04-20,5.65
2015-04-21,5.85
2015-04-22,5.8
2015-04-23,5.55
2015-04-24,5.35
2015-04-27,5.3
2015-04-28,5.2
2015-04-29,5.2
2015-04-30,4.9
2015-05-04,5.0
2015-05-05,5.0
2015-05-06,4.7
2015-05-07,5.4
2015-05-08,4.85
2015-05-11,4.95
2015-05-12,5.15
2015-05-13,4.85
2015-05-14,4.85
2015-05-15,4.8
2015-05-18,4.8
2015-05-19,4.9
2015-05-20,5.0
2015-05-21,5.05
2015-05-22,5.0
2015-05-25,4.8
2015-05-26,4.4
2015-05-27,4.95
2015-05-28,4.8
2015-05-29,4.7
2015-06-01,4.8
2015-06-02,4.8
2015-06-03,4.2
2015-06-04,4.2
2015-06-05,4.45
2015-06-08,4.15
2015-06-09,4.1
2015-06-10,4.5
2015-06-11,4.4
2015-06-12,4.1
2015-06-15,4.5
2015-06-16,4.75
2015-06-17,4.95
2015-06-18,4.5
2015-06-19,4.5
2015-06-22,4.85
2015-06-23,4.7
2015-06-24,4.85
2015-06-25,5.0
2015-06-26,4.65
2015-06-29,4.85
2015-06-30,4.9
2015-07-01,4.65
2015-07-02,4.65
2015-07-03,5.0
2015-07-06,5.4
2015-07-07,6.35
2015-07-08,6.5
