Date,RUSHIL
2013-01-01,279.6
2013-01-02,312.5
2013-01-03,332.7
2013-01-04,315.45
2013-01-07,336.65
2013-01-08,344.5
2013-01-09,332.65
2013-01-10,332.15
2013-01-11,311.7
2013-01-14,297.35
2013-01-15,277.85
2013-01-16,267.3
2013-01-17,257.45
2013-01-18,248.8
2013-01-21,242.2
2013-01-22,254.6
2013-01-23,254.15
2013-01-24,244.65
2013-01-25,241.35
2013-01-28,241.45
2013-01-29,241.85
2013-01-30,241.65
2013-01-31,238.9
2013-02-01,238.05
2013-02-04,234.25
2013-02-05,230.45
2013-02-06,231.45
2013-02-07,230.55
2013-02-08,228.15
2013-02-11,228.05
2013-02-12,229.35
2013-02-13,227.65
2013-02-14,222.2
2013-02-15,215.7
2013-02-18,219.4
2013-02-19,235.8
2013-02-20,235.95
2013-02-21,219.35
2013-02-22,222.05
2013-02-25,214.75
2013-02-26,171.8
2013-02-27,137.45
2013-02-28,123.75
2013-03-01,111.4
2013-03-04,100.3
2013-03-05,95.3
2013-03-06,90.55
2013-03-07,86.05
2013-03-08,81.75
2013-03-11,77.7
2013-03-12,73.85
2013-03-13,70.2
2013-03-14,66.7
2013-03-15,63.4
2013-03-18,60.25
2013-03-19,57.25
2013-03-20,54.4
2013-03-21,51.7
2013-03-22,49.15
2013-03-25,46.7
2013-03-26,44.4
2013-03-28,42.2
2013-04-01,40.1
2013-04-02,38.1
2013-04-03,40.0
2013-04-04,42.0
2013-04-05,44.1
2013-04-08,41.9
2013-04-09,39.9
2013-04-10,41.85
2013-04-11,43.9
2013-04-12,46.05
2013-04-15,48.35
2013-04-16,50.75
2013-04-17,53.05
2013-04-18,51.35
2013-04-22,53.9
2013-04-23,53.05
2013-04-25,50.8
2013-04-26,48.75
2013-04-29,47.95
2013-04-30,46.35
2013-05-02,46.7
2013-05-03,44.6
2013-05-06,42.45
2013-05-07,40.4
2013-05-08,38.75
2013-05-09,42.6
2013-05-10,46.85
2013-05-11,51.5
2013-05-13,48.95
2013-05-14,46.55
2013-05-15,48.85
2013-05-16,48.05
2013-05-17,45.65
2013-05-20,45.25
2013-05-21,44.1
2013-05-22,42.0
2013-05-23,41.5
2013-05-24,39.45
2013-05-27,39.15
2013-05-28,38.85
2013-05-29,37.65
2013-05-30,36.15
2013-05-31,34.6
2013-06-03,34.9
2013-06-04,35.95
2013-06-05,37.25
2013-06-06,37.3
2013-06-07,35.55
2013-06-10,34.75
2013-06-11,33.05
2013-06-12,31.5
2013-06-13,29.95
2013-06-14,28.9
2013-06-17,30.3
2013-06-18,29.95
2013-06-19,28.6
2013-06-20,27.75
2013-06-21,27.45
2013-06-24,26.5
2013-06-25,27.2
2013-06-26,27.5
2013-06-27,26.9
2013-06-28,26.7
2013-07-01,28.0
2013-07-02,29.05
2013-07-03,29.0
2013-07-04,30.45
2013-07-05,33.45
2013-07-08,34.75
2013-07-09,34.9
2013-07-10,35.55
2013-07-11,34.95
2013-07-12,35.85
2013-07-15,39.4
2013-07-16,41.3
2013-07-17,40.1
2013-07-18,38.4
2013-07-19,38.1
2013-07-22,36.5
2013-07-23,36.2
2013-07-24,34.35
2013-07-25,36.65
2013-07-26,37.0
2013-07-29,35.05
2013-07-30,33.55
2013-07-31,33.25
2013-08-01,33.15
2013-08-02,32.65
2013-08-05,33.05
2013-08-06,31.5
2013-08-07,31.85
2013-08-08,32.4
2013-08-12,33.9
2013-08-13,33.75
2013-08-14,33.5
2013-08-16,32.75
2013-08-19,33.35
2013-08-20,36.15
2013-08-21,36.7
2013-08-22,36.95
2013-08-23,38.3
2013-08-26,39.75
2013-08-27,43.7
2013-08-28,47.9
2013-08-29,50.05
2013-08-30,50.1
2013-09-02,47.6
2013-09-03,45.3
2013-09-04,43.05
2013-09-05,45.2
2013-09-06,47.15
2013-09-10,48.85
2013-09-11,47.1
2013-09-12,46.2
2013-09-13,46.1
2013-09-16,48.35
2013-09-17,48.85
2013-09-18,46.5
2013-09-19,47.0
2013-09-20,45.25
2013-09-23,43.75
2013-09-24,44.2
2013-09-25,42.4
2013-09-26,42.6
2013-09-27,43.3
2013-09-30,42.55
2013-10-01,44.35
2013-10-03,44.1
2013-10-04,44.25
2013-10-07,43.15
2013-10-08,43.2
2013-10-09,42.9
2013-10-10,43.2
2013-10-11,44.2
2013-10-14,43.95
2013-10-15,43.6
2013-10-17,44.0
2013-10-18,43.3
2013-10-21,43.75
2013-10-22,42.4
2013-10-23,43.95
2013-10-24,42.95
2013-10-25,43.1
2013-10-28,42.45
2013-10-29,42.65
2013-10-30,42.2
2013-10-31,41.95
2013-11-01,43.9
2013-11-03,46.0
2013-11-05,45.05
2013-11-06,44.8
2013-11-07,43.6
2013-11-08,43.35
2013-11-11,43.3
2013-11-12,42.7
2013-11-13,41.25
2013-11-14,42.65
2013-11-18,42.4
2013-11-19,43.15
2013-11-20,42.65
2013-11-21,44.2
2013-11-22,45.9
2013-11-25,50.45
2013-11-26,47.1
2013-11-27,47.75
2013-11-28,48.6
2013-11-29,47.55
2013-12-02,47.5
2013-12-03,46.95
2013-12-04,46.0
2013-12-05,45.75
2013-12-06,45.1
2013-12-09,45.7
2013-12-10,44.25
2013-12-11,44.2
2013-12-12,43.7
2013-12-13,42.25
2013-12-16,42.35
2013-12-17,44.4
2013-12-18,43.65
2013-12-19,44.3
2013-12-20,45.4
2013-12-23,46.95
2013-12-24,50.15
2013-12-26,51.85
2013-12-27,47.75
2013-12-30,52.05
2013-12-31,50.6
2014-01-01,49.95
2014-01-02,48.5
2014-01-03,48.9
