Date,KOTHARIPRO
2013-01-01,397.1
2013-01-02,399.65
2013-01-03,397.65
2013-01-04,396.75
2013-01-07,397.7
2013-01-08,392.6
2013-01-09,394.0
2013-01-10,391.8
2013-01-11,390.7
2013-01-14,382.4
2013-01-15,386.35
2013-01-16,389.3
2013-01-17,390.55
2013-01-18,413.6
2013-01-21,407.65
2013-01-22,411.4
2013-01-23,403.75
2013-01-24,390.3
2013-01-25,392.8
2013-01-28,396.75
2013-01-29,387.6
2013-01-30,389.45
2013-01-31,391.5
2013-02-01,388.1
2013-02-04,387.25
2013-02-05,383.1
2013-02-06,382.8
2013-02-07,382.85
2013-02-08,383.95
2013-02-11,376.4
2013-02-12,376.55
2013-02-13,375.0
2013-02-14,365.95
2013-02-15,362.6
2013-02-18,369.45
2013-02-19,370.35
2013-02-20,374.3
2013-02-21,373.85
2013-02-22,375.4
2013-02-25,376.85
2013-02-26,373.95
2013-02-27,371.5
2013-02-28,361.45
2013-03-01,362.55
2013-03-04,354.45
2013-03-05,360.3
2013-03-06,365.0
2013-03-07,360.35
2013-03-08,362.45
2013-03-11,365.1
2013-03-12,373.25
2013-03-13,361.95
2013-03-14,372.05
2013-03-15,362.5
2013-03-18,357.45
2013-03-19,354.65
2013-03-20,350.1
2013-03-21,339.0
2013-03-22,343.8
2013-03-25,334.45
2013-03-26,342.2
2013-03-28,346.05
2013-04-01,343.6
2013-04-02,344.0
2013-04-03,350.0
2013-04-04,341.05
2013-04-05,346.85
2013-04-08,340.4
2013-04-09,347.0
2013-04-10,343.0
2013-04-11,340.0
2013-04-12,337.25
2013-04-15,345.05
2013-04-16,350.15
2013-04-17,347.7
2013-04-18,352.1
2013-04-22,359.8
2013-04-23,362.8
2013-04-25,359.05
2013-04-26,354.3
2013-04-29,357.4
2013-04-30,352.3
2013-05-02,361.55
2013-05-03,359.0
2013-05-06,367.9
2013-05-07,363.75
2013-05-08,352.45
2013-05-09,350.55
2013-05-10,355.55
2013-05-13,353.7
2013-05-14,352.0
2013-05-15,358.85
2013-05-16,370.2
2013-05-17,368.25
2013-05-20,359.45
2013-05-21,355.25
2013-05-22,359.9
2013-05-23,357.8
2013-05-24,379.4
2013-05-27,368.05
2013-05-28,378.4
2013-05-29,383.15
2013-05-30,379.15
2013-05-31,382.5
2013-06-03,378.0
2013-06-04,373.35
2013-06-05,376.55
2013-06-06,376.0
2013-06-07,375.75
2013-06-10,372.25
2013-06-11,361.15
