Date,OISL
2013-01-01,38.6
2013-01-02,36.8
2013-01-03,35.45
2013-01-04,34.9
2013-01-07,35.35
2013-01-08,34.45
2013-01-09,33.5
2013-01-10,31.65
2013-01-11,32.55
2013-01-14,32.45
2013-01-15,34.3
2013-01-16,34.9
2013-01-17,34.65
2013-01-18,34.75
2013-01-21,35.6
2013-01-22,33.75
2013-01-23,32.4
2013-01-24,32.05
2013-01-25,32.15
2013-01-28,32.35
2013-01-29,30.95
2013-01-30,30.35
2013-01-31,30.75
2013-02-01,30.25
2013-02-04,30.05
2013-02-05,29.95
2013-02-06,29.45
2013-02-07,28.75
2013-02-08,29.35
2013-02-11,31.7
2013-02-12,29.55
2013-02-13,28.4
2013-02-14,27.8
2013-02-15,27.75
2013-02-18,28.0
2013-02-19,28.0
2013-02-20,27.55
2013-02-21,26.7
2013-02-22,25.9
2013-02-25,25.85
2013-02-26,25.75
2013-02-27,26.75
2013-02-28,24.85
2013-03-01,24.2
2013-03-04,23.0
2013-03-05,27.1
2013-03-06,27.95
2013-03-07,29.1
2013-03-08,28.95
2013-03-11,29.35
2013-03-12,31.0
2013-03-13,30.85
2013-03-14,31.05
2013-03-15,30.9
2013-03-18,31.0
2013-03-19,32.1
2013-03-20,29.5
2013-03-21,27.3
2013-03-22,24.7
2013-03-25,24.4
2013-03-26,24.15
2013-03-28,26.65
2013-04-01,26.0
2013-04-02,25.85
2013-04-03,25.55
2013-04-04,25.15
2013-04-05,24.0
2013-04-08,24.05
2013-04-09,23.75
2013-04-10,25.95
2013-04-11,29.0
2013-04-12,29.4
2013-04-15,29.0
2013-04-16,29.0
2013-04-17,29.0
2013-04-18,29.9
2013-04-22,30.8
2013-04-23,30.7
2013-04-25,29.65
2013-04-26,30.0
2013-06-14,23.3
2013-06-17,24.45
2013-06-18,24.4
2013-06-19,24.35
2013-06-20,24.7
2013-06-21,23.75
2013-06-24,24.05
2013-06-25,23.8
2013-06-26,22.9
2013-06-27,23.0
2013-06-28,23.95
2013-07-01,24.5
2013-07-02,23.85
2013-07-03,22.8
2013-07-04,23.5
2013-07-05,23.45
2013-07-09,24.0
2013-07-10,26.4
2013-07-11,28.0
2013-07-12,27.0
2013-07-15,24.3
2013-07-16,22.2
2013-07-17,22.3
2013-07-18,23.0
2013-07-19,23.0
2013-07-22,22.5
2013-07-24,22.0
2013-07-25,20.0
2013-07-26,20.0
2013-07-29,20.0
2013-07-30,19.25
2013-07-31,18.25
2013-08-01,18.1
2013-08-02,18.9
2013-08-05,18.0
2013-08-06,18.9
2013-08-07,19.35
2013-08-08,20.0
2013-08-12,19.05
2013-08-13,18.1
2013-08-14,17.8
2013-08-19,18.65
2013-08-20,18.8
2013-08-21,19.7
2013-08-22,20.5
2013-08-26,21.5
2013-08-27,22.55
2013-08-28,23.45
2013-08-29,22.3
2013-08-30,21.5
2013-09-02,20.45
2013-09-03,21.0
2013-09-04,20.05
2013-09-05,19.5
2013-09-06,19.65
2013-09-11,19.85
2013-09-12,19.35
2013-09-13,19.0
2013-09-16,18.1
2013-09-17,18.0
2013-09-18,17.95
2013-09-19,17.15
2013-09-20,17.35
2013-09-23,17.5
2013-09-24,17.05
2013-09-25,16.3
