Date,BASML
2013-01-01,99.6
2013-01-02,100.0
2013-01-03,105.0
2013-01-04,110.2
2013-01-07,110.1
2013-01-08,110.0
2013-01-09,114.1
2013-01-10,116.1
2013-01-11,114.4
2013-01-14,117.0
2013-01-15,117.0
2013-01-16,120.0
2013-01-17,120.0
2013-01-18,120.0
2013-01-21,120.0
2013-01-22,119.65
2013-01-23,117.5
2013-01-24,115.0
2013-01-25,113.25
2013-01-28,114.95
2013-01-29,112.55
2013-01-30,112.5
2013-01-31,112.5
2013-02-01,113.0
2013-02-04,116.8
2013-02-05,113.0
2013-02-06,112.5
2013-02-07,112.5
2013-02-08,112.8
2013-02-11,112.5
2013-02-12,113.7
2013-02-13,112.5
2013-02-14,112.6
2013-02-15,110.0
2013-02-18,110.0
2013-02-19,110.05
2013-02-20,110.55
2013-02-21,110.0
2013-02-22,113.7
2013-02-25,111.95
2013-02-26,110.05
2013-02-27,110.45
2013-02-28,110.0
2013-03-01,110.1
2013-03-04,110.0
2013-03-05,110.0
2013-03-06,111.0
2013-03-08,112.5
2013-03-11,108.1
2013-03-12,111.0
2013-03-13,111.0
2013-03-14,110.0
2013-03-15,110.0
2013-03-18,110.0
2013-03-19,110.0
2013-03-20,109.7
2013-03-21,108.0
2013-03-22,108.0
2013-03-25,109.4
2013-03-26,108.0
2013-03-28,108.0
2013-04-01,108.0
2013-04-02,114.9
2013-04-03,108.0
2013-04-04,108.0
2013-04-05,108.0
2013-04-08,108.0
2013-04-09,108.0
2013-04-11,108.0
2013-04-12,108.0
2013-04-16,109.95
2013-04-18,108.0
2013-04-22,108.0
2013-04-23,108.0
2013-04-25,108.0
2013-04-26,108.0
2013-04-30,108.0
2013-05-02,108.0
2013-05-03,110.0
2013-05-06,110.0
2013-05-07,108.05
2013-05-08,110.0
2013-05-09,109.25
2013-05-11,108.0
2013-05-13,108.6
2013-05-14,108.05
2013-05-15,110.0
2013-05-16,110.0
2013-05-17,108.75
2013-05-22,108.2
2013-05-23,108.0
2013-05-24,119.9
2013-05-27,108.0
2013-05-28,108.05
2013-05-31,108.0
2013-06-03,108.0
