Date,DCW
2013-01-01,21.9
2013-01-02,22.25
2013-01-03,21.5
2013-01-04,21.4
2013-01-07,21.75
2013-01-08,21.6
2013-01-09,21.35
2013-01-10,21.1
2013-01-11,20.8
2013-01-14,21.15
2013-01-15,20.75
2013-01-16,20.25
2013-01-17,20.1
2013-01-18,19.8
2013-01-21,19.3
2013-01-22,19.15
2013-01-23,18.65
2013-01-24,18.05
2013-01-25,18.6
2013-01-28,18.65
2013-01-29,17.9
2013-01-30,17.75
2013-01-31,18.15
2013-02-01,18.35
2013-02-04,18.65
2013-02-05,18.2
2013-02-06,17.85
2013-02-07,17.45
2013-02-08,17.3
2013-02-11,18.1
2013-02-12,17.25
2013-02-13,17.0
2013-02-14,16.25
2013-02-15,16.15
2013-02-18,16.45
2013-02-19,17.1
2013-02-20,17.2
2013-02-21,16.6
2013-02-22,16.25
2013-02-25,15.9
2013-02-26,15.1
2013-02-27,15.2
2013-02-28,13.1
2013-03-01,14.45
2013-03-04,14.35
2013-03-05,14.7
2013-03-06,15.45
2013-03-07,15.3
2013-03-08,14.95
2013-03-11,15.0
2013-03-12,15.25
2013-03-13,15.0
2013-03-14,14.8
2013-03-15,14.0
2013-03-18,13.55
2013-03-19,13.25
2013-03-20,13.15
2013-03-21,12.85
2013-03-22,12.75
2013-03-25,12.75
2013-03-26,12.7
2013-03-28,12.6
2013-04-01,13.2
2013-04-02,14.25
2013-04-03,13.95
2013-04-04,13.55
2013-04-05,13.7
2013-04-08,13.55
2013-04-09,12.9
2013-04-10,13.1
2013-04-11,13.25
2013-04-12,13.25
2013-04-15,13.0
2013-04-16,13.45
2013-04-17,13.55
2013-04-18,13.55
2013-04-22,14.3
2013-04-23,14.15
2013-04-25,15.35
2013-04-26,15.45
2013-04-29,15.55
2013-04-30,14.65
2013-05-02,14.5
2013-05-03,14.5
2013-05-06,15.4
2013-05-07,15.35
2013-05-08,15.45
2013-05-09,15.2
2013-05-10,15.35
2013-05-11,15.3
2013-05-13,15.35
2013-05-14,15.4
2013-05-15,14.7
2013-05-16,14.2
2013-05-17,14.55
2013-05-20,14.1
2013-05-21,13.8
2013-05-22,13.4
2013-05-23,13.3
2013-05-24,13.2
2013-05-27,13.0
2013-05-28,12.7
2013-05-29,13.15
2013-05-30,12.95
2013-05-31,12.6
2013-06-03,12.35
2013-06-04,12.3
2013-06-05,12.4
2013-06-06,12.75
2013-06-07,12.3
2013-06-10,12.1
2013-06-11,11.85
2013-06-12,11.75
2013-06-13,11.5
2013-06-14,11.8
2013-06-17,11.8
2013-06-18,11.9
2013-06-19,12.45
2013-06-20,12.1
2013-06-21,11.65
2013-06-24,11.0
2013-06-25,10.85
2013-06-26,10.85
2013-06-27,10.95
2013-06-28,11.15
2013-07-01,11.4
2013-07-02,11.1
2013-07-03,10.3
2013-07-04,10.55
2013-07-05,10.35
2013-07-08,10.05
2013-07-09,10.2
2013-07-10,10.25
2013-07-11,10.75
2013-07-12,10.85
2013-07-15,11.05
2013-07-16,10.5
2013-07-17,10.75
2013-07-18,10.85
2013-07-19,10.6
2013-07-22,10.45
2013-07-23,10.5
2013-07-24,10.1
2013-07-25,10.4
2013-07-26,10.6
2013-07-29,10.3
2013-07-30,10.15
2013-07-31,9.95
2013-08-01,9.7
2013-08-02,9.6
2013-08-05,9.65
2013-08-06,9.0
2013-08-07,9.1
2013-08-08,9.55
2013-08-12,9.65
2013-08-13,9.35
2013-08-14,9.45
2013-08-16,9.1
2013-08-19,9.15
2013-08-20,9.0
2013-08-21,8.75
2013-08-22,8.95
2013-08-23,8.9
