Date,GEOJITFSL
2014-02-25,21.0
2014-02-26,20.9
2014-02-28,20.85
2014-03-03,20.35
2014-03-04,20.25
2014-03-05,20.3
2014-03-06,20.0
2014-03-07,20.0
2014-03-10,19.9
2014-03-11,20.25
2014-03-12,20.25
2014-03-13,20.0
2014-03-14,19.7
2014-03-18,19.9
2014-03-19,19.85
2014-03-20,19.75
2014-03-21,20.3
2014-03-22,19.7
2014-03-24,19.9
2014-03-25,19.75
2014-03-26,19.9
2014-03-27,20.4
2014-03-28,21.85
2014-03-31,22.15
2014-04-01,22.8
2014-04-02,23.5
2014-04-03,24.45
2014-04-04,24.0
2014-04-07,23.7
2014-04-09,23.6
2014-04-10,24.0
2014-04-11,24.0
2014-04-15,23.8
2014-04-16,22.55
2014-04-17,22.55
2014-04-21,23.2
2014-04-22,23.1
2014-04-23,23.05
2014-04-25,24.0
2014-04-28,23.7
2014-04-29,23.45
2014-04-30,23.0
2014-05-02,22.7
2014-05-05,22.7
2014-05-06,23.2
2014-05-07,22.8
2014-05-08,22.45
2014-05-09,22.95
2014-05-12,22.8
2014-05-13,23.9
2014-05-14,23.5
2014-05-15,23.6
2014-05-16,25.55
2014-05-19,28.8
2014-05-20,28.0
2014-05-21,29.05
2014-05-22,30.8
2014-05-23,31.85
2014-05-26,33.25
2014-05-27,32.0
2014-05-28,35.1
2014-05-29,36.95
2014-05-30,37.75
2014-06-02,38.3
2014-06-03,41.1
2014-06-04,41.7
2014-06-05,41.5
2014-06-06,41.15
2014-06-09,42.75
2014-06-10,42.5
2014-06-11,41.25
2014-06-12,42.2
2014-06-13,39.9
2014-06-16,39.9
2014-06-17,40.9
2014-06-18,40.05
2014-06-19,39.75
2014-06-20,37.9
2014-06-23,37.65
2014-06-24,39.0
2014-06-25,41.85
2014-06-26,41.45
2014-06-27,40.6
2014-08-06,39.95
2014-08-07,39.05
2014-08-08,37.95
2014-08-11,37.65
2014-08-12,37.5
2014-08-13,36.7
2014-08-14,36.85
2014-08-18,37.55
2014-08-19,37.6
2014-08-20,38.7
2014-08-21,38.05
2014-08-22,37.55
2014-08-25,37.7
2014-08-26,37.0
2014-08-27,36.85
2014-08-28,35.8
2014-09-01,37.0
2014-09-02,36.25
2014-09-03,36.3
2014-09-04,35.5
2014-09-05,36.9
2014-09-08,38.35
2014-09-09,38.1
2014-09-10,38.55
