Date,KOHINOOR
2013-01-01,29.95
2013-01-02,30.2
2013-01-03,30.05
2013-01-04,29.75
2013-01-07,29.95
2013-01-08,29.85
2013-01-09,29.7
2013-01-10,30.1
2013-01-11,29.9
2013-01-14,29.95
2013-01-15,30.75
2013-01-16,30.0
2013-01-17,30.25
2013-01-18,30.8
2013-01-21,30.35
2013-01-22,30.55
2013-01-23,30.65
2013-01-24,30.7
2013-01-25,29.9
2013-01-28,29.95
2013-01-29,29.9
2013-01-30,29.8
2013-01-31,29.8
2013-02-01,29.6
2013-02-04,29.65
2013-02-05,29.95
2013-02-06,29.8
2013-02-07,29.75
2013-02-08,29.15
2013-02-11,28.8
2013-02-12,28.85
2013-02-13,28.6
2013-02-14,27.3
2013-02-15,26.65
2013-02-18,26.75
2013-02-19,26.9
2013-02-20,26.9
2013-02-21,26.35
2013-02-22,25.8
2013-02-25,25.6
2013-02-26,24.7
2013-02-27,24.75
2013-02-28,24.1
2013-03-01,25.6
2013-03-04,26.55
2013-03-05,26.1
2013-03-06,25.85
2013-03-07,25.9
2013-03-08,26.0
2013-03-11,28.1
2013-03-12,28.1
2013-03-13,27.95
2013-03-14,29.4
2013-03-15,28.25
2013-03-18,27.35
2013-03-19,26.65
2013-03-20,25.15
2013-03-21,24.8
2013-03-22,23.85
2013-03-25,23.3
2013-03-26,22.9
2013-03-28,22.7
2013-04-01,26.3
2013-04-02,26.5
2013-04-03,27.5
2013-04-04,27.85
2013-04-05,27.05
2013-04-08,27.25
2013-04-09,28.1
2013-04-10,28.05
2013-04-11,28.7
2013-04-12,28.1
2013-04-15,28.0
2013-04-16,27.7
2013-04-17,31.35
2013-04-18,31.1
2013-04-22,29.1
2013-04-23,28.8
2013-04-25,30.2
2013-04-26,29.25
2013-04-29,29.05
2013-04-30,28.7
2013-05-02,28.75
2013-05-03,30.2
2013-05-06,32.4
2013-05-07,31.5
2013-05-08,31.25
2013-05-09,30.75
2013-05-10,30.05
2013-05-11,30.05
2013-05-13,29.45
2013-05-14,29.4
2013-05-15,29.8
2013-05-16,32.85
2013-05-17,32.2
2013-05-20,31.5
2013-05-21,32.15
2013-05-22,31.85
2013-05-23,31.15
