Date,PIONEEREMB
2013-01-01,8.45
2013-01-02,8.55
2013-01-03,8.4
2013-01-04,8.35
2013-01-07,8.9
2013-01-08,8.75
2013-01-09,8.5
2013-01-10,8.25
2013-01-11,8.45
2013-01-14,8.3
2013-01-15,8.2
2013-01-16,8.15
2013-01-17,8.15
2013-01-18,8.05
2013-01-21,8.05
2013-01-23,7.95
2013-01-24,8.25
2013-01-25,8.0
2013-01-28,8.3
2013-01-29,7.8
2013-01-30,8.25
2013-01-31,8.4
2013-02-01,8.3
2013-02-04,8.5
2013-02-05,8.0
2013-02-06,7.25
2013-02-07,7.3
2013-02-08,6.85
2013-02-11,6.5
2013-02-12,6.7
2013-02-13,6.9
2013-02-14,6.9
2013-02-15,6.85
2013-02-18,7.1
2013-02-19,7.05
2013-02-20,7.1
2013-02-21,6.85
2013-02-22,6.9
2013-02-25,6.75
2013-02-26,6.7
2013-02-27,6.8
2013-02-28,6.55
2013-03-01,6.4
2013-03-04,6.3
2013-03-05,6.0
2013-03-06,5.85
2013-03-07,6.05
2013-03-08,6.1
2013-03-11,6.45
2013-03-12,7.05
2013-03-13,7.4
2013-03-14,7.6
2013-03-15,7.25
2013-03-18,7.2
2013-03-20,6.9
2013-03-21,6.6
2013-03-22,6.3
2013-03-25,6.0
2013-03-26,5.9
2013-03-28,6.1
2013-04-01,5.95
2013-04-02,6.2
2013-04-03,6.3
2013-04-04,6.05
2013-04-05,5.85
2013-04-16,5.6
2013-04-23,5.8
2013-04-25,6.0
2013-05-06,6.0
2013-05-08,5.7
2013-05-09,5.65
2013-05-13,5.9
2013-05-14,5.9
2013-05-16,5.8
2013-05-21,5.95
2013-05-22,5.95
2013-05-23,6.2
2013-05-28,6.1
2013-05-29,6.0
2013-05-30,5.9
2013-05-31,5.9
2013-06-03,6.15
2013-06-04,6.3
2013-06-05,6.35
2013-06-06,6.35
2013-06-07,6.35
2013-06-12,6.15
2013-06-17,5.85
2013-06-19,5.85
2013-06-20,6.1
2013-06-25,5.95
2013-06-26,5.8
2013-07-02,5.55
2013-07-04,5.3
2013-07-05,5.05
2013-07-10,5.05
2013-07-11,5.3
2013-07-22,5.55
2013-07-23,5.8
2013-07-25,5.8
2013-07-26,5.55
2013-08-01,5.8
2013-08-02,5.55
2013-08-08,5.75
2013-08-12,6.0
2013-08-14,5.7
2013-08-22,5.95
2013-08-23,5.95
2013-08-29,6.2
2013-09-03,6.5
2013-09-04,6.5
2013-09-06,6.2
2013-09-11,6.0
2013-09-13,6.0
2013-09-17,6.0
2013-09-27,6.2
2013-09-30,6.5
2013-10-01,6.8
2013-10-03,6.9
2013-10-04,6.9
2013-10-08,6.85
2013-10-09,6.6
2013-10-10,6.8
2013-10-11,6.8
2013-10-14,7.1
2013-10-15,7.0
2013-10-18,6.65
2013-10-21,6.95
2013-10-22,7.25
2013-10-24,7.6
2013-10-28,7.95
2013-10-29,7.65
2013-10-30,8.0
2013-10-31,8.4
2013-11-01,8.8
2013-11-03,9.2
2013-11-05,9.55
2013-11-06,9.75
2013-11-29,8.9
2013-12-02,8.5
2013-12-06,8.25
2013-12-09,8.25
2013-12-11,8.65
2013-12-31,8.25
2014-01-02,8.4
2014-01-03,8.4
2014-01-07,8.4
2014-01-09,8.4
2014-01-13,8.35
2014-01-14,8.7
2014-01-15,8.55
2014-01-16,8.9
2014-01-17,8.5
2014-01-20,8.1
2014-01-21,7.7
2014-01-22,8.0
2014-01-23,8.15
2014-01-24,8.15
2014-01-27,7.75
2014-01-28,7.4
2014-01-29,7.7
2014-01-30,7.7
2014-01-31,7.9
2014-02-03,8.15
2014-02-04,8.05
2014-02-05,7.75
2014-02-06,7.75
2014-02-07,7.4
2014-02-10,7.45
2014-02-11,7.3
2014-02-12,7.5
2014-02-13,7.2
2014-02-14,6.85
2014-02-17,6.75
2014-02-18,6.45
2014-02-19,6.5
2014-02-20,6.35
2014-02-21,6.4
2014-02-24,6.6
2014-02-25,6.85
2014-02-26,6.6
2014-02-28,6.35
2014-03-03,6.45
2014-03-04,6.7
2014-03-05,6.65
2014-03-06,6.65
2014-03-07,6.35
2014-03-10,6.25
2014-03-11,6.15
2014-03-12,5.95
