Date,IPCALAB
2013-01-01,524.65
2013-01-02,515.4
2013-01-03,507.8
2013-01-04,506.9
2013-01-07,509.75
2013-01-08,511.85
2013-01-09,513.1
2013-01-10,503.35
2013-01-11,488.25
2013-01-14,497.05
2013-01-15,501.1
2013-01-16,493.95
2013-01-17,511.1
2013-01-18,514.8
2013-01-21,524.9
2013-01-22,525.05
2013-01-23,513.3
2013-01-24,501.15
2013-01-25,499.5
2013-01-28,491.75
2013-01-29,486.6
2013-01-30,481.25
2013-01-31,492.3
2013-02-01,492.85
2013-02-04,494.85
2013-02-05,494.35
2013-02-06,485.5
2013-02-07,482.6
2013-02-08,482.15
2013-02-11,480.5
2013-02-12,480.85
2013-02-13,479.9
2013-02-14,470.5
2013-02-15,467.2
2013-02-18,471.55
2013-02-19,478.95
2013-02-20,474.35
2013-02-21,470.45
2013-02-22,476.9
2013-02-25,487.95
2013-02-26,494.95
2013-02-27,493.65
2013-02-28,496.05
2013-03-01,497.0
2013-03-04,484.15
2013-03-05,484.25
2013-03-06,487.75
2013-03-07,498.15
2013-03-08,509.25
2013-03-11,512.75
2013-03-12,507.85
2013-03-13,502.2
2013-03-14,503.95
2013-03-15,520.0
2013-03-18,518.7
2013-03-19,534.45
2013-03-20,522.15
2013-03-21,521.55
2013-03-22,514.95
2013-03-25,512.05
2013-03-26,511.15
2013-03-28,529.4
2013-04-01,526.95
2013-04-02,529.65
2013-04-03,528.95
2013-04-04,516.25
2013-04-05,514.9
2013-04-08,504.25
2013-04-09,506.95
2013-04-10,502.95
2013-04-11,501.9
2013-04-12,505.9
2013-04-15,515.05
2013-04-16,508.25
2013-04-17,507.2
2013-04-18,509.35
2013-04-22,510.35
2013-04-23,512.65
2013-04-25,513.0
2013-04-26,517.25
2013-04-29,516.6
2013-04-30,508.3
2013-05-02,534.4
2013-05-03,545.65
2013-05-06,546.05
2013-05-07,569.55
2013-05-08,566.3
2013-05-09,560.55
2013-05-10,564.55
2013-05-11,563.35
2013-05-13,552.1
2013-05-14,543.0
2013-05-15,562.9
2013-05-16,578.2
2013-05-17,584.9
2013-05-20,599.85
2013-05-21,591.65
2013-05-22,584.55
2013-05-23,576.65
2013-05-24,572.8
2013-05-27,571.6
2013-05-28,562.55
2013-05-29,592.5
2013-05-30,598.25
2013-05-31,594.55
2013-06-03,606.25
2013-06-04,610.6
2013-06-05,603.85
2013-06-06,600.75
2013-06-07,600.8
2013-06-10,604.0
2013-06-11,620.0
2013-06-12,650.0
2013-06-13,641.45
2013-06-14,650.15
2013-06-17,669.75
2013-06-18,685.15
2013-06-19,695.75
2013-06-20,692.65
2013-06-21,679.8
2013-06-24,650.4
2013-06-25,639.1
2013-06-26,613.15
2013-06-27,631.35
2013-06-28,655.2
2013-07-01,660.1
2013-07-02,675.05
2013-07-03,691.05
2013-07-04,684.75
2013-07-05,694.3
2013-07-08,696.65
2013-07-09,691.8
2013-07-10,688.0
2013-07-11,683.65
2013-07-12,695.2
2013-07-15,699.95
2013-07-16,680.1
2013-07-17,670.15
2013-07-18,663.2
2013-07-19,646.9
2013-07-22,639.5
2013-07-23,635.2
2013-07-24,629.95
2013-07-25,653.9
2013-07-26,639.5
2013-07-29,644.85
2013-07-30,652.35
2013-07-31,666.9
2013-08-01,665.55
2013-08-02,673.9
2013-08-05,659.55
2013-08-06,656.4
2013-08-07,652.1
2013-08-08,643.65
2013-08-12,645.6
2013-08-13,656.4
2013-08-14,668.2
2013-08-16,660.85
2013-08-19,645.7
2013-08-20,620.6
2013-08-21,625.0
2013-08-22,634.05
2013-08-23,625.2
2013-08-26,624.4
2013-08-27,626.45
2013-08-28,616.8
