Date,FSL
2013-01-01,12.1
2013-01-02,12.1
2013-01-03,12.1
2013-01-04,12.05
2013-01-07,12.05
2013-01-08,12.05
2013-01-09,12.05
2013-01-10,12.05
2013-01-11,12.05
2013-01-14,12.1
2013-01-15,12.1
2013-01-16,11.7
2013-01-17,11.85
2013-01-18,11.55
2013-01-21,11.1
2013-01-22,10.95
2013-01-23,10.55
2013-01-24,10.05
2013-01-25,10.65
2013-01-28,10.9
2013-01-29,11.1
2013-01-30,11.0
2013-01-31,10.8
2013-02-01,11.6
2013-02-04,11.3
2013-02-05,11.2
2013-02-06,11.25
2013-02-07,10.95
2013-02-08,10.9
2013-02-11,10.7
2013-02-12,10.6
2013-02-13,10.5
2013-02-14,10.95
2013-02-15,11.0
2013-02-18,11.3
2013-02-19,11.0
2013-02-20,10.95
2013-02-21,11.1
2013-02-22,10.9
2013-02-25,10.75
2013-02-26,10.55
2013-02-27,10.55
2013-02-28,10.3
2013-03-01,10.25
2013-03-04,9.75
2013-03-05,10.45
2013-03-06,10.4
2013-03-07,10.3
2013-03-08,10.45
2013-03-11,10.45
2013-03-12,10.5
2013-03-13,10.8
2013-03-14,11.15
2013-03-15,10.9
2013-03-18,10.95
2013-03-19,10.7
2013-03-20,10.4
2013-03-21,10.65
2013-03-22,10.4
2013-03-25,10.2
2013-03-26,10.15
2013-03-28,10.2
2013-04-01,10.35
2013-04-02,10.65
2013-04-03,10.85
2013-04-04,10.9
2013-04-05,10.9
2013-04-08,10.8
2013-04-09,10.7
2013-04-10,10.6
2013-04-11,10.8
2013-04-12,10.75
2013-04-15,10.75
2013-04-16,10.75
2013-04-17,10.75
2013-04-18,10.8
2013-04-22,10.7
2013-04-23,10.7
2013-04-25,10.75
2013-04-26,10.7
2013-04-29,10.6
2013-04-30,10.7
2013-05-02,10.55
2013-05-03,10.45
2013-05-06,10.85
2013-05-07,11.0
2013-05-08,11.1
2013-05-09,10.9
2013-05-10,10.7
2013-05-11,10.65
2013-05-13,10.4
2013-05-14,10.3
2013-05-15,10.8
2013-05-16,10.85
2013-05-17,10.85
2013-05-20,10.95
2013-05-21,10.75
2013-05-22,10.45
2013-05-23,10.2
2013-05-24,10.3
2013-05-27,10.4
2013-05-28,10.2
2013-05-29,10.95
2013-05-30,10.5
2013-05-31,10.35
2013-06-03,10.5
2013-06-04,10.7
2013-06-05,10.85
2013-06-06,10.65
2013-06-07,10.7
2013-06-10,10.5
2013-06-11,10.4
2013-06-12,10.45
2013-06-13,10.3
2013-06-14,10.3
2013-06-17,10.3
