Date,JAYNECOIND
2013-01-01,12.75
2013-01-02,13.15
2013-01-03,13.2
2013-01-04,13.3
2013-01-07,13.45
2013-01-08,14.1
2013-01-09,14.05
2013-01-10,13.75
2013-01-11,13.25
2013-01-14,13.3
2013-01-15,13.15
2013-01-16,12.75
2013-01-17,12.7
2013-01-18,12.55
2013-01-21,12.55
2013-01-22,12.65
2013-01-23,12.15
2013-01-24,11.7
2013-01-25,11.75
2013-01-28,11.95
2013-01-29,11.65
2013-01-30,11.25
2013-01-31,11.05
2013-02-01,11.1
2013-02-04,11.05
2013-02-05,13.2
2013-02-06,13.2
2013-02-07,12.55
2013-02-08,11.7
2013-02-11,11.25
2013-02-12,11.0
2013-02-13,10.95
2013-02-14,10.35
2013-02-15,10.5
2013-02-18,11.65
2013-02-19,12.85
2013-02-20,11.9
2013-02-21,11.8
2013-02-22,11.7
2013-02-25,11.2
2013-02-26,10.3
2013-02-27,10.65
2013-02-28,10.65
2013-03-01,10.5
2013-03-04,10.15
2013-03-05,10.6
2013-03-06,11.2
2013-03-07,11.0
2013-03-08,11.2
2013-03-11,11.2
2013-03-12,10.9
2013-03-13,10.7
2013-03-14,10.7
2013-03-15,10.6
2013-03-18,10.55
2013-03-19,10.05
2013-03-20,9.65
2013-03-21,9.65
2013-03-22,9.15
2013-03-25,8.95
2013-03-26,8.95
2013-03-28,9.25
2013-04-01,10.0
2013-04-02,10.4
2013-04-03,10.05
2013-04-04,9.7
2013-04-05,9.65
2013-04-08,9.5
2013-04-09,9.55
2013-04-10,9.4
2013-04-11,9.45
2013-04-12,9.3
2013-04-15,9.25
2013-04-16,9.1
2013-04-17,9.35
2013-04-18,9.6
2013-04-22,9.3
2013-04-23,9.45
2013-04-25,9.35
2013-04-26,9.3
2013-04-29,9.15
2013-04-30,9.15
2013-05-02,9.05
2013-05-03,9.0
2013-05-06,9.1
2013-05-07,9.35
2013-05-08,9.35
2013-05-09,9.25
2013-05-10,9.25
2013-05-11,9.5
2013-05-13,9.05
2013-05-14,9.05
2013-05-15,9.15
2013-05-16,9.1
2013-05-17,9.1
2013-05-20,9.05
2013-05-21,8.85
2013-05-22,8.65
2013-05-23,8.6
2013-05-24,8.8
2013-05-27,8.8
2013-05-28,8.8
2013-05-29,8.8
2013-05-30,8.6
2013-05-31,8.6
2013-06-03,8.3
2013-06-04,8.0
2013-06-05,8.1
2013-06-06,7.95
2013-06-07,8.0
2013-06-10,7.7
2013-06-11,7.55
2013-06-12,7.4
2013-06-13,7.35
2013-06-14,7.15
2013-06-17,7.2
2013-06-18,7.3
2013-06-19,7.35
2013-06-20,7.2
2013-06-21,7.1
2013-06-24,6.9
2013-06-25,6.85
2013-06-26,6.7
2013-06-27,6.7
2013-06-28,7.15
2013-07-01,7.45
2013-07-02,7.6
2013-07-03,7.4
2013-07-04,7.4
2013-07-05,7.35
2013-07-08,7.15
2013-07-09,7.2
2013-07-10,7.05
2013-07-11,7.1
2013-07-12,7.05
2013-07-15,7.0
2013-07-16,7.0
2013-07-17,7.05
2013-07-18,7.05
2013-07-19,7.35
2013-07-22,7.9
2013-07-23,7.7
2013-07-24,7.2
2013-07-25,7.4
2013-07-26,7.1
2013-07-29,7.05
2013-07-30,7.1
2013-07-31,6.8
2013-08-01,6.05
2013-08-02,6.05
2013-08-05,6.35
2013-08-06,5.85
2013-08-07,6.25
2013-08-08,6.1
2013-08-12,6.5
2013-08-13,6.7
2013-08-14,6.9
2013-08-16,6.55
2013-08-19,6.3
2013-08-20,6.25
2013-08-21,6.3
2013-08-22,6.3
2013-08-23,6.45
2013-08-26,6.7
2013-08-27,6.65
2013-08-28,6.8
2013-08-29,6.95
2013-08-30,6.85
2013-09-02,6.95
2013-09-03,6.5
2013-09-04,6.7
2013-09-05,6.85
2013-09-06,7.0
2013-09-10,7.2
2013-09-11,7.3
2013-09-12,7.6
2013-09-13,7.65
2013-09-16,7.3
2013-09-17,7.4
2013-09-18,7.15
2013-09-19,7.45
2013-09-20,7.25
2013-09-23,7.05
2013-09-24,7.0
2013-09-25,6.9
2013-09-26,7.0
2013-09-27,7.4
2013-09-30,7.3
2013-10-01,7.2
2013-10-03,7.3
2013-10-04,7.3
2013-10-07,7.15
2013-10-08,7.65
2013-10-09,7.55
2013-10-10,7.6
2013-10-11,7.6
2013-10-14,7.3
2013-10-15,7.45
2013-10-17,7.45
2013-10-18,7.45
2013-10-21,7.55
2013-10-22,8.4
2013-10-23,8.2
2013-10-24,8.15
2013-10-25,7.9
2013-10-28,7.9
2013-10-29,8.15
2013-10-30,8.55
2013-10-31,8.9
2013-11-01,9.35
2013-11-03,9.75
2013-11-05,10.6
2013-11-06,9.85
2013-11-07,9.75
2013-11-08,9.6
2013-11-11,9.2
2013-11-12,9.0
2013-11-13,8.9
2013-11-14,9.0
2013-11-18,9.45
2013-11-19,9.4
2013-11-20,9.4
2013-11-21,9.2
2013-11-22,8.7
2013-11-25,8.75
2013-11-26,8.75
2013-11-27,8.6
2013-11-28,8.65
2013-11-29,8.5
2013-12-02,9.15
2013-12-03,9.25
2013-12-04,9.4
2013-12-05,9.05
2013-12-06,9.3
2013-12-09,9.15
2013-12-10,8.9
2013-12-11,8.85
2013-12-12,8.85
2013-12-13,8.7
2013-12-16,8.55
2013-12-17,8.35
2013-12-18,8.3
2013-12-19,8.3
2013-12-20,8.55
2013-12-23,8.55
2013-12-24,8.95
2013-12-26,9.55
2013-12-27,9.3
2013-12-30,9.3
2013-12-31,9.4
2014-01-01,9.85
2014-01-02,9.95
2014-01-03,10.0
2014-01-06,9.85
2014-01-07,10.15
2014-01-08,10.1
2014-01-09,9.75
2014-01-10,9.2
2014-01-13,9.3
2014-01-14,9.1
2014-01-15,9.1
