Date,JAIBALAJI
2013-01-01,36.05
2013-01-02,36.3
2013-01-03,38.1
2013-01-04,36.85
2013-01-07,37.9
2013-01-08,37.4
2013-01-09,36.25
2013-01-10,36.0
2013-01-11,36.05
2013-01-14,35.6
2013-01-15,35.45
2013-01-16,35.1
2013-01-17,34.35
2013-01-18,34.4
2013-01-21,34.7
2013-01-22,33.95
2013-01-23,33.7
2013-01-24,32.15
2013-01-25,32.4
2013-01-28,33.25
2013-01-29,33.0
2013-01-30,32.85
2013-01-31,32.6
2013-02-01,32.75
2013-02-04,33.05
2013-02-05,32.0
2013-02-06,32.95
2013-02-07,31.05
2013-02-08,30.45
2013-02-11,29.5
2013-02-12,29.15
2013-02-13,28.6
2013-02-14,28.45
2013-02-15,28.55
2013-02-18,27.5
2013-02-19,27.85
2013-02-20,27.9
2013-02-21,27.25
2013-02-22,27.4
2013-02-25,30.1
2013-02-26,27.75
2013-02-27,28.4
2013-02-28,27.25
2013-03-01,27.45
2013-03-04,27.85
2013-03-05,27.0
2013-03-06,29.35
2013-03-07,29.85
2013-03-08,30.15
2013-03-11,29.5
2013-03-12,28.95
2013-03-13,29.0
2013-03-14,29.9
2013-03-15,29.5
2013-03-18,29.25
2013-03-19,29.25
2013-03-20,28.55
2013-03-21,29.0
2013-03-22,28.65
2013-03-25,29.5
2013-03-26,29.65
2013-03-28,29.6
2013-04-01,29.85
2013-04-02,29.5
2013-04-03,29.25
2013-04-04,28.3
2013-04-05,28.1
2013-04-08,27.4
2013-04-09,27.7
2013-04-10,27.3
2013-04-11,27.05
2013-04-12,27.2
2013-04-15,27.2
2013-04-16,26.75
2013-04-17,26.75
2013-04-18,26.25
2013-04-22,26.95
2013-04-23,26.2
2013-04-25,25.9
2013-04-26,25.85
2013-04-29,25.0
2013-04-30,24.0
2013-05-02,24.35
2013-05-03,26.1
2013-05-06,29.55
2013-05-07,28.75
2013-05-08,28.25
2013-05-09,28.5
2013-05-10,28.15
2013-05-11,28.5
2013-05-13,27.75
2013-05-14,26.7
2013-05-15,26.3
2013-05-16,26.0
2013-05-17,26.15
2013-05-20,25.75
2013-05-21,25.15
2013-05-22,25.15
2013-05-23,24.75
2013-05-24,25.35
2013-05-27,25.45
2013-05-28,27.85
2013-05-29,27.15
2013-05-30,26.4
2013-05-31,25.95
2013-06-03,24.95
2013-06-04,25.0
2013-06-05,24.95
2013-06-06,24.4
2013-06-07,24.15
2013-06-10,22.95
2013-06-11,21.5
2013-06-12,21.15
2013-06-13,20.0
2013-06-14,21.1
2013-06-17,21.0
2013-06-18,22.55
2013-06-19,26.1
2013-06-20,26.1
2013-06-21,26.2
2013-06-24,25.95
2013-06-25,25.75
2013-06-26,26.15
2013-06-27,25.75
2013-06-28,25.7
2013-07-01,26.55
2013-07-02,27.0
2013-07-03,26.2
2013-07-04,26.55
2013-08-30,19.8
2013-09-02,19.85
2013-09-03,20.1
2013-09-04,19.3
2013-09-05,19.2
2013-09-06,19.15
2013-09-10,18.55
2013-09-11,18.3
2013-09-12,17.45
2013-09-13,18.0
2013-09-16,18.0
2013-09-17,17.65
2013-09-18,18.3
2013-09-19,18.1
2013-09-20,18.15
2013-09-23,17.8
2013-09-24,17.85
2013-09-25,17.95
2013-09-26,18.05
2013-09-27,17.85
2013-09-30,17.85
2013-10-01,16.9
2013-10-03,16.6
2013-10-04,16.6
2013-10-07,17.0
2013-10-08,16.75
2013-10-09,17.4
2013-10-10,17.4
2013-10-11,17.65
2013-10-14,17.85
2013-10-15,17.75
2013-10-17,17.2
2013-10-18,17.55
2013-10-21,17.15
2013-10-22,16.85
2013-10-23,17.15
2013-10-24,16.9
2013-10-25,16.6
2013-10-28,16.2
2013-10-29,16.1
2013-10-30,15.9
2013-10-31,15.95
2013-11-01,16.0
2013-11-03,16.35
2013-11-05,16.65
2013-11-06,16.4
2013-11-07,16.0
2013-11-08,16.0
2013-11-11,16.0
2013-11-12,15.5
2013-11-13,15.2
2013-11-14,15.25
2013-11-18,15.35
2013-11-19,14.5
2013-11-20,15.15
2013-11-21,16.0
2013-11-22,15.35
2013-11-25,15.2
2013-11-26,15.1
2013-11-27,14.85
2013-11-28,14.45
2013-11-29,14.0
2013-12-02,14.3
2013-12-03,14.2
2013-12-04,14.35
2013-12-05,14.4
2013-12-06,14.75
2013-12-09,14.0
2013-12-10,14.25
2013-12-11,13.2
2013-12-12,13.4
2013-12-13,13.5
2013-12-16,13.85
2013-12-17,15.05
2013-12-18,15.45
2013-12-19,14.95
2013-12-20,15.05
2013-12-23,15.05
2013-12-24,14.95
2013-12-26,14.35
2013-12-27,14.9
2013-12-30,14.65
2013-12-31,14.85
2014-01-01,13.55
2014-01-02,13.65
2014-01-03,13.8
2014-01-06,13.55
2014-01-07,13.1
2014-01-08,12.75
2014-01-09,14.55
2014-01-10,13.55
2014-01-13,13.15
2014-01-14,12.95
2014-01-15,13.05
2014-01-16,12.95
2014-01-17,12.5
2014-01-20,12.7
2014-01-21,12.55
2014-01-22,12.75
2014-01-23,12.75
2014-01-24,12.35
2014-01-27,12.25
2014-01-28,12.2
2014-01-29,12.25
2014-01-30,11.05
2014-01-31,8.95
2014-02-03,9.35
2014-02-04,9.3
2014-02-05,9.2
2014-02-06,9.2
2014-02-07,9.1
2014-02-10,9.3
2014-02-11,9.0
2014-02-12,8.95
2014-02-13,8.45
2014-02-14,8.65
2014-02-17,8.65
