Date,DAAWAT
2013-01-01,61.1
2013-01-02,63.2
2013-01-03,62.2
2013-01-04,62.05
2013-01-07,61.95
2013-01-08,60.45
2013-01-09,60.4
2013-01-10,60.4
2013-01-11,59.25
2013-01-14,57.9
2013-01-15,58.15
2013-01-16,56.65
2013-01-17,56.6
2013-01-18,56.7
2013-01-21,55.85
2013-01-22,55.15
2013-01-23,54.15
2013-01-24,54.4
2013-01-25,54.15
2013-01-28,54.7
2013-01-29,54.0
2013-01-30,55.85
2013-01-31,55.4
2013-02-01,55.15
2013-02-04,55.25
2013-02-05,54.05
2013-02-06,54.35
2013-02-07,58.5
2013-02-08,57.75
2013-02-11,56.5
2013-02-12,56.05
2013-02-13,54.65
2013-02-14,53.75
2013-02-15,54.65
2013-02-18,54.2
2013-02-19,54.2
2013-02-20,54.1
2013-02-21,53.65
2013-02-22,54.95
2013-02-25,54.9
2013-02-26,53.7
2013-02-27,53.65
2013-02-28,52.35
2013-03-01,52.5
2013-03-04,52.15
2013-03-05,52.0
2013-03-06,52.15
2013-03-07,52.0
2013-03-08,53.35
2013-03-11,54.1
2013-03-12,53.45
2013-03-13,53.2
2013-03-14,51.8
2013-03-15,51.75
2013-03-18,51.7
2013-03-19,51.5
2013-03-20,48.7
2013-03-21,48.3
2013-03-22,47.85
2013-03-25,46.0
2013-03-26,45.3
2013-03-28,47.0
2013-04-01,48.5
2013-04-02,49.2
2013-04-03,48.2
2013-04-04,47.5
2013-04-05,47.1
2013-04-08,46.65
2013-04-09,46.9
2013-04-10,47.8
2013-04-11,49.0
2013-04-12,49.55
2013-04-15,50.75
2013-04-16,51.4
2013-04-17,54.85
2013-04-18,55.65
2013-04-22,53.65
2013-04-23,52.85
2013-04-25,52.7
2013-04-26,54.6
2013-04-29,54.9
2013-04-30,56.5
2013-05-02,56.15
2013-05-03,57.05
2013-05-06,58.55
2013-05-07,59.0
2013-05-08,58.0
2013-05-09,59.5
2013-05-10,58.75
2013-05-11,58.4
2013-05-13,58.0
2013-05-14,58.95
2013-05-15,60.0
2013-05-16,60.55
2013-05-17,59.6
2013-05-20,59.55
2013-05-21,61.0
2013-05-22,60.25
2013-05-23,58.95
2013-05-24,60.2
2013-05-27,61.05
2013-05-28,60.3
2013-05-29,58.95
2013-05-30,58.4
2013-05-31,58.15
2013-06-03,61.45
2013-06-04,63.35
2013-06-05,62.55
2013-06-06,63.1
2013-06-07,62.4
2013-06-10,63.45
2013-06-11,65.2
2013-06-12,61.25
2013-06-13,61.1
2013-06-14,59.35
2013-06-17,60.4
2013-06-18,64.65
2013-06-19,76.05
2013-06-20,70.15
