Date,GALLISPAT
2014-03-03,290.25
2014-03-04,293.35
2014-03-05,291.5
2014-03-06,290.35
2014-03-07,291.8
2014-03-10,300.0
2014-03-11,300.0
2014-03-12,314.3
2014-03-13,314.85
2014-03-14,315.0
2014-03-18,314.7
2014-03-19,313.25
2014-03-20,311.95
2014-03-21,310.9
2014-03-22,310.5
2014-03-24,314.95
2014-03-25,309.15
2014-03-26,306.75
2014-03-27,305.2
2014-03-28,305.1
2014-03-31,305.45
2014-04-01,305.0
2014-04-02,309.0
2014-04-03,309.15
2014-04-04,307.75
2014-04-07,308.0
2014-04-09,307.8
2014-04-10,306.95
2014-04-11,307.0
2014-04-15,306.2
2014-04-16,305.4
2014-04-17,305.3
2014-04-21,305.5
2014-04-22,293.85
2014-04-23,295.5
2014-04-25,296.3
2014-04-28,296.5
2014-04-29,297.2
2014-04-30,300.0
2014-05-02,297.4
2014-05-05,296.8
2014-05-06,298.25
2014-05-07,298.0
2014-05-08,298.05
2014-05-09,297.5
2014-05-12,304.15
2014-05-13,325.05
2014-05-14,340.15
2014-05-15,345.0
2014-05-16,354.75
2014-05-19,355.1
2014-05-20,352.05
2014-05-21,368.3
2014-05-22,375.6
2014-05-23,386.4
2014-05-26,393.85
2014-05-27,393.9
2014-05-28,393.95
2014-05-29,393.95
2014-05-30,393.05
2014-06-02,410.5
2014-06-03,419.95
2014-06-04,430.05
2014-06-05,439.25
2014-06-06,449.8
2014-06-09,449.2
2014-06-10,451.35
2014-06-11,451.15
2014-06-12,452.05
2014-06-13,452.0
2014-06-16,450.0
2014-06-17,451.85
2014-06-18,460.2
2014-06-19,461.0
2014-06-20,457.75
2014-06-23,462.0
2014-06-24,463.95
2014-06-25,464.9
2014-06-26,460.1
2014-06-27,460.05
2014-06-30,461.25
2014-07-01,461.35
2014-07-02,462.6
2014-07-03,461.65
2014-07-04,462.45
2014-07-07,461.0
2014-07-08,458.85
2014-07-09,454.95
2014-07-10,454.95
2014-07-11,447.0
2014-07-14,457.5
2014-07-15,458.35
2014-07-16,457.5
2014-07-17,456.05
2014-07-18,454.0
2014-07-21,454.5
2014-07-22,453.95
2014-07-23,446.0
2014-07-24,443.55
2014-07-25,435.0
2014-07-28,429.7
2014-07-30,428.15
2014-07-31,427.55
2014-08-01,414.0
2014-08-04,408.6
2014-08-05,402.8
2014-08-06,393.7
2014-08-07,394.9
2014-08-08,379.55
2014-08-11,379.7
2014-08-12,378.65
2014-08-13,379.45
2014-08-14,379.75
2014-08-18,380.25
2014-08-19,379.4
2014-08-20,378.7
2014-08-21,379.3
2014-08-22,379.3
2014-08-25,373.55
2014-08-26,371.8
2014-08-27,372.5
2014-08-28,372.75
2014-09-01,379.9
2014-09-02,379.75
2014-09-03,379.4
2014-09-04,379.85
2014-09-05,379.65
2014-09-08,379.5
2014-09-09,379.8
2014-09-10,380.7
2014-09-11,381.5
2014-09-12,380.5
2014-09-15,380.75
2014-09-16,374.65
2014-09-17,374.9
2014-09-18,374.1
2014-09-19,375.6
2014-09-22,375.45
2014-09-23,373.2
2014-09-24,369.85
2014-09-25,367.05
2014-09-26,367.45
2014-09-29,367.8
2014-09-30,367.5
2014-10-01,367.65
2014-10-07,370.65
2014-10-08,376.4
2014-10-09,377.25
2014-10-10,376.6
2014-10-13,376.75
2014-10-14,376.65
2014-10-16,376.8
2014-10-17,375.15
2014-10-20,375.7
2014-10-21,376.0
2014-10-22,376.6
2014-10-23,376.75
2014-10-27,376.7
2014-10-28,376.7
2014-10-29,376.5
2014-10-30,365.55
2014-10-31,376.35
2014-11-03,376.0
2014-11-05,376.8
2014-11-07,383.0
2014-11-10,385.05
2014-11-11,385.85
2014-11-12,385.9
2014-11-13,386.0
2014-11-14,385.95
2014-11-17,395.45
2014-11-18,394.95
2014-11-19,395.3
2014-11-20,394.8
2014-11-21,395.2
2014-11-24,395.4
2014-11-25,395.5
2014-11-26,395.1
2014-11-27,395.2
2014-11-28,395.4
2014-12-01,395.5
2014-12-02,395.45
2014-12-03,395.55
2014-12-04,395.3
2014-12-05,397.45
2014-12-08,396.8
2014-12-09,397.05
2014-12-10,398.1
2014-12-11,397.5
2014-12-12,397.25
2014-12-15,393.0
2014-12-16,393.4
2014-12-17,393.45
2014-12-18,395.4
2014-12-19,395.3
2014-12-22,395.5
2014-12-23,395.8
2014-12-24,394.95
2014-12-26,394.7
2014-12-29,393.8
2014-12-30,394.1
2014-12-31,394.45
2015-01-01,394.25
2015-01-02,394.65
2015-01-05,399.85
2015-01-06,397.5
2015-01-07,397.2
2015-01-08,399.85
2015-01-09,399.5
2015-01-12,399.45
2015-01-13,400.6
2015-01-14,399.55
2015-01-15,401.9
2015-01-16,399.3
2015-01-19,402.3
2015-01-20,402.75
2015-01-21,402.4
2015-01-22,402.55
2015-01-23,403.55
2015-01-27,403.35
2015-01-28,403.4
2015-01-29,404.0
2015-01-30,403.15
2015-02-02,403.55
2015-02-03,403.7
2015-02-04,403.65
2015-02-05,403.4
2015-02-06,403.6
2015-02-09,403.6
2015-02-10,403.8
2015-02-11,403.3
2015-02-12,404.0
2015-02-13,405.15
2015-02-16,405.4
2015-02-18,405.85
2015-02-19,406.35
2015-02-20,405.5
2015-02-23,405.8
2015-02-24,406.0
2015-02-25,406.0
2015-02-26,406.05
2015-02-27,405.55
2015-02-28,405.8
2015-03-02,405.1
2015-03-03,405.1
2015-03-04,405.1
2015-03-05,405.0
2015-03-09,404.95
2015-03-10,405.4
2015-03-11,405.0
2015-03-12,407.4
2015-03-13,404.5
2015-03-16,404.5
2015-03-17,404.55
2015-03-18,405.55
2015-03-19,407.55
2015-03-20,405.35
2015-03-23,405.55
2015-03-24,406.7
2015-03-25,407.3
2015-03-26,403.4
2015-03-27,403.75
2015-03-30,403.75
2015-03-31,404.65
2015-04-01,406.55
2015-04-06,406.7
2015-04-07,406.75
2015-04-08,406.6
2015-04-09,406.55
2015-04-10,406.8
2015-04-13,405.95
2015-04-15,406.7
2015-04-16,406.6
2015-04-17,406.4
2015-04-20,406.8
2015-04-21,404.4
2015-04-22,404.0
2015-04-23,403.0
2015-04-24,401.65
2015-04-27,400.0
2015-04-28,402.35
2015-04-29,401.75
2015-04-30,400.55
2015-05-04,402.7
2015-05-05,401.95
2015-05-06,400.2
2015-05-07,400.4
2015-05-08,401.7
2015-05-11,402.5
2015-05-12,400.25
2015-05-13,400.5
2015-05-14,400.5
2015-05-15,400.8
2015-05-18,412.5
2015-05-19,412.7
2015-05-20,412.4
2015-05-21,412.45
2015-05-22,412.65
2015-05-25,411.5
2015-05-26,411.7
2015-05-27,412.75
2015-05-28,412.6
2015-05-29,412.65
2015-06-01,412.75
2015-06-02,409.5
2015-06-03,405.35
2015-06-04,405.55
2015-06-05,405.75
2015-06-08,407.35
2015-06-09,406.9
2015-06-10,407.55
2015-06-11,407.35
2015-06-12,407.3
2015-06-15,407.05
2015-06-16,407.6
2015-06-17,408.25
2015-06-18,409.4
2015-06-19,409.75
2015-06-22,411.3
2015-06-23,411.3
2015-06-24,411.5
2015-06-25,412.25
2015-06-26,410.75
2015-06-29,408.6
2015-06-30,408.0
2015-07-01,407.95
2015-07-02,408.65
2015-07-03,409.5
2015-07-06,408.75
2015-07-07,408.0
2015-07-08,407.55
2015-07-09,407.0
2015-07-10,407.2
2015-07-13,407.45
2015-07-14,407.3
2015-07-15,408.0
2015-07-16,408.35
2015-07-17,408.25
2015-07-20,408.45
2015-07-21,408.05
2015-07-22,408.3
2015-07-23,408.15
2015-07-24,408.05
2015-07-27,406.05
2015-07-28,407.3
2015-07-29,406.15
2015-07-30,407.0
2015-07-31,408.85
2015-08-03,407.8
2015-08-04,408.4
2015-08-05,407.6
2015-08-06,407.4
2015-08-07,408.2
2015-08-10,407.6
2015-08-11,407.1
2015-08-12,407.15
2015-08-13,407.0
2015-08-14,407.35
2015-08-17,409.05
2015-08-18,408.9
2015-08-19,407.25
2015-08-20,405.85
2015-08-21,404.75
2015-08-24,400.25
2015-08-25,400.85
2015-08-26,400.25
2015-08-27,403.35
2015-08-28,403.65
2015-08-31,402.4
2015-09-01,400.85
2015-09-02,400.95
2015-09-03,402.8
2015-09-04,400.95
2015-09-07,401.0
2015-09-08,405.65
2015-09-09,407.5
2015-09-10,405.45
2015-09-11,409.45
2015-09-14,410.65
2015-09-15,409.35
2015-09-16,410.45
2015-09-18,412.6
2015-09-21,411.7
2015-09-22,411.7
2015-09-23,410.0
2015-09-24,409.8
2015-09-28,408.8
2015-09-29,410.0
2015-09-30,410.8
2015-10-01,410.8
2015-10-05,411.5
2015-10-06,409.65
2015-10-07,409.85
2015-10-08,414.05
2015-10-09,417.3
2015-10-12,417.65
2015-10-13,417.6
2015-10-14,416.9
2015-10-15,417.4
2015-10-16,417.8
2015-10-19,417.3
2015-10-20,417.1
2015-10-21,417.0
2015-10-23,417.05
2015-10-26,417.55
2015-10-27,417.25
2015-10-28,419.85
2015-10-29,418.1
2015-10-30,417.1
2015-11-02,417.9
2015-11-03,418.7
2015-11-04,417.6
2015-11-05,420.1
2015-11-06,422.3
2015-11-09,424.6
2015-11-10,424.05
2015-11-11,424.0
2015-11-13,424.2
2015-11-16,423.15
2015-11-17,423.6
2015-11-18,422.4
2015-11-19,423.3
2015-11-20,423.7
2015-11-23,423.3
2015-11-24,423.5
2015-11-26,425.6
2015-11-27,425.35
2015-11-30,425.55
2015-12-01,425.65
2015-12-02,425.6
2015-12-03,425.4
2015-12-04,424.85
2015-12-07,426.5
2015-12-08,426.15
2015-12-09,426.6
2015-12-10,426.35
2015-12-11,426.75
2015-12-14,430.0
2015-12-15,429.9
2015-12-16,429.8
2015-12-17,429.75
2015-12-18,429.3
2015-12-21,429.85
2015-12-22,429.45
2015-12-23,429.5
2015-12-24,429.6
2015-12-28,429.6
2015-12-29,429.75
2015-12-30,429.45
2015-12-31,429.85
2016-01-01,429.65
2016-01-04,428.35
2016-01-05,428.75
2016-01-06,427.55
2016-01-07,425.45
2016-01-08,426.4
2016-01-11,419.4
2016-01-12,414.65
2016-01-13,409.0
2016-01-14,404.8
2016-01-15,404.1
2016-01-18,404.3
2016-01-19,404.6
2016-01-20,403.4
2016-01-21,404.2
2016-01-22,404.1
2016-01-25,404.5
2016-01-27,404.35
2016-01-28,404.25
2016-01-29,404.25
2016-02-01,404.15
2016-02-02,404.9
2016-02-03,404.25
2016-02-04,404.55
2016-02-05,404.8
2016-02-08,404.85
2016-02-09,404.25
2016-02-10,404.4
2016-02-11,404.55
2016-02-12,404.15
2016-02-15,405.7
2016-02-16,405.05
2016-02-17,404.9
2016-02-18,409.0
2016-02-19,407.5
2016-02-22,408.15
2016-02-23,407.7
2016-02-24,403.1
2016-02-25,403.05
2016-02-26,403.5
2016-02-29,408.4
2016-03-01,409.7
2016-03-02,411.65
2016-03-03,403.05
2016-03-04,388.6
2016-03-08,376.3
2016-03-09,397.65
2016-03-10,426.7
2016-03-11,466.15
2016-03-14,459.95
2016-03-15,455.35
2016-03-16,454.65
2016-03-17,455.15
2016-03-18,456.65
2016-03-21,456.55
2016-03-22,465.25
2016-03-23,477.05
2016-03-28,486.4
2016-03-29,485.05
2016-03-30,494.05
2016-03-31,502.65
2016-04-01,525.6
2016-04-04,542.35
2016-04-05,544.25
2016-04-06,635.85
2016-04-07,627.1
2016-04-08,625.3
2016-04-11,603.05
2016-04-12,594.5
2016-04-13,597.45
2016-04-18,599.15
2016-04-20,605.45
2016-04-21,606.4
2016-04-22,604.35
2016-04-25,601.7
2016-04-26,603.5
2016-04-27,603.25
2016-04-28,598.1
2016-04-29,595.95
2016-05-02,597.7
2016-05-03,588.95
2016-05-04,594.45
2016-05-05,597.75
2016-05-06,597.8
2016-05-09,600.4
2016-05-10,600.6
2016-05-11,598.25
2016-05-12,595.05
2016-05-13,595.1
2016-05-16,585.3
2016-05-17,580.75
2016-05-18,577.15
2016-05-19,573.65
2016-05-20,567.35
2016-05-23,576.45
2016-05-24,589.65
2016-05-25,580.45
2016-05-26,584.05
2016-05-27,580.4
2016-05-30,574.75
2016-05-31,573.3
2016-06-01,575.3
2016-06-02,574.4
2016-06-03,574.2
2016-06-06,574.45
2016-06-07,574.2
2016-06-08,573.9
2016-06-09,579.05
2016-06-10,590.7
2016-06-13,594.8
2016-06-14,594.5
2016-06-15,597.6
2016-06-16,593.25
2016-06-17,589.85
2016-06-20,594.8
2016-06-21,593.85
2016-06-22,594.05
2016-06-23,594.55
2016-06-24,578.65
2016-06-27,582.7
2016-06-28,584.75
2016-06-29,590.55
2016-06-30,595.45
2016-07-01,595.55
2016-07-04,594.8
2016-07-05,594.05
2016-07-07,594.4
2016-07-08,593.65
2016-07-11,588.2
2016-07-12,585.45
2016-07-13,584.85
2016-07-14,583.65
2016-07-15,590.65
2016-07-18,594.75
2016-07-19,594.45
2016-07-20,596.55
2016-07-21,594.35
2016-07-22,594.45
2016-07-25,593.45
2016-07-26,592.85
2016-07-27,590.1
2016-07-28,583.15
2016-07-29,590.8
2016-08-01,591.2
2016-08-02,590.95
2016-08-03,594.7
2016-08-04,598.75
2016-08-05,598.95
2016-08-08,599.35
2016-08-09,599.2
2016-08-10,598.2
2016-08-11,596.1
2016-08-12,597.75
2016-08-16,597.3
2016-08-17,599.8
2016-08-18,598.7
2016-08-19,598.4
2016-08-22,598.5
2016-08-23,598.3
2016-08-24,598.8
2016-08-25,597.75
2016-08-26,588.0
2016-08-29,582.4
2016-08-30,582.45
2016-08-31,583.7
2016-09-01,583.65
2016-09-02,583.95
2016-09-06,584.3
2016-09-07,584.5
2016-09-08,583.75
2016-09-09,577.8
2016-09-12,565.55
2016-09-14,563.95
2016-09-15,560.15
2016-09-16,584.3
2016-09-19,569.4
2016-09-20,570.45
2016-09-21,566.55
2016-09-22,554.85
2016-09-23,549.8
2016-09-26,554.75
2016-09-27,554.6
2016-09-28,540.2
2016-09-29,546.45
2016-09-30,555.2
2016-10-03,542.4
2016-10-04,526.3
2016-10-05,509.35
2016-10-06,517.15
2016-10-07,510.4
2016-10-10,510.1
2016-10-13,506.9
2016-10-14,505.65
2016-10-17,503.85
2016-10-18,505.5
2016-10-19,505.5
2016-10-20,524.5
2016-10-21,530.9
2016-10-24,524.55
2016-10-25,524.2
2016-10-26,523.75
2016-10-27,524.05
2016-10-28,524.3
2016-10-30,524.3
2016-11-01,524.65
2016-11-02,523.65
2016-11-03,523.65
2016-11-04,523.35
2016-11-07,524.05
2016-11-08,525.95
2016-11-09,524.05
2016-11-10,525.7
2016-11-11,524.55
2016-11-15,523.1
2016-11-16,516.25
2016-11-17,517.25
2016-11-18,520.0
2016-11-21,519.25
2016-11-22,516.5
2016-11-23,513.3
2016-11-24,511.55
2016-11-25,511.1
2016-11-28,510.55
2016-11-29,510.5
2016-11-30,507.05
2016-12-01,502.75
2016-12-02,498.8
2016-12-05,486.85
2016-12-06,490.25
2016-12-07,490.3
2016-12-08,491.05
2016-12-09,491.15
2016-12-12,490.85
2016-12-13,490.9
2016-12-14,490.8
2016-12-15,490.8
2016-12-16,490.55
2016-12-19,490.45
2016-12-20,490.4
2016-12-21,490.4
2016-12-22,489.7
2016-12-23,489.6
