Date,JBMA
2013-01-01,66.5
2013-01-02,66.0
2013-01-03,65.15
2013-01-04,65.0
2013-01-07,66.0
2013-01-08,68.0
2013-01-09,67.5
2013-01-10,67.25
2013-01-11,67.15
2013-01-14,66.4
2013-01-15,67.6
2013-01-16,67.5
2013-01-17,67.2
2013-01-18,66.6
2013-01-21,66.45
2013-01-22,66.65
2013-01-23,67.45
2013-01-24,67.25
2013-01-25,67.3
2013-01-28,67.0
2013-01-29,66.95
2013-01-30,66.0
2013-01-31,67.0
2013-02-01,65.05
2013-02-04,66.0
2013-02-06,65.0
2013-02-07,65.0
2013-02-08,65.0
2013-02-11,64.95
2013-02-12,63.15
2013-02-13,64.0
2013-02-14,66.0
2013-02-15,65.55
2013-02-18,65.25
2013-02-19,66.8
2013-02-20,64.55
2013-02-21,66.05
2013-02-22,65.55
2013-02-25,65.45
2013-02-26,64.8
2013-02-27,66.75
2013-02-28,64.0
2013-03-01,61.6
2013-03-04,62.1
2013-03-05,62.5
2013-03-06,62.1
2013-03-07,62.5
2013-03-08,63.0
2013-03-11,64.95
2013-03-12,63.4
2013-03-13,63.2
2013-03-14,61.95
2013-03-15,63.0
2013-03-18,64.5
2013-03-19,64.0
2013-03-20,60.8
2013-03-21,63.65
2013-03-22,61.25
2013-03-25,59.05
2013-03-26,61.2
2013-04-01,62.45
2013-04-02,61.1
2013-04-03,59.25
2013-04-04,60.95
2013-04-05,57.25
2013-04-11,57.0
2013-04-16,56.8
2013-04-22,57.0
2013-04-23,57.0
2013-05-07,56.05
2013-05-08,57.2
2013-05-10,57.35
2013-05-11,57.4
2013-05-13,58.0
2013-05-16,58.0
2013-05-17,58.0
2013-05-27,61.0
2013-05-28,62.15
2013-05-29,62.0
2013-05-30,62.1
2013-05-31,61.0
2013-06-03,61.5
2013-06-04,61.2
2013-06-05,52.0
2013-06-10,55.0
2013-06-12,55.0
2013-06-13,55.1
2013-06-18,56.0
2013-06-20,53.2
2013-06-28,43.1
2013-07-03,51.7
2013-07-04,51.0
2013-07-16,53.55
2013-07-17,56.0
2013-08-01,53.2
2013-08-02,52.0
2013-08-05,54.6
2013-08-06,52.6
2013-08-08,53.9
2013-08-19,54.0
2013-08-26,56.0
2013-08-27,53.2
2013-08-29,53.0
2013-09-02,50.35
2013-09-04,48.15
2013-09-18,50.5
2013-09-19,50.05
2013-09-23,50.1
2013-09-24,48.3
2013-09-27,50.7
2013-09-30,52.95
2013-10-01,52.25
2013-10-09,52.25
2013-10-10,52.0
2013-10-11,53.05
2013-10-14,55.7
2013-10-15,58.45
2013-10-21,61.2
2013-10-22,63.9
2013-10-24,62.0
2013-10-25,63.9
2013-10-29,62.0
2013-10-30,61.0
2013-10-31,63.35
2013-11-05,64.7
2013-11-07,61.5
2013-11-12,58.45
2013-11-14,58.15
2013-11-18,61.0
2013-11-19,58.5
2013-11-21,59.5
2013-11-22,59.35
2013-11-25,62.3
2013-11-26,59.25
2013-11-27,59.8
2013-11-28,62.7
2013-11-29,63.0
2013-12-02,63.0
2013-12-03,64.95
2013-12-04,64.7
2013-12-05,63.05
2013-12-06,63.0
2013-12-09,61.15
2013-12-10,62.05
2013-12-11,62.0
2013-12-12,61.1
2013-12-13,62.0
2013-12-18,62.0
2013-12-19,63.0
2013-12-23,64.15
2013-12-24,63.5
2013-12-26,64.6
2013-12-27,65.0
2014-01-02,67.0
2014-01-06,68.0
2014-01-07,71.3
2014-01-08,68.0
2014-01-09,65.0
2014-01-10,65.35
2014-01-13,66.2
2014-01-14,63.5
2014-01-15,65.05
2014-01-16,65.6
2014-01-17,64.7
2014-01-20,64.25
2014-01-22,64.15
2014-01-23,64.15
2014-01-24,63.0
2014-01-27,60.5
2014-01-28,60.15
2014-01-29,61.5
2014-01-31,61.95
2014-02-04,61.55
2014-02-05,61.0
2014-02-07,62.0
2014-02-11,60.5
2014-02-12,62.6
2014-02-13,64.35
2014-02-14,62.1
2014-02-17,65.2
2014-02-18,68.45
2014-02-19,71.85
2014-02-20,75.25
2014-02-21,79.0
2014-02-24,82.95
2014-02-25,87.05
2014-02-26,91.4
2014-02-28,95.95
2014-03-03,100.7
2014-03-04,105.7
2014-03-05,110.95
2014-03-06,107.45
2014-03-07,102.1
2014-03-10,106.45
2014-03-11,102.0
2014-03-12,102.45
2014-03-13,101.75
2014-03-14,103.8
2014-03-18,104.45
2014-03-19,109.65
2014-03-20,110.35
2014-03-21,111.05
2014-03-22,110.45
2014-03-24,115.95
2014-03-25,121.7
2014-03-26,127.75
2014-03-27,128.3
2014-03-28,134.7
2014-03-31,141.4
2014-04-01,148.45
2014-04-02,155.85
2014-04-03,148.1
2014-04-04,140.7
2014-04-07,147.7
2014-04-09,155.05
2014-04-10,162.8
2014-04-11,170.55
2014-04-15,162.05
2014-04-16,155.35
2014-04-17,162.1
2014-04-21,164.6
2014-04-22,156.4
2014-04-23,152.4
2014-04-25,154.3
2014-04-28,153.35
2014-04-29,160.55
2014-04-30,158.3
2014-05-02,154.0
2014-05-05,152.65
2014-05-06,146.8
2014-05-07,146.8
2014-05-08,154.4
2014-05-09,151.0
2014-05-12,147.5
2014-05-13,149.4
2014-05-14,149.7
2014-05-15,149.65
2014-05-16,147.95
2014-05-19,159.95
2014-05-20,161.0
2014-05-21,172.2
2014-05-22,183.7
2014-05-23,185.8
2014-05-26,185.95
2014-05-27,181.0
2014-05-28,188.1
2014-05-29,191.9
2014-05-30,192.2
2014-06-02,201.8
2014-06-03,211.85
2014-06-04,222.4
2014-06-05,233.5
2014-06-06,245.15
2014-06-09,257.4
2014-06-10,267.1
2014-06-11,255.95
2014-06-12,263.75
2014-06-13,258.85
2014-06-16,255.2
2014-06-17,267.95
2014-06-18,281.3
2014-06-19,295.35
2014-06-20,310.1
2014-06-23,309.55
2014-06-24,318.75
2014-06-25,334.5
2014-06-26,332.3
2014-06-27,326.5
2014-08-06,438.85
2014-08-07,430.1
2014-08-08,408.6
2014-08-11,394.95
2014-08-12,398.55
2014-08-13,411.55
2014-08-14,432.1
2014-08-18,453.7
2014-08-19,476.35
2014-08-20,500.15
