Date,ROHLTD
2013-01-01,43.25
2013-01-02,45.85
2013-01-03,45.3
2013-01-04,44.65
2013-01-07,46.25
2013-01-08,45.25
2013-01-09,44.95
2013-01-10,44.35
2013-01-11,44.25
2013-01-14,44.95
2013-01-15,46.35
2013-01-16,44.75
2013-01-17,46.05
2013-01-18,45.15
2013-01-21,45.0
2013-01-22,44.05
2013-01-23,41.0
2013-01-24,40.2
2013-01-25,40.9
2013-01-28,39.95
2013-01-29,39.45
2013-01-30,39.6
2013-01-31,39.55
2013-02-01,39.25
2013-02-04,39.5
2013-02-05,38.3
2013-02-06,39.0
2013-02-07,36.75
2013-02-08,36.1
2013-02-11,36.2
2013-02-12,36.05
2013-02-13,35.2
2013-02-14,34.6
2013-02-15,34.25
2013-02-18,34.2
2013-02-19,35.25
2013-02-20,35.15
2013-02-21,34.95
2013-02-22,34.85
2013-02-25,34.0
2013-02-26,33.05
2013-02-27,33.45
2013-02-28,33.35
2013-03-01,34.1
2013-03-04,31.45
2013-03-05,31.5
2013-03-06,31.35
2013-03-07,31.7
2013-03-08,34.05
2013-03-11,35.0
2013-03-12,34.9
2013-03-13,34.25
2013-03-14,34.3
2013-03-15,33.55
2013-03-18,33.1
2013-03-19,32.5
2013-03-20,30.9
2013-03-21,30.0
2013-03-22,30.05
2013-03-25,29.8
2013-03-26,29.8
2013-03-28,29.4
2013-04-01,30.45
2013-04-02,31.55
2013-04-03,31.45
2013-04-04,29.4
2013-04-05,29.15
2013-04-08,29.95
2013-04-09,29.4
2013-04-10,29.8
2013-04-11,29.5
2013-04-12,29.2
2013-04-15,29.15
2013-04-16,29.6
2013-04-17,29.6
2013-04-18,29.9
2013-04-22,29.3
2013-04-23,29.5
2013-04-25,29.5
2013-04-26,28.75
2013-04-29,29.45
2013-04-30,29.15
2013-05-02,29.05
2013-05-03,28.3
2013-05-06,28.5
2013-05-07,27.95
2013-05-08,28.8
2013-05-09,29.25
2013-05-10,28.4
2013-05-11,29.3
2013-05-13,28.95
2013-05-14,29.0
2013-05-15,29.0
2013-05-16,28.15
2013-05-17,27.7
2013-05-20,28.05
2013-05-21,28.05
2013-05-22,27.5
2013-05-23,26.3
2013-05-24,27.15
2013-05-27,26.3
2013-05-28,26.45
2013-05-29,26.25
2013-05-30,26.65
2013-05-31,26.15
2013-06-03,26.2
2013-06-04,25.65
2013-06-05,26.4
2013-06-06,25.8
2013-06-07,25.95
2013-06-10,25.55
2013-06-11,24.05
2013-06-12,22.4
2013-06-13,22.8
2013-06-14,22.7
2013-06-17,21.6
2013-06-18,22.45
2013-06-19,22.75
2013-06-20,21.75
2013-06-21,21.05
2013-06-24,20.8
2013-06-25,19.9
2013-06-26,19.5
2013-06-27,20.15
2013-06-28,20.2
2013-07-01,21.0
2013-07-02,21.4
2013-07-03,21.5
2013-07-04,21.25
2013-07-05,20.5
2013-07-08,20.4
2013-07-09,21.1
2013-07-10,21.1
2013-07-11,21.65
2013-07-12,21.8
2013-07-15,21.55
2013-07-16,21.75
2013-07-17,21.6
2013-07-18,21.55
2013-07-19,20.7
2013-07-22,22.55
2013-07-23,25.8
2013-07-24,24.15
2013-07-25,23.9
2013-07-26,24.1
2013-07-29,23.55
2013-07-30,23.85
2013-07-31,21.7
2013-08-01,21.2
2013-08-02,20.05
2013-08-05,20.05
2013-08-06,18.15
2013-08-07,17.95
2013-08-08,18.05
2013-08-12,19.25
2013-08-13,19.8
2013-08-14,19.25
2013-08-16,19.05
2013-08-19,18.7
2013-08-20,18.6
2013-08-21,18.15
2013-08-22,18.0
2013-08-23,19.2
2013-08-26,21.85
2013-08-27,21.45
2013-08-28,23.05
2013-08-29,26.15
2013-08-30,27.4
2013-09-02,26.8
2013-09-03,24.6
2013-09-04,22.4
2013-09-05,22.25
2013-09-06,22.45
2013-09-10,22.5
2013-09-11,22.4
