Date,PBAINFRA
2013-01-01,24.55
2013-01-02,24.9
2013-01-03,25.0
2013-01-04,24.55
2013-01-07,24.95
2013-01-08,24.85
2013-01-09,24.8
2013-01-10,24.9
2013-01-11,24.2
2013-01-14,24.25
2013-01-15,24.5
2013-01-16,24.4
2013-01-17,24.0
2013-01-18,23.7
2013-01-21,23.65
2013-01-22,23.65
2013-01-23,22.85
2013-01-24,21.95
2013-01-25,21.45
2013-01-28,22.8
2013-01-29,21.9
2013-01-30,22.5
2013-01-31,21.45
2013-02-01,21.45
2013-02-04,21.35
2013-02-05,20.25
2013-02-06,20.45
2013-02-07,21.15
2013-02-08,20.55
2013-02-11,20.45
2013-02-12,20.0
2013-02-13,19.9
2013-02-14,19.4
2013-02-15,19.2
2013-02-18,20.0
2013-02-19,19.6
2013-02-20,19.8
2013-02-21,19.85
2013-02-22,19.6
2013-02-25,19.2
2013-02-26,19.3
2013-02-27,19.4
2013-02-28,19.15
2013-03-01,19.5
2013-03-04,19.75
2013-03-05,21.7
2013-03-06,21.9
2013-03-07,21.3
2013-03-08,22.45
2013-03-11,22.25
2013-03-12,21.5
2013-03-13,20.05
2013-03-14,19.55
2013-03-15,20.0
2013-03-18,19.5
2013-03-19,19.4
2013-03-20,17.35
2013-03-21,16.75
2013-03-22,16.55
2013-03-25,16.85
2013-03-26,17.5
2013-03-28,18.4
2013-04-01,18.0
2013-04-02,18.35
2013-04-03,19.15
2013-04-04,16.85
2013-04-05,17.0
2013-04-08,17.05
2013-04-09,16.1
2013-04-10,16.7
2013-04-11,16.55
2013-04-12,16.6
2013-04-15,17.15
2013-04-16,17.3
2013-04-17,17.0
2013-04-18,16.9
2013-04-22,16.75
2013-04-23,16.9
2013-04-25,17.5
2013-04-26,17.0
2013-04-29,16.7
2013-04-30,16.75
2013-05-02,16.35
2013-05-03,16.75
2013-05-06,16.3
2013-05-07,16.15
2013-05-08,16.1
2013-05-09,16.2
2013-05-10,16.35
2013-05-11,16.0
2013-05-13,16.7
2013-05-14,16.3
2013-05-15,16.55
2013-05-16,16.25
2013-05-17,16.6
2013-05-20,16.0
2013-05-21,15.9
2013-05-22,16.15
2013-05-23,15.7
2013-05-24,15.55
2013-05-27,15.35
2013-05-28,15.3
2013-05-29,14.8
2013-05-30,14.4
2013-05-31,13.95
2013-06-03,13.95
2013-06-04,13.4
2013-06-05,14.35
2013-06-06,13.55
2013-06-07,13.7
2013-06-10,13.65
2013-06-11,13.75
2013-06-12,13.75
2013-06-13,13.4
2013-06-14,13.5
2013-06-17,12.9
2013-06-18,13.8
2013-06-19,13.15
2013-06-20,13.65
2013-06-21,13.5
2013-06-24,13.05
2013-06-25,13.0
2013-06-26,13.25
2013-06-27,13.75
2013-06-28,13.0
2013-07-01,13.55
2013-07-02,13.7
2013-07-03,12.9
2013-07-04,13.25
2013-07-05,13.1
2013-07-09,12.5
2013-07-11,12.0
2013-07-12,12.05
2013-07-15,12.25
2013-07-16,11.5
2013-07-18,11.5
2013-07-19,12.5
2013-07-22,12.5
2013-07-24,12.5
2013-07-25,12.8
2013-07-26,12.0
2013-07-29,11.75
2013-08-01,11.3
2013-08-06,10.4
2013-08-07,12.0
2013-08-08,12.0
2013-08-12,12.0
2013-08-13,9.6
2013-08-14,11.0
2013-08-16,11.2
2013-08-19,13.0
2013-08-20,14.0
2013-08-21,11.2
2013-08-22,10.5
2013-12-02,9.75
2013-12-03,9.95
2013-12-04,10.4
2013-12-05,10.0
2013-12-06,10.2
2013-12-09,10.1
2013-12-10,9.65
2013-12-11,9.25
2013-12-12,9.15
2013-12-13,9.6
2013-12-16,9.55
2013-12-17,9.25
2013-12-18,9.7
2013-12-19,9.3
2013-12-23,9.5
2013-12-24,9.15
2013-12-26,9.2
2013-12-27,9.65
2013-12-30,10.1
2013-12-31,10.6
2014-01-01,11.0
2014-01-02,11.4
2014-01-06,11.9
2014-01-07,11.8
2014-01-08,11.5
2014-01-09,11.8
2014-01-10,11.85
2014-01-13,12.3
2014-01-14,11.7
2014-01-15,11.7
2014-01-16,11.2
2014-03-03,8.7
2014-03-04,9.1
2014-03-05,9.55
