Date,AUSOMENT
2013-01-01,15.9
2013-01-02,15.9
2013-01-03,15.75
2013-01-07,15.1
2013-01-10,15.05
2013-01-14,14.5
2013-01-16,13.95
2013-01-18,13.95
2013-01-21,13.35
2013-01-23,13.0
2013-01-24,13.0
2013-01-25,13.2
2013-01-28,12.9
2013-01-29,13.0
2013-01-30,13.0
2013-02-05,13.65
2013-02-06,14.3
2013-02-13,15.0
2013-02-14,15.05
2013-02-15,15.05
2013-02-18,14.65
2013-02-19,15.0
2013-02-27,14.25
2013-02-28,13.55
2013-03-01,12.9
2013-03-04,12.3
2013-03-05,11.7
2013-03-06,12.25
2013-03-07,12.05
2013-03-08,12.65
2013-03-11,13.25
2013-03-12,13.9
2013-03-18,13.25
2013-12-02,10.95
2013-12-05,10.45
2014-01-07,10.25
2014-01-24,9.75
2014-04-02,9.75
2014-05-07,9.5
2014-05-13,9.45
2014-05-15,9.4
2014-05-19,8.95
2014-05-20,8.95
2014-05-21,8.95
2014-05-22,9.35
2014-05-23,9.2
2014-05-26,9.65
2014-05-27,9.85
2014-05-29,9.4
2014-05-30,9.4
2014-06-06,9.6
2014-06-09,10.0
2014-06-10,10.0
2014-06-12,10.5
2014-06-13,11.0
2014-06-17,11.0
2014-06-18,11.55
2014-06-19,11.5
2014-06-20,11.5
2014-06-23,12.0
2014-06-24,11.4
2014-06-25,11.0
2014-06-26,10.5
2014-08-06,10.7
2014-08-13,11.2
2014-08-14,11.75
2014-08-18,12.3
2014-08-19,12.9
2014-08-20,13.5
2014-08-21,14.15
2014-08-25,14.85
2014-08-26,15.55
2014-08-27,16.3
2014-08-28,17.1
2014-09-01,17.5
2014-09-02,17.45
2014-09-03,18.3
2014-09-04,18.0
2014-09-05,18.4
2014-11-17,16.8
2014-12-08,17.6
2015-02-10,30.8
2015-02-11,29.3
2015-02-12,28.95
2015-02-13,29.25
2015-02-16,30.65
2015-02-18,29.15
2015-02-19,28.35
2015-02-20,27.9
2015-02-23,26.55
2015-02-24,25.25
2015-02-25,25.5
2015-02-26,25.0
2015-02-27,23.75
2015-02-28,23.65
2015-03-02,22.5
2015-03-03,21.4
2015-03-04,22.45
2015-03-05,23.55
2015-03-10,24.7
2015-03-11,25.9
2015-03-12,27.15
2015-03-13,28.5
2015-03-16,29.9
2015-03-17,31.35
2015-03-18,32.9
2015-03-19,31.3
2015-03-20,29.75
2015-03-23,28.3
2015-03-24,26.9
2015-03-25,25.6
2015-03-26,24.35
2015-03-27,24.0
2015-03-30,23.95
2015-03-31,22.8
2015-04-01,21.7
2015-04-06,22.75
2015-04-07,23.85
2015-04-08,24.85
2015-04-09,24.0
2015-04-10,24.95
2015-04-13,25.85
2015-04-15,25.9
2015-04-17,24.65
2015-04-20,23.45
2015-04-21,22.3
2015-04-22,23.3
2015-04-23,22.2
2015-04-24,23.3
2015-04-27,24.45
2015-04-28,23.65
2015-04-30,23.25
2015-05-04,24.9
2015-05-06,26.85
2015-05-07,27.35
2015-05-14,27.35
2015-05-18,24.7
2015-05-19,27.15
2015-05-20,29.85
2015-05-21,32.8
2015-05-22,31.2
2015-05-25,30.0
2015-05-26,30.4
2015-05-27,29.0
2015-05-28,29.0
2015-06-01,29.8
2015-06-02,29.6
2015-06-03,28.35
2015-06-04,28.35
2015-06-05,26.55
2015-06-08,26.15
2015-06-09,26.0
2015-06-10,26.0
2015-06-12,26.45
2015-06-15,26.0
2015-06-17,25.45
2015-06-19,27.8
2015-06-22,26.0
2015-06-23,26.0
2015-06-24,27.0
2015-06-30,26.0
2015-07-01,28.6
2015-07-02,31.25
2015-07-03,31.95
2015-07-06,35.1
2015-07-07,35.0
2015-07-08,31.2
2015-07-09,32.0
2015-07-10,32.7
2015-07-13,31.55
2015-07-14,31.65
2015-07-15,30.05
2015-07-17,31.65
2015-07-20,33.0
2015-07-21,32.05
2015-07-22,32.35
2015-07-23,32.0
2015-07-24,31.5
2015-07-27,31.5
2015-07-29,33.95
2015-07-30,33.65
2015-07-31,32.3
2015-08-03,32.05
2015-08-04,32.0
2015-08-05,31.05
2015-08-06,34.8
2015-08-07,34.9
2015-08-10,34.9
2015-08-11,31.5
2015-08-12,27.0
2015-08-13,26.0
2015-08-14,27.5
2015-08-17,25.65
2015-08-18,26.5
2015-08-19,26.4
2015-08-20,27.4
2015-08-21,28.5
2015-08-24,27.0
2015-08-26,24.45
2015-08-28,24.9
2015-09-01,24.1
2015-09-02,23.0
2015-09-03,23.0
2015-09-04,22.0
2015-09-07,21.7
2015-09-08,21.0
2015-09-09,21.4
2015-09-11,21.0
2015-09-15,20.0
2015-09-18,21.5
2015-09-21,21.5
2015-09-22,22.05
2015-09-24,21.0
2015-09-28,20.4
2015-09-29,21.5
2015-09-30,20.55
2015-10-01,21.5
2015-10-05,22.05
2015-10-06,23.95
2015-10-07,24.0
2015-10-08,25.7
2015-10-09,26.0
2015-10-12,26.0
2015-10-13,29.0
2015-10-14,27.55
2015-10-15,26.25
2015-10-16,26.5
2015-10-19,28.8
2015-10-20,27.3
2015-10-21,27.3
2015-10-23,26.55
2015-10-26,26.65
2015-10-27,30.0
2015-10-28,32.8
2015-10-29,33.75
2015-10-30,27.2
2015-11-02,25.2
2015-11-03,26.7
2015-11-04,24.6
2015-11-05,25.4
2015-11-06,23.95
2015-11-09,24.8
