Date,TRIL
2013-01-01,120.2
2013-01-02,121.95
2013-01-03,122.7
2013-01-04,122.75
2013-01-07,124.15
2013-01-08,125.25
2013-01-09,124.75
2013-01-10,124.1
2013-01-11,121.55
2013-01-14,123.05
2013-01-15,122.4
2013-01-16,120.65
2013-01-17,120.85
2013-01-18,120.8
2013-01-21,120.25
2013-01-22,119.8
2013-01-23,116.95
2013-01-24,114.45
2013-01-25,117.55
2013-01-28,121.8
2013-01-29,118.7
2013-01-30,117.2
2013-01-31,116.65
2013-02-01,116.4
2013-02-04,118.85
2013-02-05,117.15
2013-02-06,115.7
2013-02-07,115.1
2013-02-08,113.85
2013-02-11,114.1
2013-02-12,113.35
2013-02-13,112.65
2013-02-14,106.0
2013-02-15,103.05
2013-02-18,101.25
2013-02-19,103.1
2013-02-20,104.15
2013-02-21,102.45
2013-02-22,103.25
2013-02-25,100.05
2013-02-26,99.55
2013-02-27,99.2
2013-02-28,95.75
2013-03-01,95.85
2013-03-04,92.85
2013-03-05,94.35
2013-03-06,96.35
2013-03-07,95.7
2013-03-08,94.45
2013-03-11,96.15
2013-03-12,95.05
2013-03-13,93.35
2013-03-14,93.15
2013-03-15,92.85
2013-03-18,91.4
2013-03-19,88.85
2013-03-20,81.4
2013-03-21,82.8
2013-03-22,78.65
2013-03-25,77.2
2013-03-26,75.2
2013-03-28,76.6
2013-04-01,86.05
2013-04-02,99.5
2013-04-03,97.9
2013-04-04,93.9
2013-04-05,91.2
2013-04-08,91.25
2013-04-09,88.45
2013-04-10,87.9
2013-04-11,87.4
2013-04-12,85.3
2013-04-15,85.55
2013-04-16,88.1
2013-04-17,86.95
2013-04-18,87.15
2013-04-22,95.35
2013-04-23,109.55
2013-04-25,108.45
2013-04-26,101.95
2013-04-29,118.6
2013-04-30,127.7
2013-05-02,128.05
2013-05-03,116.75
2013-05-06,106.65
2013-05-07,106.0
2013-05-08,108.7
2013-05-09,109.45
2013-06-14,84.05
2013-06-17,84.2
2013-06-18,83.9
2013-06-19,84.0
2013-06-20,80.9
2013-06-21,78.25
2013-06-24,74.5
2013-06-25,73.4
2013-06-26,72.0
2013-06-27,71.25
2013-06-28,73.45
2013-07-01,75.9
2013-07-02,75.35
2013-07-03,71.9
2013-07-04,70.3
2013-07-05,69.75
2013-07-08,68.85
2013-07-09,68.9
2013-07-10,68.4
2013-07-11,68.55
2013-07-12,67.85
2013-07-15,68.65
2013-07-16,68.4
2013-07-17,67.45
2013-07-18,68.95
2013-07-19,68.5
2013-07-22,72.7
2013-07-23,78.65
2013-07-24,84.25
2013-07-25,79.15
2013-07-26,75.85
2013-07-29,71.0
2013-07-30,69.7
2013-07-31,64.65
2013-08-01,65.85
2013-08-02,63.85
2013-08-05,62.45
2013-08-06,60.5
2013-08-07,61.3
2013-08-08,62.35
2013-08-12,65.1
2013-08-13,68.35
2013-08-14,66.05
2013-08-16,62.8
2013-08-19,60.75
2013-08-20,61.15
2013-08-21,60.45
2013-08-22,60.65
2013-08-23,61.05
2013-08-26,63.8
2013-08-27,62.2
2013-08-28,60.9
2013-08-29,62.2
2013-08-30,62.1
2013-09-02,62.15
2013-09-03,62.1
2013-09-04,62.25
2013-09-05,63.65
2013-09-06,65.0
2013-09-10,66.95
2013-09-11,66.75
2013-09-12,64.1
2013-09-13,62.55
2013-09-16,62.2
2013-09-17,61.45
2013-09-18,61.45
2013-09-19,61.55
2013-09-20,61.05
2013-09-23,59.05
2013-09-24,59.2
2013-09-25,58.7
2013-09-26,59.05
2013-09-27,57.55
2013-09-30,55.9
2013-10-01,55.25
2013-10-03,55.45
2013-10-04,56.65
2013-10-07,56.75
2013-10-08,56.1
2013-10-09,55.35
2013-10-10,54.85
2013-10-11,56.7
2013-10-14,60.1
2013-10-15,59.2
2013-10-17,59.25
2013-10-18,59.75
2013-10-21,61.05
2013-10-22,62.65
2013-10-23,64.65
2013-10-24,62.95
2013-10-25,62.8
2013-10-28,63.45
2013-10-29,62.95
2013-10-30,69.2
2013-10-31,71.05
2013-11-01,70.85
2013-11-03,72.2
2013-11-05,77.35
2013-11-06,79.65
2013-11-07,83.85
2013-11-08,86.0
2013-11-11,92.3
2013-11-12,88.65
2013-11-13,83.7
2013-11-14,81.35
2013-11-18,85.05
2013-11-19,95.2
2013-11-20,97.55
2013-11-21,92.5
2013-11-22,89.0
2013-11-25,90.0
2013-11-26,91.75
2013-11-27,90.2
2013-11-28,89.25
2014-03-03,76.05
2014-03-04,76.9
2014-03-05,78.35
2014-03-06,80.25
2014-03-07,81.55
2014-03-10,82.45
2014-03-11,80.85
2014-03-12,80.15
2014-03-13,81.55
2014-03-14,85.65
2014-03-18,90.55
2014-03-19,90.35
2014-03-20,91.9
2014-03-21,92.4
2014-03-22,93.0
2014-03-24,92.35
2014-03-25,90.35
2014-03-26,89.05
2014-03-27,89.5
2014-03-28,90.35
2014-03-31,91.05
2014-04-01,93.4
2014-04-02,95.2
2014-04-03,97.7
2014-04-04,96.75
2014-04-07,97.0
2014-04-09,101.45
2014-04-10,102.05
2014-04-11,103.5
2014-04-15,103.6
2014-04-16,103.1
2014-04-17,105.7
2014-04-21,108.95
2014-04-22,115.4
2014-04-23,116.7
2014-04-25,115.8
2014-04-28,113.9
2014-04-29,113.9
2014-04-30,107.25
2014-05-02,117.95
2014-05-05,122.25
2014-05-06,134.45
2014-05-07,147.85
2014-05-08,145.8
2014-05-09,143.5
2014-05-12,136.35
2014-05-13,143.15
2014-05-14,150.3
2014-05-15,151.1
2014-05-16,152.1
2014-05-19,159.7
2014-05-20,167.65
2014-05-21,176.0
2014-05-22,184.8
2014-06-30,202.85
2014-07-01,212.95
2014-07-02,223.55
2014-07-03,212.9
2014-07-04,218.15
2014-07-07,219.2
2014-07-08,218.1
2014-07-09,207.35
2014-07-10,207.35
2014-07-11,202.05
2014-07-14,191.95
2014-07-15,191.6
2014-07-16,194.15
2014-07-17,196.65
2014-07-18,204.25
2014-07-21,194.35
2014-07-22,192.95
2014-07-23,192.7
2014-07-24,202.3
2014-07-25,197.0
2014-07-28,193.0
2014-07-30,193.2
2014-07-31,194.45
2014-08-01,200.0
2014-08-04,194.1
2014-08-05,198.4
2014-08-06,198.1
2014-08-07,195.75
2014-08-08,188.55
2014-08-11,185.9
2014-08-12,186.75
2014-08-13,187.5
2014-08-14,183.15
2014-08-18,186.05
2014-08-19,189.05
2014-08-20,186.35
2014-08-21,187.05
2014-08-22,202.6
2014-08-25,199.5
2014-08-26,203.15
2014-08-27,196.05
2014-08-28,195.25
2014-09-01,195.3
2014-09-02,200.7
2014-09-03,195.95
2014-09-04,200.15
2014-09-05,199.65
2014-09-08,207.55
2014-09-09,208.45
2014-09-10,213.35
2014-09-11,210.65
2014-09-12,211.1
2014-09-15,205.5
2014-09-16,194.2
2014-09-17,194.6
2014-09-18,196.95
2014-09-19,191.15
2014-09-22,198.0
2014-09-23,195.1
2014-09-24,191.25
2014-09-25,185.6
2014-09-26,178.2
2014-09-29,182.3
2014-09-30,182.3
2014-10-01,174.95
2014-10-07,175.75
2014-10-08,170.05
2014-10-09,172.75
2014-10-10,163.7
2014-10-13,165.5
2014-10-14,166.8
2014-10-16,164.3
2014-10-17,159.75
2014-10-20,150.2
2014-10-21,148.75
2014-10-22,148.15
2014-10-23,150.75
2014-10-27,153.55
2014-10-28,153.5
2014-10-29,158.4
2014-10-30,162.85
2014-10-31,163.2
2014-11-03,164.15
2014-11-05,162.25
2014-11-07,159.65
2014-11-10,157.0
2014-11-11,160.1
2014-11-12,163.25
2014-11-13,159.2
2014-11-14,168.55
2014-11-17,177.0
2014-11-18,185.5
2014-11-19,191.1
2014-11-20,186.3
2014-11-21,179.5
2014-11-24,179.95
2014-11-25,188.5
2014-11-26,191.05
2014-11-27,209.6
2014-11-28,213.5
2014-12-01,199.6
2014-12-02,194.15
2014-12-03,201.05
2014-12-04,218.1
2014-12-05,205.8
2014-12-08,200.2
2014-12-09,191.3
2014-12-10,188.95
2014-12-11,184.3
2014-12-12,181.3
2014-12-15,178.65
2014-12-16,169.6
2014-12-17,171.55
2014-12-18,191.6
2014-12-19,194.65
2014-12-22,192.8
2014-12-23,187.75
2014-12-24,184.55
2014-12-26,191.5
2014-12-29,189.0
2014-12-30,221.4
2014-12-31,206.05
2015-01-01,205.65
2015-01-02,206.45
2015-01-05,202.45
2015-01-06,192.9
2015-01-07,188.05
2015-01-08,201.85
2015-01-09,201.85
2015-01-12,206.85
2015-01-13,206.0
2015-01-14,206.5
2015-01-15,208.35
2015-01-16,207.95
2015-01-19,207.9
2015-01-20,206.75
2015-01-21,204.7
2015-01-22,205.4
2015-01-23,203.4
