Date,DECCANCE
2013-01-01,260.7
2013-01-02,255.05
2013-01-03,253.85
2013-01-04,256.55
2013-01-07,253.8
2013-01-08,247.15
2013-01-09,247.6
2013-01-10,240.05
2013-01-11,240.0
2013-01-14,242.25
2013-01-15,240.8
2013-01-16,243.1
2013-01-17,241.25
2013-01-18,240.0
2013-01-21,243.4
2013-01-22,242.95
2013-01-23,246.4
2013-01-24,240.3
2013-01-25,242.0
2013-01-28,244.4
2013-01-29,246.95
2013-01-30,242.2
2013-01-31,243.9
2013-02-01,245.8
2013-02-04,240.4
2013-02-05,240.2
2013-02-06,243.55
2013-02-07,239.3
2013-02-08,242.0
2013-02-11,240.2
2013-02-12,239.85
2013-02-13,236.5
2013-02-14,236.8
2013-02-15,236.2
2013-02-18,237.1
2013-02-19,244.65
2013-02-20,248.6
2013-02-21,212.9
2013-02-22,241.25
2013-02-25,228.4
2013-02-26,227.2
2013-02-27,228.65
2013-02-28,236.5
2013-03-01,237.0
2013-03-04,222.5
2013-03-05,223.95
2013-03-06,221.1
2013-03-07,226.95
2013-03-08,220.0
2013-03-11,221.5
2013-03-12,220.05
2013-03-13,229.25
2013-03-14,225.05
2013-03-15,228.85
2013-03-18,215.25
2013-03-19,230.0
2013-03-20,220.0
2013-03-21,231.5
2013-03-22,215.0
2013-03-25,217.0
2013-03-26,212.05
2013-03-28,209.7
2013-04-01,197.4
2013-04-02,195.0
2013-04-03,195.1
2013-04-04,211.45
2013-04-05,205.05
2013-04-10,209.7
2013-04-11,199.2
2013-04-12,198.95
2013-04-16,195.05
2013-04-17,192.05
2013-04-18,195.0
2013-04-22,199.0
2013-04-23,190.65
2013-04-25,193.1
2013-04-29,193.0
2013-04-30,190.0
2013-05-02,198.7
2013-05-03,190.8
2013-05-06,201.2
2013-05-07,196.95
2013-05-08,204.3
2013-05-09,201.1
2013-05-10,214.3
2013-05-13,223.4
2013-05-14,204.7
2013-05-15,203.15
2013-05-16,200.0
2013-05-17,200.0
2013-05-20,204.85
2013-05-21,202.05
2013-05-22,200.0
2013-05-23,190.1
2013-05-24,190.0
2013-05-28,188.1
2013-05-29,185.0
2013-05-30,185.45
2013-05-31,185.0
2013-06-03,185.0
2013-06-04,190.0
2013-06-05,185.0
2013-06-06,187.75
2013-06-07,185.0
2013-06-10,185.0
2013-06-11,185.0
2013-06-12,185.05
2013-06-14,185.05
2013-06-17,186.0
2013-06-18,188.95
2013-06-19,191.1
2013-06-20,195.0
2013-06-21,186.95
2013-06-24,187.95
2013-06-25,185.05
2013-06-26,185.0
2013-06-27,185.05
2013-06-28,185.0
2013-07-01,200.45
2013-07-02,195.15
2013-07-03,191.1
2013-07-04,191.1
2013-07-05,194.0
2013-07-10,185.05
2013-07-11,185.0
2013-07-12,185.15
2013-07-15,185.0
2013-07-16,185.0
2013-07-17,185.0
2013-07-23,185.0
2013-07-24,185.0
2013-07-25,185.0
2013-07-26,185.0
2013-07-29,185.0
2013-07-30,190.0
2013-07-31,180.0
2013-08-01,168.0
2013-08-02,180.0
2013-08-05,170.05
2013-08-12,170.0
2013-08-13,170.0
2013-08-14,179.9
2013-08-16,194.0
2013-08-21,170.0
