Date,HATSUN
2014-06-20,257.35
2014-06-23,260.0
2014-06-24,248.05
2014-06-25,255.25
2014-06-26,266.9
2014-06-27,265.5
2014-06-30,270.05
2014-07-01,279.95
2014-07-02,277.4
2014-07-03,271.95
2014-07-04,280.45
2014-07-07,280.05
2014-07-08,272.55
2014-07-09,270.1
2014-07-10,271.75
2014-07-11,271.5
2014-07-14,270.95
2014-07-15,280.0
2014-07-16,282.5
2014-07-17,282.25
2014-07-18,281.4
2014-07-21,276.5
2014-07-22,281.95
2014-07-23,272.05
2014-07-24,270.5
2014-07-25,278.75
2014-07-28,275.0
2014-07-30,271.55
2014-07-31,275.0
2014-08-01,279.65
2014-08-04,287.8
2014-08-05,290.0
2014-08-06,285.7
2014-08-07,282.2
2014-08-08,280.05
2014-08-11,281.9
2014-08-12,287.5
2014-08-13,288.85
2014-08-14,286.6
2014-08-18,282.65
2014-08-19,283.8
2014-08-20,276.65
2014-08-21,278.25
2014-08-22,273.1
2014-08-25,279.75
2014-08-26,280.0
2014-08-27,278.6
2014-08-28,276.65
2014-09-01,281.25
2014-09-02,280.15
2014-09-03,283.85
2014-09-04,283.9
2014-09-05,280.0
2014-09-08,279.9
2014-09-09,280.25
2014-09-10,284.75
2014-09-11,295.5
2014-09-12,288.6
2014-09-15,300.3
2014-09-16,295.1
2014-09-17,304.85
2014-09-18,343.5
2014-09-19,367.15
2014-09-22,365.95
2014-09-23,333.55
2014-09-24,329.15
2014-09-25,326.35
2014-09-26,328.95
2014-09-29,323.8
2014-09-30,322.05
2014-10-01,321.5
2014-10-07,310.1
2014-10-08,303.85
2014-10-09,309.25
2014-10-10,302.55
2014-10-13,296.55
2014-10-14,304.0
2014-10-16,300.8
2014-10-17,299.35
2014-10-20,301.9
2014-10-21,301.85
2014-10-22,300.35
2014-10-23,300.9
2014-10-27,305.55
2014-10-28,320.3
2014-10-29,315.75
2014-10-30,312.4
2014-10-31,310.55
2014-11-03,304.15
2014-11-05,301.6
2014-11-07,300.2
2014-11-10,301.75
2014-11-11,307.35
2014-11-12,308.4
2014-11-13,306.25
2014-11-14,308.75
2014-11-17,313.05
2014-11-18,308.25
2014-11-19,310.6
2014-11-20,308.9
2014-11-21,309.0
2014-11-24,310.85
2014-11-25,306.35
2014-11-26,308.75
2014-11-27,305.65
2014-11-28,307.05
2014-12-01,308.75
2014-12-02,310.35
2014-12-03,333.7
2014-12-04,335.15
2014-12-05,330.15
2014-12-08,315.15
2014-12-09,308.15
2014-12-10,310.75
2014-12-11,304.15
2014-12-12,305.0
2014-12-15,312.95
2014-12-16,305.3
2014-12-17,305.15
2014-12-18,307.4
2014-12-19,310.1
2014-12-22,316.45
2014-12-23,307.7
2014-12-24,307.8
2014-12-26,312.95
2014-12-29,313.25
2014-12-30,313.55
2014-12-31,311.8
2015-01-01,310.15
2015-01-02,320.05
2015-01-05,316.45
2015-01-06,308.4
2015-01-07,310.5
2015-01-08,311.35
2015-01-09,321.55
2015-01-12,313.35
2015-01-13,311.15
2015-01-14,314.2
2015-01-15,319.15
2015-01-16,316.7
2015-01-19,316.0
2015-01-20,320.0
2015-01-21,320.55
2015-01-22,329.2
2015-01-23,337.45
2015-01-27,334.2
2015-01-28,323.45
2015-01-29,320.95
2015-01-30,320.9
2015-02-02,327.4
2015-02-03,320.15
2015-02-04,323.05
2015-02-05,321.25
2015-02-06,320.35
2015-02-09,318.15
2015-02-10,320.05
2015-02-11,323.75
2015-02-12,320.15
2015-02-13,318.0
2015-02-16,315.15
2015-02-18,314.45
2015-02-19,315.0
2015-02-20,315.5
2015-02-23,315.05
2015-02-24,315.1
2015-02-25,316.1
2015-02-26,315.0
2015-02-27,315.0
2015-02-28,317.1
2015-03-02,316.15
2015-03-03,316.55
2015-03-04,316.0
2015-03-05,316.1
2015-03-09,316.2
2015-03-10,316.8
2015-03-11,314.05
2015-03-12,316.0
2015-03-13,316.05
2015-03-16,315.05
2015-03-17,316.15
2015-03-18,316.0
2015-03-19,316.0
2015-03-20,316.0
2015-03-23,316.0
2015-03-24,316.0
2015-03-25,316.0
2015-03-26,319.85
2015-03-27,316.0
2015-03-30,316.3
2015-03-31,316.05
2015-04-01,318.5
2015-04-06,316.6
2015-04-07,316.05
2015-04-08,315.4
2015-04-09,316.0
2015-04-10,316.05
2015-04-13,316.0
2015-04-15,316.2
2015-04-16,316.05
2015-04-17,319.5
2015-04-20,316.0
2015-04-21,316.25
2015-04-22,317.9
2015-04-23,318.4
2015-04-24,317.0
2015-04-27,317.25
2015-04-28,317.45
2015-04-29,317.0
2015-04-30,316.0
2015-05-04,317.75
2015-05-05,317.1
2015-05-06,317.0
2015-05-07,316.3
2015-05-08,324.2
2015-05-11,317.55
2015-05-12,317.05
2015-05-13,316.05
2015-05-14,317.05
2015-05-15,317.0
2015-05-18,316.1
2015-05-19,316.85
2015-05-20,317.0
2015-05-21,315.5
2015-05-22,317.05
2015-05-25,317.0
2015-05-26,318.05
2015-05-27,342.1
2015-05-28,319.85
2015-05-29,317.25
2015-06-01,318.0
2015-06-02,318.9
2015-06-03,317.0
2015-06-04,318.8
2015-06-05,317.55
2015-06-08,317.55
2015-06-09,317.1
