Date,CYBERTECH
2013-01-01,13.25
2013-01-02,13.15
2013-01-03,13.4
2013-01-04,13.3
2013-01-07,13.2
2013-01-08,13.1
2013-01-09,13.65
2013-01-10,13.9
2013-01-11,13.95
2013-01-14,13.95
2013-01-15,13.95
2013-01-16,13.65
2013-01-17,13.2
2013-01-18,13.85
2013-01-21,13.25
2013-01-22,13.3
2013-01-23,13.1
2013-01-24,13.25
2013-01-25,13.4
2013-01-28,13.2
2013-01-29,13.05
2013-01-30,13.1
2013-01-31,12.9
2013-02-01,13.05
2013-02-04,12.9
2013-02-05,12.7
2013-02-06,13.0
2013-02-07,12.65
2013-02-08,12.6
2013-02-11,12.7
2013-02-12,12.85
2013-02-13,12.6
2013-02-14,12.65
2013-02-15,14.5
2013-02-18,13.9
2013-02-19,13.75
2013-02-20,13.4
2013-02-21,13.45
2013-02-22,13.45
2013-02-25,13.4
2013-02-26,13.1
2013-02-27,13.25
2013-02-28,13.0
2013-03-01,13.25
2013-03-04,13.25
2013-03-05,12.95
2013-03-06,13.0
2013-03-07,13.3
2013-03-08,13.15
2013-03-11,13.45
2013-03-12,13.5
2013-03-13,13.45
2013-03-14,13.5
2013-03-15,13.2
2013-03-18,13.25
2013-03-19,13.15
2013-03-20,12.95
2013-03-21,12.9
2013-03-22,12.6
2013-03-25,12.25
2013-03-26,11.8
2013-03-28,12.55
2013-04-01,12.95
2013-04-02,13.5
2013-04-03,13.15
2013-04-04,12.8
2013-04-05,12.95
2013-04-08,13.0
2013-04-09,12.55
2013-04-10,12.5
2013-04-11,13.5
2013-04-12,12.95
2013-04-15,13.15
2013-04-16,13.5
2013-04-17,13.1
2013-04-18,13.55
2013-04-22,13.3
2013-04-23,12.9
2013-04-25,13.0
2013-04-26,13.1
2013-04-29,13.1
2013-04-30,13.2
2013-05-02,13.05
2013-05-03,12.95
2013-05-06,13.1
2013-05-07,13.05
2013-05-08,13.55
2013-05-09,13.35
2013-05-10,13.35
2013-05-13,13.35
2013-05-14,14.0
2013-05-15,14.2
2013-05-16,13.4
2013-05-17,13.0
2013-05-20,13.1
2013-05-21,13.0
2013-05-22,13.0
2013-05-23,12.7
2013-05-24,12.65
2013-05-27,13.0
2013-05-28,13.0
2013-05-29,12.7
2013-05-30,12.8
2013-05-31,12.7
2013-06-03,12.6
2013-06-04,12.7
2013-06-05,13.0
2013-06-06,12.7
2013-06-07,12.9
2013-06-10,12.7
2013-06-11,12.65
2013-06-12,12.55
2013-06-13,12.5
2013-06-14,12.6
2013-06-17,12.55
2013-06-18,12.7
2013-06-19,12.7
2013-06-20,12.4
2013-06-21,12.4
2013-06-24,12.35
2013-06-25,12.4
2013-06-26,12.5
2013-06-27,12.6
2013-06-28,12.45
2013-07-01,12.4
2013-07-02,12.5
2013-07-03,12.4
2013-07-05,12.4
2013-07-08,12.15
2013-07-09,12.4
2013-07-10,12.4
2013-07-11,12.3
2013-07-12,12.35
2013-07-15,12.25
2013-07-16,12.05
2013-07-17,12.3
2013-07-18,12.4
2013-07-19,12.25
2013-07-22,12.3
2013-07-23,12.4
2013-07-24,12.2
2013-07-25,12.1
2013-07-26,12.3
2013-07-29,12.05
2013-07-30,11.95
2013-07-31,12.0
2013-08-01,11.7
2013-08-02,11.65
2013-08-05,10.9
2013-08-06,10.4
2013-08-07,10.3
2013-08-08,10.75
2013-08-12,11.0
2013-08-13,11.25
2013-08-14,12.1
2013-08-16,11.6
2013-08-19,11.75
2013-08-20,12.5
2013-08-21,12.25
2013-08-22,12.4
2013-08-23,14.65
2013-08-26,14.4
2013-08-27,13.85
2013-08-28,14.25
2013-08-29,14.75
2013-08-30,16.35
2013-09-02,15.75
2013-09-03,15.0
2013-09-04,15.3
2013-09-05,15.0
2013-09-06,14.7
2013-09-10,14.75
2013-09-11,14.7
2013-09-12,14.4
2013-09-13,14.25
2013-09-16,14.75
2013-09-17,14.9
2013-09-18,14.75
2013-09-19,14.25
2013-09-20,13.75
2013-09-23,13.45
2013-09-24,13.45
2013-09-25,13.3
2013-09-26,13.5
2013-09-27,12.8
2013-09-30,13.15
2013-10-01,13.5
2013-10-03,13.55
2013-10-04,13.85
2013-10-07,13.7
2013-10-08,13.1
2013-10-09,13.6
2013-10-10,14.15
2013-10-11,13.6
2013-10-14,13.85
2013-10-15,13.5
2013-10-17,13.8
2013-10-18,13.4
2013-10-21,13.55
2013-10-22,13.75
2013-10-23,13.7
2013-10-24,13.7
2013-10-25,13.75
2013-10-28,13.5
2013-10-29,13.85
2013-10-30,13.95
2013-10-31,14.5
2013-11-01,14.05
2013-11-03,14.0
2013-11-05,14.1
2013-11-06,14.0
2013-11-07,14.25
2013-11-08,14.15
2013-11-11,14.2
2013-11-12,14.35
2013-11-13,14.2
2013-11-14,14.5
2013-11-18,14.7
2013-11-19,14.75
2013-11-20,14.8
2013-11-21,14.5
2013-11-22,14.9
2013-11-25,14.9
2013-11-26,15.25
2013-11-27,15.0
2013-11-28,14.75
2013-11-29,14.4
2013-12-02,14.5
2013-12-03,14.45
2013-12-04,15.1
2013-12-05,14.85
2013-12-06,14.9
2013-12-09,15.0
2013-12-10,15.0
2013-12-11,15.15
2013-12-12,14.85
2013-12-13,14.8
2013-12-16,14.5
2013-12-17,14.8
2013-12-18,15.0
2013-12-19,14.9
2013-12-20,15.5
2013-12-23,15.7
2013-12-24,15.65
2013-12-26,15.95
2013-12-27,19.1
2013-12-30,22.9
2013-12-31,22.25
2014-01-01,21.65
2014-01-02,23.55
2014-01-03,23.9
2014-01-06,24.45
2014-01-07,24.85
2014-01-08,24.55
2014-01-09,23.9
2014-01-10,23.55
2014-01-13,23.2
2014-01-14,22.95
2014-01-15,22.4
2014-01-16,22.45
2014-01-17,20.65
2014-01-20,22.7
2014-01-21,24.95
2014-01-22,27.4
2014-01-23,29.25
2014-01-24,27.95
2014-01-27,26.6
2014-01-28,25.7
2014-01-29,26.95
2014-01-30,28.25
2014-01-31,29.65
2014-02-03,28.9
2014-02-04,27.6
2014-02-05,27.5
2014-02-06,27.5
2014-02-07,27.25
2014-02-10,28.6
2014-02-11,30.0
2014-02-12,29.55
2014-02-13,29.3
2014-02-14,28.35
2014-02-17,28.0
2014-02-18,27.85
2014-02-19,28.0
2014-02-20,27.65
2014-02-21,28.85
2014-02-24,29.25
