Date,SCI
2013-01-01,55.25
2013-01-02,55.2
2013-01-03,55.45
2013-01-04,57.4
2013-01-07,57.5
2013-01-08,59.2
2013-01-09,59.3
2013-01-10,58.6
2013-01-11,56.25
2013-01-14,56.35
2013-01-15,56.45
2013-01-16,55.65
2013-01-17,55.65
2013-01-18,56.25
2013-01-21,56.3
2013-01-22,55.5
2013-01-23,54.2
2013-01-24,52.7
2013-01-25,53.3
2013-01-28,53.55
2013-01-29,53.2
2013-01-30,52.9
2013-01-31,53.75
2013-02-01,53.7
2013-02-04,53.4
2013-02-05,53.1
2013-02-06,53.1
2013-02-07,52.7
2013-02-08,53.35
2013-02-11,53.75
2013-02-12,53.6
2013-02-13,53.25
2013-02-14,50.85
2013-02-15,48.4
2013-02-18,48.85
2013-02-19,49.5
2013-02-20,49.55
2013-02-21,48.3
2013-02-22,48.2
2013-02-25,47.65
2013-02-26,47.1
2013-02-27,47.2
2013-02-28,46.85
2013-03-01,47.05
2013-03-04,46.05
2013-03-05,46.1
2013-03-06,47.05
2013-03-07,49.25
2013-03-08,48.75
2013-03-11,48.0
2013-03-12,46.9
2013-03-13,46.7
2013-03-14,47.0
2013-03-15,45.3
2013-03-18,45.1
2013-03-19,44.85
2013-03-20,43.85
2013-03-21,41.85
2013-03-22,40.65
2013-03-25,39.95
2013-03-26,40.4
2013-03-28,40.25
2013-04-01,42.7
2013-04-02,44.1
2013-04-03,44.1
2013-04-04,42.05
2013-04-05,42.15
2013-04-08,42.5
2013-04-09,42.15
2013-04-10,42.15
2013-04-11,43.1
2013-04-12,42.65
2013-04-15,42.65
2013-04-16,43.0
2013-04-17,43.0
2013-04-18,42.7
2013-04-22,43.35
2013-04-23,43.05
2013-04-25,43.65
2013-04-26,42.45
2013-04-29,42.25
2013-04-30,42.85
2013-05-02,42.7
2013-05-03,42.55
2013-05-06,42.3
2013-05-07,42.7
2013-05-08,42.75
2013-05-09,41.65
2013-05-10,41.45
2013-05-11,42.0
2013-05-13,40.65
2013-05-14,40.55
2013-05-15,40.6
2013-05-16,41.1
2013-05-17,40.8
2013-05-20,39.95
2013-05-21,39.55
2013-05-22,39.7
2013-05-23,38.8
2013-05-24,38.85
2013-05-27,38.9
2013-05-28,39.15
2013-05-29,38.6
2013-05-30,38.05
2013-05-31,36.7
2013-06-03,35.55
2013-06-04,35.25
2013-06-05,35.3
2013-06-06,35.2
2013-06-07,37.0
2013-06-10,36.2
2013-06-11,34.65
2013-06-12,34.9
2013-06-13,34.3
2013-06-14,34.3
2013-06-17,34.0
2013-06-18,33.9
2013-06-19,34.3
2013-06-20,33.95
2013-06-21,39.0
2013-06-24,36.75
2013-06-25,35.7
2013-06-26,33.8
2013-06-27,33.6
2013-06-28,34.35
2013-07-01,35.75
2013-07-02,35.65
2013-07-03,33.85
2013-07-04,34.4
2013-07-05,33.55
2013-07-08,33.25
2013-07-09,33.0
2013-07-10,33.3
2013-07-11,33.55
2013-07-12,33.4
2013-07-15,33.85
2013-07-16,33.9
2013-07-17,33.55
2013-07-18,33.25
2013-07-19,33.35
2013-07-22,33.2
2013-07-23,33.35
2013-07-24,32.6
2013-07-25,32.45
2013-07-26,32.25
2013-07-29,31.5
2013-07-30,30.15
2013-07-31,29.45
2013-08-01,29.25
2013-08-02,28.15
2013-08-05,27.75
2013-08-06,26.95
2013-08-07,28.3
2013-08-08,29.65
2013-08-12,30.0
2013-08-13,30.65
2013-08-14,30.6
2013-08-16,29.8
2013-08-19,29.7
2013-08-20,29.6
2013-08-21,29.05
2013-08-22,29.55
2013-08-23,30.45
2013-08-26,32.75
2013-08-27,33.25
2013-08-28,31.75
2013-08-29,31.55
2013-08-30,30.65
2013-09-02,31.7
2013-09-03,30.15
2013-09-04,30.4
2013-09-05,31.0
2013-09-06,33.35
2013-09-10,35.15
2013-09-11,35.6
2013-09-12,35.7
2013-09-13,34.7
2013-09-16,33.3
2013-09-17,32.45
2013-09-18,33.95
2013-09-19,34.35
2013-09-20,33.35
2013-09-23,33.5
2013-09-24,35.3
2013-09-25,36.7
2013-09-26,40.75
2013-09-27,38.45
2013-09-30,37.5
2013-10-01,36.85
2013-10-03,37.4
2013-10-04,36.65
2013-10-07,36.65
2013-10-08,36.6
2013-10-09,36.55
2013-10-10,37.4
2013-10-11,37.1
2013-10-14,37.1
2013-10-15,35.8
2013-10-17,36.05
2013-10-18,35.9
2013-10-21,35.9
2013-10-22,37.45
2013-10-23,37.95
2013-10-24,36.8
2013-10-25,35.7
2013-10-28,35.05
2013-10-29,34.3
2013-10-30,34.75
2013-10-31,34.55
2013-11-01,36.0
2013-11-03,36.45
2013-11-05,36.95
2013-11-06,36.8
2013-11-07,36.05
2013-11-08,37.1
2013-11-11,36.95
2013-11-12,35.85
2013-11-13,34.8
2013-11-14,34.4
2013-11-18,34.3
2013-11-19,35.65
2013-11-20,36.0
2013-11-21,35.35
2013-11-22,35.1
2013-11-25,36.3
2013-11-26,35.55
2013-11-27,35.35
2013-11-28,35.6
2013-11-29,35.95
2013-12-02,37.5
2013-12-03,37.7
2013-12-04,38.35
2013-12-05,38.15
2013-12-06,38.7
2013-12-09,42.95
2013-12-10,42.3
2013-12-11,42.95
2013-12-12,41.45
2013-12-13,39.75
2013-12-16,39.55
2013-12-17,39.6
2013-12-18,39.7
2013-12-19,38.9
2013-12-20,39.8
2013-12-23,42.45
2013-12-24,42.5
2013-12-26,42.05
2013-12-27,41.7
2013-12-30,41.65
2013-12-31,42.5
2014-01-01,43.55
2014-01-02,41.75
2014-01-03,41.6
2014-01-06,42.75
2014-01-07,42.6
2014-01-08,41.85
2014-01-09,41.1
2014-01-10,40.55
2014-01-13,39.5
2014-01-14,40.0
2014-01-15,40.3
2014-01-16,40.3
2014-01-17,38.7
2014-01-20,39.05
2014-01-21,39.1
2014-01-22,40.2
2014-01-23,39.35
2014-01-24,38.35
2014-01-27,36.25
2014-01-28,36.45
2014-01-29,36.45
2014-01-30,35.45
2014-01-31,36.8
2014-02-03,35.8
2014-02-04,37.3
2014-02-05,37.85
2014-02-06,37.5
2014-02-07,37.15
2014-02-10,36.6
2014-02-11,36.15
2014-02-12,37.2
2014-02-13,35.75
2014-02-14,35.6
2014-02-17,35.3
2014-02-18,35.45
2014-02-19,36.3
2014-02-20,35.4
2014-02-21,35.75
2014-02-24,35.75
2014-02-25,35.3
2014-02-26,35.25
2014-02-28,35.35
2014-03-03,35.0
2014-03-04,35.8
2014-03-05,36.3
2014-03-06,37.15
2014-03-07,36.95
2014-03-10,36.75
2014-03-11,36.7
2014-03-12,36.05
2014-03-13,36.95
2014-03-14,36.4
2014-03-18,36.6
2014-03-19,38.6
2014-03-20,36.95
2014-03-21,42.2
2014-03-22,41.15
2014-03-24,40.1
2014-03-25,41.1
2014-03-26,40.2
2014-03-27,40.6
2014-03-28,41.35
2014-03-31,41.5
2014-04-01,42.05
2014-04-02,41.75
2014-04-03,41.95
2014-04-04,43.05
2014-04-07,43.85
2014-04-09,45.9
2014-04-10,44.85
2014-04-11,45.7
2014-04-15,46.55
2014-04-16,43.95
2014-04-17,43.4
2014-04-21,43.7
2014-04-22,43.85
2014-04-23,44.0
2014-04-25,42.6
2014-04-28,42.45
2014-04-29,43.05
2014-04-30,42.7
2014-05-02,42.1
2014-05-05,40.55
2014-05-06,40.1
2014-05-07,39.5
2014-05-08,39.1
2014-05-09,40.65
2014-05-12,41.0
2014-05-13,42.55
2014-05-14,43.55
2014-05-15,42.75
2014-05-16,43.55
2014-05-19,51.1
2014-05-20,54.0
2014-05-21,56.2
2014-05-22,57.9
2014-05-23,60.3
2014-05-26,56.65
2014-05-27,55.4
2014-05-28,63.05
2014-05-29,61.95
2014-05-30,59.85
2014-06-02,61.85
2014-06-03,60.65
2014-06-04,61.4
2014-06-05,64.1
2014-06-06,66.85
2014-06-09,69.7
