Date,UPL
2013-01-01,132.4
2013-01-02,131.7
2013-01-03,136.8
2013-01-04,135.9
2013-01-07,137.25
2013-01-08,137.6
2013-01-09,136.0
2013-01-10,136.9
2013-01-11,133.95
2013-01-14,138.15
2013-01-15,136.4
2013-01-16,134.6
2013-01-17,138.6
2013-01-18,141.1
2013-01-21,142.2
2013-01-22,139.9
2013-01-23,137.95
2013-01-24,132.5
2013-01-25,137.7
2013-01-28,136.55
2013-01-29,136.7
2013-01-30,134.65
2013-01-31,133.1
2013-02-01,131.35
2013-02-04,127.5
2013-02-05,129.7
2013-02-06,127.6
2013-02-07,127.55
2013-02-08,128.1
2013-02-11,127.6
2013-02-12,126.2
2013-02-13,125.5
2013-02-14,118.7
2013-02-15,122.5
2013-02-18,126.05
2013-02-19,126.8
2013-02-20,127.5
2013-02-21,122.35
2013-02-22,125.3
2013-02-25,123.45
2013-02-26,120.75
2013-02-27,122.1
2013-02-28,115.8
2013-03-01,119.25
2013-03-04,115.3
2013-03-05,119.3
2013-03-06,120.45
2013-03-07,123.7
2013-03-08,126.75
2013-03-11,128.45
2013-03-12,125.45
2013-03-13,125.9
2013-03-14,125.9
2013-03-15,123.95
2013-03-18,122.75
2013-03-19,117.75
2013-03-20,117.1
2013-03-21,117.95
2013-03-22,119.55
2013-03-25,117.65
2013-03-26,116.5
2013-03-28,117.4
2013-04-01,119.95
2013-04-02,122.75
2013-04-03,123.05
2013-04-04,119.95
2013-04-05,118.85
2013-04-08,119.2
2013-04-09,119.7
2013-04-10,119.8
2013-04-11,120.6
2013-04-12,123.0
2013-04-15,121.6
2013-04-16,122.0
2013-04-17,126.1
2013-04-18,125.55
2013-04-22,129.75
2013-04-23,129.0
2013-04-25,132.25
2013-04-26,138.75
2013-04-29,138.4
2013-04-30,141.15
2013-05-02,145.15
2013-05-03,144.0
2013-05-06,147.3
2013-05-07,147.65
2013-05-08,149.95
2013-05-09,150.2
2013-05-10,154.0
2013-05-11,153.8
2013-05-13,145.4
2013-05-14,151.15
2013-05-15,152.05
2013-05-16,154.15
2013-05-17,154.9
2013-05-20,154.3
2013-05-21,154.75
2013-05-22,155.55
2013-05-23,157.25
2013-05-24,157.55
2013-05-27,155.95
2013-05-28,154.95
2013-05-29,152.4
2013-05-30,155.2
2013-05-31,155.0
2013-06-03,162.5
2013-06-04,163.35
2013-06-05,165.5
2013-06-06,162.65
2013-06-07,155.9
2013-06-10,153.35
2013-06-11,148.9
2013-06-12,147.85
2013-06-13,139.9
2013-06-14,138.5
2013-06-17,146.25
2013-06-18,145.4
2013-06-19,146.35
2013-06-20,142.7
2013-06-21,136.3
2013-06-24,128.95
2013-06-25,132.75
2013-06-26,134.65
2013-06-27,135.1
2013-06-28,135.75
2013-07-01,139.25
