Date,BIOCON
2013-01-01,289.3
2013-01-02,291.25
2013-01-03,294.15
2013-01-04,291.55
2013-01-07,301.75
2013-01-08,294.7
2013-01-09,290.85
2013-01-10,288.4
2013-01-11,282.45
2013-01-14,286.95
2013-01-15,285.6
2013-01-16,280.35
2013-01-17,281.4
2013-01-18,281.45
2013-01-21,280.65
2013-01-22,280.45
2013-01-23,277.75
2013-01-24,263.25
2013-01-25,267.55
2013-01-28,274.9
2013-01-29,279.65
2013-01-30,283.25
2013-01-31,279.6
2013-02-01,281.1
2013-02-04,273.8
2013-02-05,281.85
2013-02-06,285.4
2013-02-07,284.95
2013-02-08,285.45
2013-02-11,283.75
2013-02-12,284.2
2013-02-13,284.45
2013-02-14,281.05
2013-02-15,280.85
2013-02-18,281.3
2013-02-19,288.7
2013-02-20,284.9
2013-02-21,281.75
2013-02-22,287.1
2013-02-25,282.9
2013-02-26,279.6
2013-02-27,283.55
2013-02-28,273.35
2013-03-01,274.4
2013-03-04,267.25
2013-03-05,273.25
2013-03-06,275.65
2013-03-07,272.4
2013-03-08,272.0
2013-03-11,272.55
2013-03-12,278.45
2013-03-13,279.15
2013-03-14,276.75
2013-03-15,271.9
2013-03-18,273.15
2013-03-19,278.2
2013-03-20,271.45
2013-03-21,275.9
2013-03-22,276.05
2013-03-25,273.7
2013-03-26,270.85
2013-03-28,273.65
2013-04-01,286.65
2013-04-02,289.6
2013-04-03,281.25
2013-04-04,274.0
2013-04-05,280.65
2013-04-08,281.45
2013-04-09,279.55
2013-04-10,283.2
2013-04-11,293.85
2013-04-12,290.05
2013-04-15,286.9
2013-04-16,286.4
2013-04-17,289.05
2013-04-18,285.9
2013-04-22,289.95
2013-04-23,285.5
2013-04-25,289.45
2013-04-26,278.85
2013-04-29,283.9
2013-04-30,287.3
2013-05-02,285.05
2013-05-03,288.05
2013-05-06,287.25
2013-05-07,286.35
2013-05-08,284.9
2013-05-09,284.65
2013-05-10,284.65
2013-05-11,284.4
2013-05-13,282.5
2013-05-14,280.05
2013-05-15,285.2
2013-05-16,288.4
2013-05-17,286.0
2013-05-20,281.9
2013-05-21,282.6
2013-05-22,279.35
2013-05-23,277.1
2013-05-24,274.5
2013-05-27,273.05
2013-05-28,273.9
2013-05-29,273.3
2013-05-30,272.0
2013-05-31,270.3
2013-06-03,271.9
2013-06-04,278.5
2013-06-05,285.3
2013-06-06,284.6
2013-06-07,280.25
2013-06-10,275.3
2013-06-11,273.45
2013-06-12,272.95
2013-06-13,265.4
2013-06-14,275.7
2013-06-17,276.8
2013-06-18,275.95
2013-06-19,276.0
2013-06-20,274.5
