Date,PRIMESECU
2013-01-01,11.3
2013-01-02,12.1
2013-01-03,12.2
2013-01-04,12.25
2013-01-07,12.1
2013-01-08,12.1
2013-01-09,11.85
2013-01-10,11.85
2013-01-11,11.75
2013-01-14,11.6
2013-01-15,11.65
2013-01-16,11.3
2013-01-17,10.75
2013-01-18,10.9
2013-01-21,10.55
2013-01-22,8.85
2013-01-23,8.95
2013-01-24,9.0
2013-01-25,8.95
2013-01-28,9.0
2013-01-29,9.0
2013-01-30,8.9
2013-01-31,9.0
2013-02-01,8.9
2013-02-04,8.95
2013-02-05,8.55
2013-02-06,8.25
2013-02-07,7.9
2013-02-08,7.75
2013-02-11,7.85
2013-02-12,7.6
2013-02-13,7.7
2013-02-14,6.2
2013-02-15,5.4
2013-02-18,4.95
2013-02-19,5.1
2013-02-20,4.85
2013-02-21,4.45
2013-02-22,4.6
2013-02-25,5.0
2013-02-26,4.7
2013-02-27,4.45
2013-02-28,4.05
2013-03-01,4.35
2013-03-04,4.0
2013-03-05,4.4
2013-03-06,4.8
2013-03-07,5.2
2013-03-08,5.2
2013-03-11,5.3
2013-03-12,5.35
2013-03-13,5.2
2013-03-14,5.25
2013-03-15,5.0
2013-03-18,5.0
2013-03-19,4.8
2013-03-20,4.65
2013-03-21,4.45
2013-03-22,4.25
2013-03-25,4.1
2013-03-26,4.1
2013-03-28,4.3
2013-04-01,4.5
2013-04-02,4.7
2013-04-03,4.9
2013-04-04,4.9
2013-04-05,5.05
2013-04-08,5.0
2013-04-09,4.9
2013-04-10,5.1
2013-04-11,5.1
2013-06-14,4.2
2013-06-17,4.3
2013-06-18,4.15
2013-06-19,4.1
2013-06-20,4.15
2013-06-21,3.95
2013-06-24,3.85
2013-06-25,3.8
2013-06-26,3.65
2013-06-27,3.5
2013-06-28,3.6
2013-07-01,3.45
2013-07-02,3.3
2013-07-03,3.3
2013-07-04,3.3
2013-07-05,3.25
2013-07-08,3.1
2013-07-09,3.25
2013-07-10,3.25
2013-07-11,3.25
2013-07-12,3.4
2013-07-16,3.25
2013-07-17,3.1
2013-07-18,3.25
2013-07-19,3.25
2013-07-22,3.25
2013-07-23,3.25
2013-07-24,3.1
2013-07-25,3.1
2013-07-26,2.95
2013-07-29,2.85
2013-08-01,2.75
2013-08-02,2.65
2013-08-05,2.55
2013-08-06,2.45
2013-08-07,2.35
2013-08-08,2.25
2013-08-12,2.15
2013-08-27,2.1
2013-08-28,2.0
2013-08-29,2.1
2013-09-02,2.05
2013-09-03,2.0
2013-09-04,2.1
2013-09-05,2.2
2013-09-06,2.3
2013-09-11,2.4
2013-09-13,2.5
2013-09-16,2.6
2013-09-17,2.7
2013-09-18,2.8
2013-09-19,2.9
2013-09-20,3.0
2013-09-23,3.15
2013-09-26,3.3
2013-12-09,4.35
2013-12-10,4.3
2013-12-12,4.1
2013-12-19,4.05
2013-12-24,4.0
2013-12-27,3.85
2013-12-30,4.0
2013-12-31,3.8
2014-01-01,3.9
2014-01-02,4.05
2014-01-03,3.85
2014-01-06,3.7
2014-01-07,3.6
2014-01-09,3.75
2014-01-13,3.9
2014-01-14,3.9
2014-01-20,3.9
2014-01-31,4.0
2014-02-04,3.8
2014-02-07,3.9
2014-02-10,4.05
2014-02-17,4.25
2014-02-21,4.05
2014-03-05,3.85
2014-03-06,3.7
2014-03-07,4.05
2014-03-10,4.15
2014-03-11,4.2
2014-03-12,4.45
2014-03-13,4.3
2014-08-06,6.5
2014-08-07,6.45
2014-08-08,6.55
