Date,SRF
2013-01-01,202.35
2013-01-02,206.95
2013-01-03,207.4
2013-01-04,206.45
2013-01-07,205.3
2013-01-08,207.2
2013-01-09,206.7
2013-01-10,205.15
2013-01-11,204.25
2013-01-14,204.4
2013-01-15,202.25
2013-01-16,201.2
2013-01-17,200.5
2013-01-18,199.35
2013-01-21,200.0
2013-01-22,200.0
2013-01-23,199.45
2013-01-24,195.7
2013-01-25,194.85
2013-01-28,196.75
2013-01-29,190.35
2013-01-30,197.4
2013-01-31,192.95
2013-02-01,194.65
2013-02-04,194.85
2013-02-05,194.2
2013-02-06,193.0
2013-02-07,194.35
2013-02-08,190.8
2013-02-11,191.6
2013-02-12,190.05
2013-02-13,189.8
2013-02-14,188.4
2013-02-15,192.85
2013-02-18,196.75
2013-02-19,198.1
2013-02-20,202.35
2013-02-21,198.1
2013-02-22,198.8
2013-02-25,190.6
2013-02-26,186.5
2013-02-27,188.75
2013-02-28,183.95
2013-03-01,185.75
2013-03-04,181.75
2013-03-05,182.55
2013-03-06,186.85
2013-03-07,185.55
2013-03-08,187.7
2013-03-11,189.85
2013-03-12,189.4
2013-03-13,187.8
2013-03-14,184.75
2013-03-15,179.85
2013-03-18,179.0
2013-03-19,175.85
2013-03-20,171.1
2013-03-21,169.15
2013-03-22,167.2
2013-03-25,168.15
2013-03-26,166.2
2013-03-28,169.3
2013-04-01,176.75
2013-04-02,180.15
2013-04-03,183.75
2013-04-04,178.1
2013-04-05,175.65
2013-04-08,176.15
2013-04-09,174.9
2013-04-10,172.35
2013-04-11,171.7
2013-04-12,169.95
2013-04-15,173.65
2013-04-16,174.0
2013-04-17,171.5
2013-04-18,172.65
2013-04-22,175.25
2013-04-23,177.15
2013-04-25,175.3
2013-04-26,172.05
2013-04-29,167.35
2013-04-30,170.25
2013-05-02,173.8
2013-05-03,172.6
2013-05-06,175.0
2013-05-07,172.9
2013-05-08,173.6
2013-05-09,174.0
2013-05-10,174.35
2013-05-11,174.8
2013-05-13,176.05
2013-05-14,174.05
2013-05-15,174.9
2013-05-16,173.9
2013-05-17,175.05
2013-05-20,174.5
2013-05-21,174.25
2013-05-22,173.05
2013-05-23,170.55
