Date,CCCL
2013-01-01,12.95
2013-01-02,12.9
2013-01-03,14.3
2013-01-04,15.1
2013-01-07,17.1
2013-01-08,16.9
2013-01-09,16.75
2013-01-10,16.85
2013-01-11,16.0
2013-01-14,16.05
2013-01-15,16.6
2013-01-16,16.0
2013-01-17,16.25
2013-03-01,11.1
2013-03-04,11.25
2013-03-05,11.35
2013-03-06,11.0
2013-03-07,10.95
2013-03-08,10.95
2013-03-11,10.8
2013-03-12,10.7
2013-03-13,10.9
2013-03-14,10.7
2013-03-15,10.95
2013-03-18,10.85
2013-03-19,10.5
2013-03-20,10.9
2013-03-21,10.5
2013-03-22,10.95
2013-03-25,10.6
2013-03-26,10.6
2013-03-28,10.9
2013-04-01,11.0
2013-04-02,11.55
2013-04-03,12.1
2013-04-04,12.6
2013-04-05,12.85
2013-04-08,12.3
2013-04-09,12.3
2013-04-10,12.25
2013-04-11,11.9
2013-06-14,9.35
2013-06-17,9.65
2013-06-18,10.1
2013-06-19,10.25
2013-06-20,10.0
2013-06-21,10.2
2013-06-24,9.9
2013-06-25,10.0
2013-06-26,10.05
2013-06-27,9.85
2013-06-28,9.45
2013-07-01,9.85
2013-07-02,9.55
2013-07-03,9.45
2013-07-04,9.55
2013-07-05,9.25
2013-07-08,8.95
2013-07-09,8.75
2013-07-10,8.75
2013-07-11,9.35
2013-07-12,9.35
2013-07-15,9.3
2013-07-16,9.15
2013-07-17,8.55
2013-07-18,8.1
2013-07-19,8.15
2013-07-22,8.55
2013-07-23,8.75
2013-07-24,8.3
2013-07-25,8.0
2013-07-26,7.95
2013-07-29,8.4
2013-07-30,8.0
2013-07-31,7.5
2013-08-01,7.4
2013-08-02,7.35
2013-08-05,7.2
2013-08-06,6.5
2013-08-07,6.7
2013-08-08,6.55
2013-08-12,6.45
2013-08-13,7.0
2013-08-14,7.0
2013-08-16,6.5
2013-08-19,6.5
2013-08-20,6.2
2013-08-21,6.5
2013-08-22,6.85
2013-08-23,7.15
2013-08-26,6.5
2013-08-27,6.25
2013-08-28,6.0
2013-08-29,5.9
2013-08-30,5.95
2013-09-02,5.9
2013-09-03,5.95
2013-09-04,5.75
2013-09-05,5.25
