Date,SQSBFSI
2013-01-01,88.05
2013-01-02,88.45
2013-01-03,87.4
2013-01-04,94.4
2013-01-07,94.05
2013-01-08,92.8
2013-01-09,89.6
2013-01-10,87.3
2013-01-11,90.1
2013-01-14,89.5
2013-01-15,91.2
2013-01-16,88.75
2013-01-17,89.35
2013-01-18,87.6
2013-01-21,86.25
2013-01-22,84.3
2013-01-23,83.6
2013-01-24,84.65
2013-01-25,84.25
2013-01-28,86.25
2013-01-29,84.65
2013-01-30,84.3
2013-01-31,82.75
2013-02-01,82.85
2013-02-04,83.7
2013-02-05,82.3
2013-02-06,82.6
2013-02-07,83.55
2013-02-08,82.15
2013-02-11,82.75
2013-02-12,81.1
2013-02-13,80.8
2013-02-14,79.9
2013-02-15,79.1
2013-02-18,77.8
2013-02-19,79.0
2013-02-20,78.95
2013-02-21,79.75
2013-02-22,78.5
2013-02-25,77.3
2013-02-26,73.95
2013-02-27,75.0
2013-02-28,70.25
2013-03-01,69.45
2013-03-04,66.2
2013-03-05,68.3
2013-03-06,72.0
2013-03-07,73.65
2013-03-08,73.95
2013-03-11,75.85
2013-03-12,74.25
2013-03-13,73.05
2013-03-14,72.45
2013-03-15,70.65
2013-03-18,70.35
2013-03-19,68.05
2013-03-20,65.65
2013-03-21,66.2
2013-03-22,63.05
2013-03-25,61.65
2013-03-26,59.55
2013-03-28,59.75
2013-04-01,65.05
2013-04-02,69.45
2013-04-03,69.75
2013-04-04,68.8
2013-04-05,68.05
2013-04-08,66.75
2013-04-09,66.45
2013-04-10,71.95
2013-04-11,70.45
2013-04-12,68.3
2013-04-15,72.55
2013-04-16,70.7
2013-04-17,70.9
2013-04-18,70.8
2013-04-22,72.0
2013-04-23,72.15
2013-04-25,73.25
2013-04-26,67.1
2013-04-29,69.2
2013-04-30,68.8
2013-05-02,71.75
2013-05-03,71.1
2013-05-06,71.6
2013-05-07,69.8
2013-05-08,69.45
2013-05-09,70.8
2013-05-10,71.55
2013-05-11,70.5
2013-05-13,70.45
2013-05-14,69.1
2013-05-15,69.0
2013-05-16,69.15
2013-05-17,69.15
2013-05-20,70.4
2013-05-21,68.85
2013-05-22,68.85
2013-05-23,67.35
2013-05-24,67.7
2013-05-27,70.45
2013-05-28,70.7
2013-05-29,70.8
2013-05-30,70.1
2013-05-31,70.15
2013-06-03,70.05
2013-06-04,70.1
2013-06-05,68.55
2013-06-06,69.55
2013-06-07,69.3
2013-06-10,69.85
2013-06-11,68.45
2013-06-12,68.95
2013-06-13,68.4
2013-06-14,70.25
2013-06-17,72.3
2013-06-18,69.6
2013-06-19,70.85
2013-06-20,70.25
2013-06-21,69.3
2013-06-24,68.3
2013-06-25,68.9
2013-06-26,67.95
2013-06-27,68.15
2013-06-28,67.95
2013-07-01,70.65
2013-07-02,73.1
2013-07-03,73.3
2013-07-04,73.75
2013-07-05,75.2
2013-07-08,83.05
2013-07-09,83.25
2013-07-10,82.35
2013-07-11,79.6
2013-07-12,82.2
2013-07-15,82.6
2013-07-16,83.15
2013-07-17,89.4
2013-07-18,92.15
2013-07-19,88.45
2013-07-22,86.5
2013-07-23,88.75
2013-07-24,87.65
2013-07-25,85.6
2013-07-26,84.35
2013-07-29,80.3
2013-07-30,78.05
2013-07-31,79.15
2013-08-01,80.7
2013-08-02,81.55
2013-08-05,79.85
2013-08-06,77.65
2013-08-07,84.15
2013-08-08,82.4
2013-08-12,83.7
2013-08-13,87.0
2013-08-14,87.4
2013-08-16,84.9
2013-08-19,83.05
2013-08-20,83.75
2013-08-21,82.85
2013-08-22,83.3
2013-08-23,84.0
2013-08-26,83.7
2013-08-27,83.25
2013-08-28,83.5
2013-08-29,85.15
2013-08-30,86.0
2013-09-02,94.2
2013-09-03,90.65
2013-09-04,91.65
2013-09-05,95.15
2013-09-06,93.25
2013-09-10,97.4
2013-09-11,98.25
2013-09-12,102.3
2013-09-13,107.2
2013-09-16,108.65
2013-09-17,113.65
2013-09-18,116.9
2013-09-19,108.3
2013-09-20,103.7
2013-09-23,104.2
2013-09-24,109.8
2013-09-25,109.15
2013-09-26,109.05
2013-09-27,107.4
2013-09-30,103.7
2013-10-01,107.25
2013-10-03,105.7
2013-10-04,104.3
2013-10-07,110.95
2013-10-08,114.2
2013-10-09,116.75
2013-10-10,118.8
2013-10-11,126.4
2013-10-14,130.55
2013-10-15,130.4
2013-10-17,118.15
2013-10-18,130.6
2013-10-21,155.85
2013-10-22,150.65
2013-10-23,154.2
2013-10-24,150.05
2013-10-25,150.95
2013-10-28,140.85
2013-10-29,134.55
2013-10-30,130.5
2013-10-31,139.55
2013-11-01,138.95
2013-11-03,141.35
2013-11-05,148.35
2013-11-06,154.45
2013-11-07,162.4
2013-11-08,194.85
2013-11-11,214.3
2013-11-12,235.7
2013-11-13,238.8
2013-11-14,240.05
2013-11-18,240.75
2013-11-19,244.2
2013-11-20,244.65
2013-11-21,246.15
2013-11-22,246.15
2013-11-25,246.85
2013-11-26,247.3
2013-11-27,248.05
2013-11-28,246.45
2014-03-03,308.0
2014-03-04,323.25
2014-03-05,326.7
2014-03-06,329.85
2014-03-07,313.4
2014-03-10,297.75
2014-03-11,311.95
2014-03-12,312.75
2014-03-13,310.6
2014-03-14,306.55
2014-03-18,311.5
2014-03-19,302.15
2014-03-20,300.55
2014-03-21,295.2
2014-03-22,300.55
2014-03-24,309.1
2014-03-25,304.2
2014-03-26,293.85
2014-03-27,297.75
2014-03-28,300.0
2014-03-31,315.0
2014-04-01,330.75
2014-04-02,347.25
2014-04-03,363.5
2014-04-04,381.4
2014-04-07,370.1
2014-04-09,365.25
2014-04-10,357.8
2014-04-11,375.65
2014-04-15,364.95
2014-04-16,358.2
2014-04-17,376.1
2014-04-21,394.9
2014-04-22,381.95
2014-04-23,373.55
2014-04-25,392.0
2014-04-28,411.6
2014-04-29,416.85
2014-04-30,400.9
2014-05-02,388.1
2014-05-05,395.75
2014-05-06,388.15
2014-05-07,381.3
2014-05-08,372.25
2014-05-09,370.2
2014-05-12,355.6
2014-05-13,374.75
2014-05-14,372.45
2014-05-15,360.05
2014-05-16,356.35
2014-05-19,334.15
2014-05-20,342.85
2014-05-21,348.85
2014-05-22,348.6
2014-05-23,345.25
2014-05-26,328.8
2014-05-27,338.4
2014-05-28,332.75
2014-05-29,327.5
2014-05-30,331.3
2014-06-02,341.4
2014-06-03,342.85
2014-06-04,346.05
2014-06-05,358.0
2014-06-06,368.05
2014-06-09,389.5
2014-06-10,401.45
2014-06-11,395.5
2014-06-12,397.1
2014-06-13,389.25
2014-06-16,389.2
2014-06-17,388.5
2014-06-18,392.85
2014-06-19,392.2
2014-06-20,388.75
2014-06-23,379.55
2014-06-24,374.7
2014-06-25,382.45
2014-06-26,388.05
2014-06-27,426.85
2014-06-30,469.5
2014-07-01,459.35
2014-07-02,452.3
2014-07-03,443.6
2014-07-04,463.8
2014-07-07,472.25
2014-07-08,448.25
2014-07-09,443.4
2014-07-10,446.1
2014-07-11,440.7
2014-07-14,449.75
2014-07-15,463.2
2014-07-16,555.8
2014-07-17,561.45
2014-07-18,545.3
2014-07-21,551.85
2014-07-22,544.15
2014-07-23,532.0
2014-07-24,479.9
2014-07-25,482.0
2014-07-28,475.8
2014-07-30,473.15
2014-07-31,461.95
2014-08-01,438.9
2014-08-04,444.95
2014-08-05,446.2
2014-08-06,446.0
2014-08-07,439.3
2014-08-08,441.0
2014-08-11,428.45
2014-08-12,440.95
2014-08-13,424.75
2014-08-14,449.2
2014-08-18,468.05
2014-08-19,463.3
2014-08-20,477.0
2014-08-21,456.6
2014-08-22,460.45
2014-08-25,462.3
2014-08-26,452.35
2014-08-27,453.0
2014-08-28,470.55
2014-09-01,467.1
2014-09-02,468.85
2014-09-03,478.4
2014-09-04,469.0
2014-09-05,475.95
2014-09-08,571.1
2014-09-09,556.05
2014-09-10,578.45
2014-09-11,565.55
2014-09-12,564.6
2014-09-15,603.3
2014-09-16,555.3
2014-09-17,549.35
2014-09-18,566.35
2014-09-19,572.2
2014-09-22,577.9
2014-09-23,543.4
2014-09-24,586.2
2014-09-25,588.8
2014-09-26,586.3
2014-09-29,591.9
2014-09-30,600.5
2014-10-01,598.7
2014-10-07,589.1
2014-10-08,595.85
2014-10-09,591.05
2014-10-10,590.15
2014-10-13,597.4
2014-10-14,595.15
2014-10-16,595.25
2014-10-17,604.85
2014-10-20,594.9
2014-10-21,589.25
2014-10-22,591.75
2014-10-23,592.4
2014-10-27,602.1
2014-10-28,653.3
2014-10-29,659.8
2014-10-30,602.95
2014-10-31,615.0
2014-11-03,610.0
2014-11-05,612.1
2014-11-07,602.8
2014-11-10,595.95
2014-11-11,592.1
2014-11-12,590.85
2014-11-13,589.35
2014-11-14,599.6
2014-11-17,601.2
2014-11-18,600.65
2014-11-19,601.8
2014-11-20,620.7
2014-11-21,612.5
2014-11-24,618.65
2014-11-25,612.0
2014-11-26,612.65
2014-11-27,617.8
2014-11-28,618.15
2014-12-01,615.45
2014-12-02,662.7
2014-12-03,647.55
2014-12-04,652.55
2014-12-05,719.5
2014-12-08,760.4
2014-12-09,745.95
2014-12-10,708.0
2014-12-11,692.65
2014-12-12,683.2
2014-12-15,679.4
2014-12-16,674.35
2014-12-17,655.15
2014-12-18,678.3
2014-12-19,670.45
2014-12-22,669.15
2014-12-23,656.0
2014-12-24,658.2
2014-12-26,653.55
2014-12-29,665.3
2014-12-30,656.0
2014-12-31,653.15
2015-01-01,660.2
2015-01-02,652.1
2015-01-05,647.6
2015-01-06,631.4
2015-01-07,632.55
2015-01-08,621.1
2015-01-09,619.2
2015-01-12,640.95
2015-01-13,633.45
2015-01-14,649.65
2015-01-15,651.2
2015-01-16,659.5
2015-01-19,652.15
2015-01-20,613.4
2015-01-21,650.2
2015-01-22,599.1
2015-01-23,597.65
2015-01-27,587.1
2015-01-28,544.4
2015-01-29,560.65
2015-01-30,562.3
2015-02-02,586.9
2015-02-03,581.3
2015-02-04,570.05
2015-02-05,565.65
2015-02-06,556.2
2015-02-09,559.15
2015-02-10,565.1
2015-02-11,570.75
2015-02-12,593.1
2015-02-13,598.35
2015-02-16,639.2
2015-02-18,614.8
2015-02-19,594.6
2015-02-20,596.65
2015-02-23,614.8
2015-02-24,610.0
2015-02-25,616.1
2015-02-26,617.8
2015-02-27,611.65
2015-02-28,600.9
2015-03-02,613.75
2015-03-03,600.2
2015-03-04,595.9
2015-03-05,592.85
2015-03-09,592.3
2015-03-10,588.65
2015-03-11,576.9
2015-03-12,574.9
2015-03-13,570.4
2015-03-16,570.1
2015-03-17,570.2
2015-03-18,574.3
2015-03-19,570.15
2015-03-20,556.7
2015-03-23,547.9
2015-03-24,539.9
2015-03-25,534.95
2015-03-26,520.35
2015-03-27,566.3
2015-03-30,569.0
2015-03-31,570.0
2015-04-01,590.95
2015-04-06,592.3
2015-04-07,610.75
2015-04-08,586.95
2015-04-09,578.7
2015-04-10,599.5
2015-04-13,663.55
2015-04-15,647.2
2015-04-16,615.55
2015-04-17,625.5
2015-04-20,613.75
2015-04-21,626.65
2015-04-22,613.4
2015-04-23,577.5
2015-04-24,554.6
2015-04-27,534.25
2015-04-28,532.2
2015-04-29,556.75
2015-04-30,539.85
2015-05-04,552.8
2015-05-05,536.55
2015-05-06,531.3
2015-05-07,522.7
2015-05-08,535.05
2015-05-11,547.55
2015-05-12,525.75
2015-05-13,552.3
2015-05-14,560.8
2015-05-15,565.85
2015-05-18,547.75
2015-05-19,591.35
2015-05-20,613.35
2015-05-21,623.1
2015-05-22,612.5
2015-05-25,609.35
2015-05-26,605.9
2015-05-27,615.55
2015-05-28,611.9
2015-05-29,627.0
2015-06-01,632.45
2015-06-02,629.25
2015-06-03,605.65
2015-06-04,615.0
2015-06-05,647.75
2015-06-08,645.45
2015-06-09,644.65
2015-06-10,682.25
2015-06-11,670.2
2015-06-12,656.05
2015-06-15,647.0
2015-06-16,629.95
2015-06-17,628.85
2015-06-18,630.45
2015-06-19,629.7
2015-06-22,629.9
2015-06-23,631.4
2015-06-24,630.25
2015-06-25,624.65
2015-06-26,628.9
2015-06-29,616.5
2015-06-30,634.7
2015-07-01,679.2
2015-07-02,681.05
2015-07-03,675.3
2015-07-06,677.45
2015-07-07,676.55
2015-07-08,651.55
2015-07-09,651.8
2015-07-10,654.65
2015-07-13,668.15
2015-07-14,672.7
2015-07-15,660.35
2015-07-16,651.95
