Date,RELDIVOPP
2014-05-22,17.5
2014-05-23,19.0
2014-05-26,19.94
2014-05-27,19.4
2014-05-28,19.3
2014-05-29,18.99
2014-05-30,17.84
2014-06-02,17.83
2014-06-03,17.24
2014-06-04,20.5
2014-06-05,20.9
2014-06-06,20.84
2014-06-09,20.92
2014-06-10,20.9
2014-06-11,20.72
2014-06-12,20.4
2014-06-13,20.79
2014-06-16,20.99
2014-06-18,21.0
2014-06-19,18.25
2014-06-20,21.4
2014-06-23,22.5
2014-06-24,22.8
2014-06-25,22.9
2014-06-26,23.5
2014-06-27,22.55
2014-06-30,23.45
2014-07-01,19.78
2014-07-02,21.36
2014-07-03,21.99
2014-07-04,20.13
2014-07-07,20.75
2014-07-08,19.22
2014-07-09,20.0
2014-07-11,19.6
2014-07-14,18.75
2014-07-15,19.25
2014-07-17,20.75
2014-07-18,20.5
2014-07-21,19.2
2014-07-23,20.62
2014-07-24,21.0
2014-07-25,21.0
2014-07-30,21.0
2014-07-31,21.0
2014-08-04,21.0
2014-08-05,19.9
2014-08-06,21.0
2014-08-08,19.36
2014-08-11,19.5
2014-08-12,19.5
2014-08-18,19.9
2014-08-21,19.5
2014-08-22,18.56
2014-08-25,19.6
2014-08-28,21.0
2014-09-01,20.6
2014-09-02,20.5
2014-09-03,20.5
2014-09-05,20.05
2014-09-08,20.85
2014-09-09,22.0
2014-09-10,21.3
2014-09-11,20.85
2014-09-15,20.85
2014-09-17,20.8
2014-09-18,20.8
2014-09-19,20.64
2014-09-22,20.65
2014-09-23,20.65
2014-09-25,21.1
2014-09-26,21.1
2014-09-30,21.05
2014-10-07,20.87
2014-10-09,21.2
2014-10-10,20.7
2014-10-13,20.7
2014-10-16,20.15
2014-10-17,19.6
2014-10-20,19.8
2014-10-27,19.4
2014-10-28,19.93
2014-10-30,20.95
2014-10-31,20.7
2014-11-03,24.0
2014-11-07,22.01
2014-11-10,23.75
2014-11-12,22.0
2014-11-13,21.55
2014-11-18,22.6
2014-11-19,22.39
2014-11-20,21.8
2014-11-21,22.35
2014-11-24,22.0
2014-11-25,22.0
2014-11-26,22.35
2014-11-27,22.35
2014-11-28,22.35
2014-12-01,21.31
2014-12-02,22.25
2014-12-03,22.25
2014-12-04,22.25
2014-12-08,21.8
2014-12-11,21.5
2014-12-15,21.8
2014-12-16,21.8
2014-12-17,19.27
2014-12-18,20.9
2014-12-19,21.73
2014-12-22,21.29
2014-12-23,21.0
2014-12-24,21.75
2014-12-26,20.65
2014-12-29,21.75
2014-12-30,21.7
2014-12-31,20.5
2015-01-01,21.75
2015-01-02,21.75
2015-01-05,21.1
2015-01-06,21.1
2015-01-07,21.74
2015-01-08,20.75
2015-01-09,20.75
2015-01-12,20.75
2015-01-14,21.55
2015-01-15,22.2
2015-01-16,20.75
2015-01-19,20.75
2015-01-20,20.65
2015-01-21,21.5
2015-01-27,19.55
2015-01-29,21.0
2015-01-30,21.7
2015-02-02,20.61
2015-02-04,21.0
2015-02-06,20.0
2015-02-09,19.05
2015-02-11,20.0
2015-02-13,20.5
2015-02-16,19.99
2015-02-18,20.0
2015-02-23,20.5
2015-02-24,20.2
2015-02-25,20.19
2015-02-27,20.5
2015-02-28,19.65
2015-03-02,20.99
2015-03-03,21.0
2015-03-09,21.4
2015-03-10,21.2
2015-03-11,19.75
2015-03-12,19.85
2015-03-13,20.4
2015-03-16,19.85
2015-03-18,19.85
2015-03-25,18.75
2015-03-30,19.65
2015-03-31,19.5
2015-04-06,21.98
2015-04-07,20.2
2015-04-09,21.27
2015-04-10,21.9
2015-04-13,21.5
2015-04-15,21.4
2015-04-17,21.0
2015-04-20,21.01
2015-04-21,20.5
2015-04-22,20.06
2015-04-24,19.9
2015-04-27,21.28
2015-04-28,20.5
2015-04-29,19.6
2015-04-30,21.5
2015-05-04,21.6
2015-05-05,20.4
2015-05-06,20.05
2015-05-07,21.53
2015-05-08,20.1
2015-05-13,20.0
2015-05-14,19.8
2015-05-15,19.5
2015-05-18,19.54
2015-05-20,20.4
2015-05-21,20.4
2015-05-22,21.5
2015-05-25,22.03
2015-05-26,20.24
2015-05-27,20.87
2015-05-29,20.81
2015-06-01,20.75
2015-06-02,17.9
2015-06-03,19.22
2015-06-04,18.86
2015-06-08,18.4
2015-06-09,18.09
2015-06-10,17.6
2015-06-11,17.56
2015-06-12,19.22
2015-06-17,18.59
2015-06-18,19.0
2015-06-22,19.5
2015-06-23,19.3
2015-06-24,19.1
2015-06-25,19.9
2015-06-26,19.6
2015-06-29,18.8
2015-07-01,19.0
2015-07-02,19.6
2015-07-03,19.49
2015-07-06,19.8
2015-07-07,18.4
2015-07-08,19.11
2015-07-09,19.9
2015-07-14,18.25
2015-07-15,19.6
2015-07-16,18.45
2015-07-17,18.99
2015-07-21,18.75
2015-07-24,19.5
2015-07-27,19.5
2015-07-30,18.76
2015-07-31,18.75
2015-08-03,19.2
2015-08-05,19.8
2015-08-07,19.1
2015-08-11,18.85
2015-08-12,18.75
2015-08-14,18.75
2015-08-18,19.75
2015-08-24,19.74
2015-08-25,18.31
2015-08-27,17.6
2015-09-01,19.4
2015-09-02,19.0
2015-09-11,18.0
2015-09-14,18.84
2015-09-16,17.61
2015-09-18,17.61
2015-09-21,18.6
2015-09-28,18.74
2015-09-29,19.0
2015-10-05,18.97
2015-10-09,18.95
2015-10-13,18.0
2015-10-14,18.0
2015-10-15,18.0
2015-10-16,18.0
2015-10-19,17.53
2015-10-21,18.69
2015-10-23,17.82
2015-10-26,18.9
2015-10-27,19.1
2015-11-02,18.8
2015-11-03,18.8
2015-11-04,18.87
2015-11-10,18.59
2015-11-13,18.0
2015-11-17,18.1
2015-11-20,18.75
2015-11-23,18.75
2015-11-24,19.18
2015-11-26,18.75
2015-12-01,19.0
2015-12-02,19.48
2015-12-08,18.0
2015-12-09,18.0
2015-12-10,18.5
2015-12-11,18.0
2015-12-15,18.15
2015-12-17,18.5
2015-12-22,18.5
2015-12-24,19.2
2015-12-28,19.15
2015-12-29,18.5
2015-12-31,18.28
2016-01-01,18.55
2016-01-04,18.69
2016-01-06,18.26
2016-01-07,18.2
2016-01-08,17.65
2016-01-11,17.32
2016-01-14,18.07
2016-01-21,18.85
2016-01-25,18.84
2016-01-27,19.07
2016-01-29,18.65
2016-02-02,19.0
2016-02-03,18.5
2016-02-04,18.5
2016-02-05,18.4
2016-02-09,17.7
2016-02-10,19.4
2016-02-11,19.4
2016-02-15,19.5
2016-02-16,16.04
2016-02-17,16.5
2016-02-18,16.5
2016-02-22,16.5
2016-02-23,16.97
2016-02-25,17.24
2016-03-02,17.45
2016-03-04,17.47
2016-03-10,17.5
2016-03-11,16.5
2016-03-17,16.85
2016-03-18,17.0
2016-03-22,17.4
2016-03-23,17.69
2016-03-28,18.0
2016-03-30,17.99
2016-04-04,17.99
2016-04-05,17.25
2016-04-06,17.0
2016-04-07,17.32
2016-04-08,17.25
2016-04-11,17.7
2016-04-12,18.95
2016-04-13,17.51
2016-04-21,17.65
2016-04-25,18.2
2016-04-26,19.29
2016-04-27,18.25
2016-04-28,19.0
2016-05-02,19.45
2016-05-03,18.01
2016-05-06,17.82
2016-05-13,19.0
2016-05-16,19.06
2016-05-19,19.16
2016-05-20,19.0
2016-05-24,18.93
2016-05-25,19.2
2016-05-27,19.76
2016-05-30,19.86
2016-05-31,19.66
2016-06-01,19.85
2016-06-02,20.05
2016-06-03,20.13
2016-06-08,20.25
2016-06-09,20.33
2016-06-15,20.19
2016-06-20,20.36
2016-06-22,20.19
2016-06-23,20.25
2016-06-24,19.82
2016-06-27,20.21
2016-06-28,20.25
2016-06-29,20.4
2016-06-30,20.38
2016-07-01,20.89
2016-07-04,21.0
2016-07-07,20.98
2016-07-11,21.28
2016-07-12,21.25
2016-07-13,21.39
2016-07-14,21.55
2016-07-15,21.37
2016-07-18,21.4
2016-07-19,21.41
2016-07-20,21.44
2016-07-21,21.53
2016-07-25,21.88
2016-07-26,21.88
2016-07-27,21.8
2016-07-29,22.0
2016-08-01,22.1
2016-08-02,22.17
2016-08-04,22.01
2016-08-05,22.2
2016-08-08,22.42
2016-08-16,22.48
2016-08-17,22.41
2016-08-18,22.57
2016-08-19,22.61
2016-08-22,22.56
2016-08-23,22.36
2016-08-24,22.41
2016-08-25,22.5
2016-08-26,22.4
2016-08-29,22.43
