Date,CGCL
2013-03-01,130.05
2013-03-04,124.6
2013-03-05,125.1
2013-03-06,125.75
2013-03-07,125.6
2013-03-08,128.0
2013-03-11,133.0
2013-03-12,127.15
2013-03-13,132.85
2013-03-14,127.35
2013-03-15,127.3
2013-03-18,128.75
2013-03-19,124.1
2013-03-20,118.1
2013-03-21,114.1
2013-03-22,108.5
2013-03-25,106.5
2013-03-26,102.1
2013-03-28,104.8
2013-04-01,110.0
2013-04-02,110.05
2013-04-03,109.15
2013-04-04,107.6
2013-04-05,107.1
2013-04-08,111.0
2013-04-09,113.0
2013-04-10,107.5
2013-04-15,108.0
2013-04-16,107.0
2013-04-18,112.25
2013-04-22,117.0
2013-04-23,112.3
2013-04-25,108.35
2013-04-26,113.75
2013-04-29,115.55
2013-04-30,121.3
2013-05-03,120.0
2013-05-06,126.0
2013-05-07,132.3
2013-05-08,145.0
2013-05-09,159.5
2013-05-10,175.45
2013-05-11,182.0
2013-05-13,172.9
2013-05-14,164.3
2013-05-15,172.5
2013-05-16,174.7
2013-05-17,166.0
2013-05-20,161.55
2013-05-21,160.1
2013-05-22,158.0
2013-05-23,158.0
2013-05-24,152.15
2013-05-27,159.75
2013-05-28,161.55
2013-05-29,161.55
2013-05-30,169.6
2013-05-31,177.4
2013-06-03,174.0
2013-06-04,172.5
2013-06-06,171.0
2013-06-11,167.5
2013-06-12,159.15
2013-06-13,151.2
2013-06-14,155.0
2013-06-18,155.0
2013-06-19,152.85
2013-06-20,149.5
2013-06-21,156.9
2013-06-24,149.6
2013-06-26,148.0
2013-06-27,141.65
2013-06-28,148.2
2013-07-01,150.0
2013-07-02,145.0
2013-07-03,149.0
2013-07-05,167.95
2013-07-08,141.0
2013-07-10,154.7
2013-07-11,159.95
2013-07-15,150.0
2013-07-17,160.0
2013-07-18,147.0
2013-07-19,165.1
2013-07-22,166.0
2013-07-23,162.0
2013-07-24,162.0
2013-07-25,160.0
2013-07-26,158.0
2013-08-01,152.0
2013-08-02,132.6
2013-08-13,130.0
2013-08-19,106.2
2013-08-20,118.0
2013-08-21,121.0
2013-08-23,129.9
2013-08-26,129.0
2013-08-27,120.05
2013-08-28,116.0
2013-08-29,125.0
2013-09-11,127.0
2013-09-13,133.0
2013-09-16,126.35
2013-09-20,121.5
2013-09-23,121.5
2013-09-27,120.15
2013-10-09,122.75
2013-10-10,122.75
2013-10-14,128.85
2013-10-15,134.0
2013-10-17,130.0
2013-10-18,130.3
2013-10-21,127.1
2013-10-22,125.05
2013-10-25,126.5
2013-10-28,125.75
2013-10-29,120.05
2013-10-30,126.0
2013-10-31,120.0
2013-11-01,119.4
2013-11-03,118.0
2013-11-05,120.0
2013-11-06,119.25
2013-11-07,119.0
2013-11-08,119.7
2013-11-11,120.0
2013-11-12,125.0
2013-11-14,124.95
2013-11-18,125.0
2013-11-19,123.95
2013-11-20,121.1
2013-11-21,119.1
2013-11-22,115.5
2013-11-25,119.15
2013-11-26,116.9
2013-11-27,116.0
2013-11-28,116.0
2013-11-29,117.0
2013-12-03,123.9
2013-12-04,123.0
2013-12-05,118.0
2013-12-06,122.0
2013-12-09,128.95
2013-12-10,129.6
2013-12-11,133.75
2013-12-12,132.4
2013-12-13,126.2
2013-12-16,125.05
2013-12-18,124.05
2013-12-19,127.0
2013-12-20,128.0
2013-12-23,127.0
2013-12-24,126.45
2013-12-26,122.8
2013-12-27,126.75
2013-12-30,128.7
2013-12-31,123.9
2014-01-01,122.3
2014-01-02,125.0
2014-01-03,122.2
2014-01-06,121.35
2014-01-07,120.65
2014-01-08,115.55
2014-01-09,118.9
2014-01-10,120.75
2014-01-13,117.0
2014-01-14,118.5
2014-01-15,111.7
2014-01-16,113.35
2014-01-17,112.0
2014-01-20,110.7
2014-01-21,118.0
2014-01-22,115.45
2014-01-23,119.05
2014-01-24,112.9
2014-01-28,114.95
2014-01-29,110.5
2014-01-30,108.1
2014-01-31,112.8
2014-02-03,114.95
2014-02-04,115.9
2014-02-05,107.35
2014-02-07,115.25
2014-02-10,118.5
2014-02-11,115.0
2014-02-13,114.0
2014-02-14,115.0
2014-02-17,113.9
2014-02-18,119.85
2014-02-19,114.05
2014-02-21,118.15
2014-02-25,116.0
2014-02-26,121.0
2014-02-28,116.75
2014-03-03,124.0
2014-03-04,121.0
2014-03-05,121.9
2014-03-06,124.9
2014-03-07,116.6
2014-03-10,116.5
2014-03-11,117.8
2014-03-12,115.95
2014-03-13,113.3
2014-03-14,116.0
2014-03-18,123.95
2014-03-19,122.9
2014-03-21,120.1
2014-03-24,114.55
2014-03-25,111.65
2014-03-26,114.5
2014-03-27,116.0
2014-03-28,125.45
2014-03-31,126.0
2014-04-01,130.0
2014-04-02,126.15
2014-04-03,126.0
2014-04-04,122.05
2014-04-07,120.25
2014-04-09,124.7
2014-04-10,122.2
2014-04-11,126.95
2014-04-15,121.75
2014-04-16,120.0
2014-04-17,119.6
2014-04-21,119.8
2014-04-22,126.85
2014-04-23,135.65
2014-04-25,139.95
2014-04-28,135.0
2014-04-29,135.1
2014-04-30,136.45
2014-05-02,136.3
2014-05-05,132.85
2014-05-06,134.65
2014-05-07,133.15
2014-05-08,133.0
2014-05-09,133.0
2014-05-12,134.25
2014-05-13,133.0
2014-05-14,134.0
2014-05-15,134.3
2014-05-16,135.95
2014-05-19,138.9
2014-05-20,142.6
2014-05-21,151.3
2014-05-22,150.7
2014-05-23,155.0
2014-05-26,156.2
2014-05-27,156.95
2014-05-28,158.6
2014-05-29,161.0
2014-05-30,150.0
2014-06-02,150.1
2014-06-03,151.95
2014-06-04,152.8
2014-06-05,154.3
2014-06-06,151.75
2014-06-09,169.45
2014-06-10,172.35
2014-06-11,191.0
2014-06-12,196.9
2014-06-13,174.9
2014-06-16,160.7
2014-06-17,157.05
2014-06-18,177.25
2014-06-19,175.8
2014-06-20,169.3
2014-06-23,170.15
2014-06-24,171.95
2014-06-25,176.9
2014-06-26,172.0
2014-06-27,173.0
2014-06-30,176.3
2014-07-01,184.1
2014-07-02,182.65
2014-07-03,180.0
2014-07-04,178.7
2014-07-07,175.65
2014-07-08,170.45
2014-07-09,170.6
2014-07-10,169.65
2014-07-11,169.0
2014-07-14,158.05
2014-07-15,158.7
2014-07-16,164.0
2014-07-17,162.05
2014-07-18,161.85
2014-07-21,172.95
2014-07-22,172.2
2014-07-23,167.65
2014-07-24,165.05
2014-07-25,171.0
2014-07-28,168.85
2014-07-30,168.15
2014-07-31,172.65
2014-08-01,169.25
2014-08-04,189.5
2014-08-05,183.6
2014-08-06,179.6
2014-08-07,175.65
2014-08-08,173.35
2014-08-11,167.75
2014-08-12,171.95
2014-08-13,169.35
2014-08-14,165.1
2014-08-18,165.55
2014-08-19,170.2
2014-08-20,173.7
2014-08-21,175.75
2014-08-22,171.7
2014-08-25,170.0
2014-08-26,169.9
2014-08-27,170.4
2014-08-28,168.6
2014-09-01,171.75
2014-09-02,171.05
2014-09-03,170.15
2014-09-04,170.1
2014-09-05,167.2
2014-09-08,171.95
2014-09-09,170.05
2014-09-10,172.1
2014-09-11,175.5
2014-09-12,185.75
2014-09-15,185.05
2014-09-16,179.6
2014-09-17,182.7
2014-09-18,181.5
2014-09-19,181.65
2014-09-22,183.4
2014-09-23,179.35
2014-09-24,178.9
2014-09-25,174.95
2014-09-26,174.65
2014-09-29,185.1
2014-09-30,186.35
2014-10-01,185.65
2014-10-07,190.6
2014-10-08,201.3
2014-10-09,206.45
2014-10-10,194.75
2014-10-13,185.25
2014-10-14,189.7
2014-10-16,215.35
2014-10-17,211.25
2014-10-20,208.25
2014-10-21,208.75
2014-10-22,210.75
2014-10-23,216.35
2014-10-27,217.55
2014-10-28,217.6
2014-10-29,221.4
2014-10-30,218.1
2014-10-31,216.9
2014-11-03,214.7
2014-11-05,213.95
2014-11-07,212.2
2014-11-10,208.1
2014-11-11,209.65
2014-11-12,209.05
2014-11-13,207.0
2014-11-14,210.45
2014-11-17,215.1
2014-11-18,214.75
2014-11-19,211.05
2014-11-20,207.9
2014-11-21,206.55
2014-11-24,205.7
2014-11-25,200.45
2014-11-26,206.35
2014-11-27,207.45
2014-11-28,209.6
2014-12-01,212.35
2014-12-02,203.7
2014-12-03,204.0
2014-12-04,203.9
2014-12-05,205.0
