Date,GNFC
2013-01-01,82.9
2013-01-02,82.1
2013-01-03,82.45
2013-01-04,82.7
2013-01-07,82.9
2013-01-08,82.75
2013-01-09,82.55
2013-01-10,82.3
2013-01-11,81.85
2013-01-14,81.15
2013-01-15,79.95
2013-01-16,80.15
2013-01-17,80.35
2013-01-18,80.85
2013-01-21,80.95
2013-01-22,80.7
2013-01-23,80.25
2013-01-24,78.95
2013-01-25,78.85
2013-01-28,78.9
2013-01-29,78.75
2013-01-30,79.45
2013-01-31,83.15
2013-02-01,81.3
2013-02-04,80.4
2013-02-05,79.4
2013-02-06,78.9
2013-02-07,78.2
2013-02-08,75.55
2013-02-11,75.45
2013-02-12,76.3
2013-02-13,76.4
2013-02-14,76.2
2013-02-15,75.45
2013-02-18,77.0
2013-02-19,77.8
2013-02-20,77.8
2013-02-21,75.55
2013-02-22,76.4
2013-02-25,76.15
2013-02-26,75.85
2013-02-27,76.25
2013-02-28,76.8
2013-03-01,75.95
2013-03-04,73.7
2013-03-05,74.05
2013-03-06,74.9
2013-03-07,74.35
2013-03-08,74.65
2013-03-11,73.9
2013-03-12,74.0
2013-03-13,73.25
2013-03-14,73.1
2013-03-15,73.25
2013-03-18,73.3
2013-03-19,72.55
2013-03-20,72.05
2013-03-21,71.15
2013-03-22,71.25
2013-03-25,71.7
2013-03-26,72.3
2013-03-28,75.75
2013-04-01,77.8
2013-04-02,75.05
2013-04-03,75.2
2013-04-04,73.9
2013-04-05,72.3
2013-04-08,73.0
2013-04-09,72.8
2013-04-10,73.1
2013-04-11,73.65
2013-04-12,73.8
2013-04-15,73.9
2013-04-16,73.35
2013-04-17,75.6
2013-04-18,76.2
2013-04-22,75.95
2013-04-23,80.65
2013-04-25,81.6
2013-04-26,78.8
2013-04-29,78.55
2013-04-30,78.6
2013-05-02,77.3
2013-05-03,76.55
2013-05-06,76.85
2013-05-07,77.65
2013-05-08,84.3
2013-05-09,84.05
2013-05-10,83.85
2013-05-11,83.85
2013-05-13,83.3
2013-05-14,84.3
2013-05-15,84.0
2013-05-16,85.85
2013-05-17,83.5
2013-05-20,83.4
2013-05-21,82.95
2013-05-22,82.05
2013-05-23,81.05
2013-05-24,81.15
2013-05-27,82.35
2013-05-28,80.25
2013-05-29,79.8
2013-05-30,79.4
2013-05-31,77.95
2013-06-03,78.25
2013-06-04,78.5
2013-06-05,79.1
2013-06-06,78.7
2013-06-07,78.9
2013-06-10,79.0
2013-06-11,77.9
2013-06-12,77.5
2013-06-13,77.1
2013-06-14,77.35
2013-06-17,76.95
2013-06-18,77.15
2013-06-19,77.9
2013-06-20,76.95
2013-06-21,74.5
2013-06-24,74.0
2013-06-25,75.6
2013-06-26,75.05
2013-06-27,74.9
2013-06-28,75.05
2013-07-01,76.7
2013-07-02,75.1
2013-07-03,75.1
2013-07-04,75.15
2013-07-05,74.95
2013-07-08,75.2
2013-07-09,75.0
2013-07-10,74.9
2013-07-11,75.2
2013-07-12,75.2
2013-07-15,75.4
2013-07-16,75.25
2013-07-17,75.5
2013-07-18,75.3
2013-07-19,75.45
2013-07-22,76.55
2013-07-23,76.15
2013-07-24,75.6
2013-07-25,76.2
2013-07-26,75.1
2013-07-29,74.9
2013-07-30,74.35
2013-07-31,73.8
2013-08-01,72.85
2013-08-02,72.75
2013-08-05,72.7
2013-08-06,70.75
2013-08-07,71.25
2013-08-08,71.55
2013-08-12,72.15
2013-08-13,72.2
2013-08-14,72.35
2013-08-16,71.3
2013-08-19,69.8
2013-08-20,70.0
2013-08-21,69.3
2013-08-22,65.5
2013-08-23,65.25
2013-08-26,65.05
2013-08-27,63.25
2013-08-28,61.1
2013-08-29,59.95
2013-08-30,60.6
2013-09-02,60.35
2013-09-03,59.75
2013-09-04,59.9
2013-09-05,60.3
2013-09-06,60.7
2013-09-10,61.05
2013-09-11,60.45
2013-09-12,60.8
2013-09-13,61.6
2013-09-16,61.0
2013-09-17,60.9
2013-09-18,60.35
2013-09-19,60.85
2013-09-20,60.65
2013-09-23,60.45
2013-09-24,60.45
2013-09-25,59.9
2013-09-26,60.4
2013-09-27,59.9
2013-09-30,59.8
2013-10-01,59.65
2013-10-03,60.3
2013-10-04,59.8
2013-10-07,60.0
2013-10-08,60.15
2013-10-09,59.85
2013-10-10,61.4
2013-10-11,61.95
2013-10-14,61.95
2013-10-15,61.3
2013-10-17,60.3
2013-10-18,60.6
2013-10-21,60.75
2013-10-22,60.9
2013-10-23,61.3
2013-10-24,60.9
2013-10-25,60.85
2013-10-28,61.05
2013-10-29,61.7
2013-10-30,62.25
2013-10-31,61.4
2013-11-01,62.05
2013-11-03,63.3
2013-11-05,64.75
2013-11-06,65.3
2013-11-07,66.1
2013-11-08,64.1
2013-11-11,63.75
2013-11-12,63.75
2013-11-13,63.6
2013-11-14,63.7
2013-11-18,64.5
2013-11-19,65.3
2013-11-20,65.95
2013-11-21,66.0
2013-11-22,66.15
2013-11-25,66.5
2013-11-26,63.7
2013-11-27,63.25
2013-11-28,64.65
2013-11-29,64.95
2013-12-02,65.05
2013-12-03,65.5
2013-12-04,66.2
2013-12-05,66.45
2013-12-06,66.5
2013-12-09,67.0
2013-12-10,67.4
2013-12-11,68.5
2013-12-12,67.95
2013-12-13,66.7
2013-12-16,67.25
2013-12-17,67.25
2013-12-18,67.95
2013-12-19,67.75
2013-12-20,66.6
2013-12-23,67.7
2013-12-24,68.1
2013-12-26,68.8
2013-12-27,69.85
2013-12-30,72.35
2013-12-31,75.9
2014-01-01,76.8
2014-01-02,75.6
2014-01-03,76.0
2014-01-06,76.3
2014-01-07,75.65
2014-01-08,75.2
2014-01-09,75.45
2014-01-10,76.05
2014-01-13,73.7
2014-01-14,73.55
2014-01-15,73.45
2014-01-16,73.2
2014-01-17,72.55
2014-01-20,72.15
2014-01-21,71.85
2014-01-22,73.5
2014-01-23,72.75
2014-01-24,72.45
2014-01-27,71.85
2014-01-28,72.6
2014-01-29,73.5
2014-01-30,70.1
