Date,JTEKTINDIA
2013-01-01,12.9
2013-01-02,12.95
2013-01-03,13.0
2013-01-04,12.9
2013-01-07,13.1
2013-01-08,13.0
2013-01-09,13.3
2013-01-10,13.25
2013-01-11,13.1
2013-01-14,13.05
2013-01-15,12.9
2013-01-16,12.85
2013-01-17,12.85
2013-01-18,12.75
2013-01-21,12.7
2013-01-22,12.65
2013-01-23,12.55
2013-01-24,12.4
2013-01-25,12.5
2013-01-28,12.8
2013-01-29,12.5
2013-01-30,12.25
2013-01-31,12.15
2013-02-01,12.1
2013-02-04,12.0
2013-02-05,11.8
2013-02-06,12.15
2013-02-07,11.9
2013-02-08,11.7
2013-02-11,11.65
2013-02-12,11.65
2013-02-13,11.35
2013-02-14,11.1
2013-02-15,11.1
2013-02-18,11.1
2013-02-19,11.15
2013-02-20,11.25
2013-02-21,11.1
2013-02-22,11.0
2013-02-25,10.95
2013-02-26,10.9
2013-02-27,10.8
2013-02-28,10.6
2013-03-01,10.45
2013-03-04,10.25
2013-03-05,10.55
2013-03-06,10.4
2013-03-07,10.3
2013-03-08,10.6
2013-03-11,10.35
2013-03-12,10.95
2013-03-13,10.6
2013-03-14,10.9
2013-03-15,10.7
2013-03-18,10.55
2013-03-19,10.3
2013-03-20,10.0
2013-03-21,9.9
2013-03-22,9.9
2013-03-25,9.8
2013-03-26,9.65
2013-03-28,9.75
2013-04-01,9.9
2013-04-02,10.05
2013-04-03,9.9
2013-04-04,9.85
2013-04-05,9.8
2013-04-08,10.0
2013-04-09,9.75
2013-04-10,9.9
2013-04-11,9.9
2013-04-12,9.85
2013-04-15,10.0
2013-04-16,9.9
2013-04-17,9.7
2013-04-18,9.75
2013-04-22,9.8
2013-04-23,9.85
2013-04-25,9.85
2013-04-26,9.8
2013-04-29,10.2
2013-04-30,10.1
2013-05-02,10.15
2013-05-03,10.15
2013-05-06,10.0
2013-05-07,10.55
2013-05-08,10.55
2013-05-09,10.25
2013-05-10,10.45
2013-05-11,10.6
2013-05-13,10.2
2013-05-14,10.35
2013-05-15,10.2
2013-05-16,11.15
2013-05-17,11.0
2013-05-20,11.0
2013-05-21,11.4
2013-05-22,11.15
2013-05-23,10.65
2013-05-24,10.65
2013-05-27,10.65
2013-05-28,10.8
2013-05-29,10.9
2013-05-30,11.05
2013-05-31,10.95
2013-06-03,10.95
2013-06-04,10.85
2013-06-05,10.8
2013-06-06,10.95
2013-06-07,10.75
2013-06-10,10.4
2013-06-11,10.45
2013-06-12,10.4
2013-06-13,10.7
2013-06-14,10.55
2013-06-17,11.65
