Date,DATAMATICS
2013-01-01,30.4
2013-01-02,30.75
2013-01-03,31.6
2013-01-04,30.4
2013-01-07,31.3
2013-01-08,31.0
2013-01-09,31.2
2013-01-10,31.0
2013-01-11,31.15
2013-01-14,31.15
2013-01-15,32.15
2013-01-16,32.55
2013-01-17,31.65
2013-01-18,31.5
2013-01-21,31.5
2013-01-22,31.65
2013-01-23,35.3
2013-01-24,33.85
2013-01-25,35.15
2013-01-28,33.85
2013-01-29,33.55
2013-01-30,32.1
2013-01-31,31.7
2013-02-01,31.25
2013-02-04,30.85
2013-02-05,30.5
2013-02-06,30.6
2013-02-07,30.65
2013-02-08,30.0
2013-02-11,30.0
2013-02-12,29.95
2013-02-13,30.0
2013-02-14,30.05
2013-02-15,30.45
2013-02-18,30.7
2013-02-19,29.85
2013-02-20,29.95
2013-02-21,29.75
2013-02-22,29.55
2013-02-25,29.3
2013-02-26,29.35
2013-02-27,28.95
2013-02-28,27.8
2013-03-01,27.95
2013-03-04,28.15
2013-03-05,28.05
2013-03-06,28.3
2013-03-07,28.85
2013-03-08,29.05
2013-03-11,28.5
2013-03-12,28.55
2013-03-13,28.0
2013-03-14,28.6
2013-03-15,28.45
2013-03-18,27.95
2013-03-19,27.0
2013-03-20,26.5
2013-03-21,26.15
2013-03-22,26.3
2013-03-25,26.0
2013-03-26,26.15
2013-03-28,26.35
2013-04-01,27.7
2013-04-02,27.95
2013-04-03,27.85
2013-04-04,27.25
2013-04-05,27.05
2013-04-08,27.3
2013-04-09,26.55
2013-04-10,27.0
2013-04-11,27.05
2013-04-12,26.9
2013-04-15,26.45
2013-04-16,27.1
2013-04-17,26.55
2013-04-18,26.6
2013-04-22,26.35
2013-04-23,26.3
2013-04-25,27.0
2013-04-26,27.2
2013-04-29,27.15
2013-04-30,26.8
2013-05-02,27.4
2013-05-03,26.95
2013-05-06,27.35
2013-05-07,27.4
2013-05-08,27.6
2013-05-09,27.3
2013-05-10,27.9
2013-05-11,28.3
2013-05-13,27.15
2013-05-14,27.55
2013-05-15,27.7
2013-05-16,27.45
2013-05-17,28.0
2013-05-20,27.2
2013-05-21,27.15
2013-05-22,27.95
2013-05-23,27.9
2013-05-24,27.55
2013-05-27,27.45
2013-05-28,27.4
2013-05-29,27.25
2013-05-30,27.85
2013-05-31,27.75
2013-06-03,27.4
2013-06-04,27.6
2013-06-05,27.15
2013-06-06,27.6
2013-06-07,27.05
2013-06-10,28.0
2013-06-11,27.9
